Team,Rating,Rating Deviation
Notre Dame,2116.04,144.21
Ohio State,2067.89,145.91
Kansas State,2052.07,134.88
Alabama,2021.65,136.29
Florida,2015.31,140.23
Oregon,2008.42,143.37
Georgia,2002.48,146.67
Oklahoma,1984.59,138.03
LSU,1984.13,134.1
Stanford,1977.03,131.89
Florida State,1976.71,139.39
Clemson,1970.2,134.68
Texas A&M,1962,132.93
Rutgers,1960.19,145.72
Nebraska,1955.37,125.45
Texas,1953.53,132.61
Kent State,1941.72,144.88
Oklahoma State,1934.82,130.19
South Carolina,1932.6,136.98
Northern Illinois,1930.19,144.52
Oregon State,1890.34,143.97
UCLA,1879.28,131.13
Louisville,1875.74,152.09
Michigan,1861.24,126.79
Texas Tech,1860.51,126.5
Utah State,1851.03,130.45
Ball State,1837.89,127.35
Mississippi State,1826.33,131.24
San José State,1818.73,134.77
Northwestern,1808.42,125.51
Louisiana Tech,1807.54,139.99
Penn State,1805.18,128.6
TCU,1801.87,132.7
Washington,1799.92,133.37
Cincinnati,1796.06,133.25
Arizona,1792.6,128.09
Toledo,1781.17,132.37
Boise State,1777.48,143.8
Tulsa,1777.25,132.65
USC,1768.79,127.63
Wisconsin,1766.99,126.67
West Virginia,1763.33,127.21
Syracuse,1760.49,133.09
North Carolina,1756.89,125.17
San Diego State,1756.72,129.84
Middle Tennessee,1750.45,138.45
Iowa State,1744.74,128.51
Arkansas State,1741.59,124.61
Vanderbilt,1741.37,138.98
North Dakota State,1731.88,286.93
UCF,1723.2,131.18
NC State,1720.66,127.98
Fresno State,1718.34,129.86
Baylor,1705.93,140.64
Georgia Tech,1701.29,125.97
Miami,1700.43,123.51
Louisiana Monroe,1689.5,130.07
Duke,1676.47,127.56
Louisiana,1674,136.92
Arizona State,1671.23,131.19
BYU,1667.72,133.1
Youngstown State,1662.31,290.32
Michigan State,1657.56,126.61
Navy,1653.35,126.03
Bowling Green,1652.38,132.11
Missouri,1650.69,129.34
Ohio,1647.05,152.12
Minnesota,1645.97,129.51
Illinois State,1629.7,283.79
Nevada,1623.26,130.02
East Carolina,1613.72,126.26
UT San Antonio,1613.54,145.3
Ole Miss,1604.46,133.2
Cal Poly,1601.79,285.25
Wake Forest,1595.92,130.92
Purdue,1595.17,127.56
Western Kentucky,1583.95,128.19
Virginia Tech,1583.86,132.7
Virginia,1575.09,133.8
Arkansas,1572.41,133.45
Temple,1566.29,134.38
Tennessee,1563.66,130.57
Utah,1563.33,127.95
Iowa,1550.41,124.32
Indiana,1542.3,129.8
Troy,1540.84,127.82
Pittsburgh,1540.55,141.56
Central Michigan,1528.33,122.53
Maryland,1527.8,131.61
Air Force,1525.7,126.15
Connecticut,1520.37,130.53
Rice,1513.31,130.71
Buffalo,1512.57,141.04
Northern Arizona,1511.1,245
Sacramento State,1511.1,245
Eastern Washington,1508.53,244.43
UT Martin,1508.53,244.43
South Florida,1508.41,132.42
McNeese,1498.53,232.92
Marshall,1497.37,128.71
North Texas,1475.79,127.08
California,1474.53,135.98
Georgia Southern,1464.22,318.22
SMU,1462.61,131.15
Wofford,1453.48,308.68
Western Michigan,1444.51,125.49
Miami (OH),1442.59,132.25
Houston,1440.4,125.21
Fordham,1439.92,301.85
Norfolk State,1439.01,303.03
Texas State,1438.1,137.28
Wyoming,1434.97,134.06
South Dakota,1430.12,297.56
Northwestern Oklahoma State,1429.98,298.09
Tennessee Tech,1429.62,298.73
Furman,1429.62,298.73
Western Illinois,1429.62,298.73
Stony Brook,1423.94,230.92
Auburn,1420.53,144.29
Florida International,1409.78,136.22
The Citadel,1407.72,284.63
James Madison,1407.26,290.41
New Hampshire,1407.26,290.41
Howard,1407.26,290.41
Florida A&M,1407.26,290.41
Texas A&M-Commerce,1407.26,290.41
Florida Atlantic,1406.74,134.95
New Mexico,1403.9,119.76
Delaware State,1400.05,286.89
Coastal Carolina,1389.05,276.04
Sam Houston State,1387.1,275.44
Northern Colorado,1383.36,286.93
Eastern Kentucky,1383.36,286.93
Southern,1383.36,286.93
Appalachian State,1383.36,286.93
Murray State,1383.36,286.93
Southeast Missouri State,1383.36,286.93
Liberty,1383.36,286.93
Villanova,1383.36,286.93
Richmond,1383.36,286.93
Indiana State,1383.36,286.93
Central Arkansas,1383.36,286.93
Elon,1383.36,286.93
Chattanooga,1383.36,286.93
South Dakota State,1383.36,286.93
William & Mary,1383.36,286.93
Jackson State,1383.36,286.93
Grambling,1383.36,286.93
Wagner,1383.36,286.93
Kentucky,1381.64,147.26
Portland State,1380.32,276.69
North Carolina Central,1380.32,276.69
Bethune-Cookman,1380.32,276.69
Charleston Southern,1380.32,276.69
North Dakota,1373.57,275.74
Jacksonville State,1369.35,276.72
Gardner-Webb,1368.95,272.93
UTEP,1367.41,135.15
Illinois,1363.21,133.3
Georgia State,1361.54,263.08
Towson,1354.62,268.29
Memphis,1351.88,132.82
Boston College,1351.87,145.48
South Carolina State,1350.47,254.33
Colorado State,1348.05,128.44
UC Davis,1342.31,275.57
Maine,1342.31,275.57
Texas Southern,1342.31,275.57
Southern Illinois,1342.31,275.57
Eastern Illinois,1342.31,275.57
Eastern Michigan,1341.74,149.15
Alcorn State,1336.69,266.7
Western Carolina,1332.08,268.41
Austin Peay,1330.87,257.99
Weber State,1330.87,257.99
Missouri State,1330.87,257.99
Savannah State,1330.87,257.99
Washington State,1330.14,150.1
Idaho State,1327.76,253.28
UAB,1325.92,133.15
Colorado,1317.93,165.84
Army,1317.28,147.34
Northwestern State,1313.97,248.79
Northern Iowa,1313.97,248.79
Rhode Island,1307.23,264.52
UNLV,1304.79,136.89
Kansas,1301.22,158.77
South Alabama,1293.58,133.73
Lamar,1286.77,243.38
Southern Utah,1286.77,243.38
Alabama A&M,1285.72,260.68
VMI,1285.48,272.83
Stephen F. Austin,1283.52,243.79
Nicholls,1275,240.47
Samford,1263.87,264.01
Southeastern Louisiana,1254.11,236.45
Presbyterian College,1244.34,233.55
Tulane,1241.81,132.75
Morgan State,1232.44,231.34
Hawai'i,1219.62,140.98
New Mexico State,1215.3,148.96
UMass,1211.69,153.86
Idaho,1210.56,153.66
