Team,Rating,Rating Deviation
LSU,2129.75,145.8
Ohio State,2075.33,152.39
Clemson,2071.69,143.22
Penn State,2027.6,135.83
Oregon,2009.69,136.74
Oklahoma,2003.98,136.27
Baylor,1989.92,141.55
Memphis,1988.37,140.57
Georgia,1987.22,138.82
Utah,1976.63,135.4
SMU,1967.61,148.33
Minnesota,1952.5,144.48
Alabama,1951.15,147.29
Notre Dame,1946.82,131.91
Michigan,1944.09,136.06
Florida,1935.87,138.17
Appalachian State,1931.71,145.06
Boise State,1923.42,150.42
Wisconsin,1912.59,139.63
Cincinnati,1912.55,143.07
Air Force,1894.36,133.98
Navy,1876.77,141.19
Auburn,1857.34,137.44
Oklahoma State,1848.05,133.6
Iowa,1845.18,138.91
USC,1838.29,122.79
Temple,1832.55,129.17
Pittsburgh,1810.11,140.62
Wake Forest,1801.41,136.92
Washington,1800.7,129.01
Iowa State,1798.25,127.45
Texas A&M,1794.58,133.05
Virginia Tech,1792.92,136.84
Indiana,1790.18,135.35
Louisiana,1788.87,141.19
Illinois,1781.43,137.11
Kansas State,1774.17,130.4
Texas,1767.74,130.36
Miami,1767.73,135.03
San Diego State,1763.61,139.48
Louisville,1761.35,129.92
Marshall,1758.56,132.46
Louisiana Tech,1757.45,141.99
Tennessee,1753.29,146.13
Southern Mississippi,1752.74,135.44
Virginia,1749.62,132.38
UCF,1741.81,132.79
BYU,1738.47,135.72
Utah State,1737.14,129.28
Florida Atlantic,1729.24,133.19
Florida State,1719.09,126.77
Tulane,1713.1,132.98
TCU,1705.13,129.37
Western Michigan,1700.18,121.63
Arkansas State,1693.8,130.21
Hawai'i,1692.25,128.46
Nevada,1680.55,129.7
Georgia State,1678,132.5
Michigan State,1677.87,132.77
The Citadel,1674.94,274.04
Oregon State,1673.75,134.6
Georgia Southern,1673.02,137.41
UCLA,1669.5,145.51
Miami (OH),1664.85,131.3
California,1664.03,130.41
Arizona State,1662.87,129.45
Western Kentucky,1647.96,132.05
Wyoming,1646.67,133.25
West Virginia,1645.08,135.64
Central Michigan,1642.81,127.9
Boston College,1638.48,131.48
Washington State,1633.98,135.99
UAB,1631.18,141.18
Kentucky,1630.5,129.09
Colorado,1623.19,127.18
Tulsa,1613.26,143.46
Toledo,1612.14,128.39
Mississippi State,1609.74,135.74
Texas Tech,1607.26,128.87
Arizona,1601.53,131.41
Missouri,1599.49,141.96
Purdue,1596.7,143.19
Nebraska,1592.71,132.54
South Carolina,1587.56,133.56
North Carolina,1573.06,133.92
Troy,1569.6,131.78
South Florida,1568,138.05
Louisiana Monroe,1567.99,134.45
Charlotte,1564.67,132.83
Liberty,1564.49,143.72
Syracuse,1564.03,132.36
NC State,1560.29,135.25
San José State,1559.49,128.26
Stanford,1557.69,131.27
Ole Miss,1546.52,141.88
Kansas,1546.36,139.9
Eastern Michigan,1545.73,133.74
Central Arkansas,1538.4,237.69
Buffalo,1538.36,131.49
Army,1534.76,129.89
Maryland,1527.15,144.43
Duke,1525.42,130.55
Colorado State,1522.38,138.58
Houston,1517.04,147.53
Coastal Carolina,1511.2,134.06
Fresno State,1505.41,133.86
Florida International,1504.5,131.93
Southern Illinois,1501.07,234.3
Ball State,1499.97,128.32
Ohio,1498.29,128.48
North Texas,1494.36,131.35
Kent State,1491.54,137.83
UT San Antonio,1473.5,134.71
Wofford,1468.31,322.04
East Carolina,1458.12,140.41
Rutgers,1451.93,150.93
Northern Illinois,1449.75,132.52
Towson,1447.55,308.23
Elon,1437.92,302.27
Bowling Green,1433.93,138.38
Northwestern State,1429.62,298.73
Texas State,1419.3,138.59
Central Connecticut,1415.83,288.65
Delaware,1408.34,283.63
Western Carolina,1407.26,290.41
Richmond,1407.26,290.41
Eastern Illinois,1407.26,290.41
Southern,1407.26,290.41
