Team,Rating,Rating Deviation
McNeese,1407.26,290.41
South Dakota,1407.26,290.41
UT Martin,1407.26,290.41
Middle Tennessee,1405.75,131.89
Georgia Tech,1396.21,147.94
Northwestern,1390.64,149.51
Montana,1388.89,280.24
Southeastern Louisiana,1388.89,280.24
Southeast Missouri State,1388.89,280.24
Sam Houston State,1383.36,286.93
Abilene Christian,1383.36,286.93
Colgate,1383.36,286.93
Eastern Washington,1383.36,286.93
Florida A&M,1383.36,286.93
Bucknell,1383.36,286.93
Campbell,1383.36,286.93
Albany,1383.36,286.93
UC Davis,1383.36,286.93
Robert Morris,1383.36,286.93
East Tennessee State,1383.36,286.93
Alcorn State,1383.36,286.93
Northern Iowa,1383.36,286.93
Illinois State,1383.36,286.93
Howard,1383.36,286.93
Stephen F. Austin,1383.36,286.93
Indiana State,1383.36,286.93
Montana State,1383.36,286.93
James Madison,1383.36,286.93
Arkansas-Pine Bluff,1383.36,286.93
Houston Baptist,1383.36,286.93
South Dakota State,1383.36,286.93
Monmouth,1383.36,286.93
Southern Utah,1383.36,286.93
Lamar,1380.32,276.69
Missouri State,1380.32,276.69
Vanderbilt,1378.46,146.45
Idaho State,1372.07,258.08
Arkansas,1370.36,139.77
Texas Southern,1366.2,273.4
Connecticut,1365.04,144.75
Portland State,1346.47,264.46
Hampton,1345.83,268.02
Eastern Kentucky,1342.31,275.57
Tennessee State,1342.31,275.57
Jackson State,1342.31,275.57
Tennessee Tech,1342.31,275.57
Kennesaw State,1342.31,275.57
Charleston Southern,1342.31,275.57
Stony Brook,1342.31,275.57
Prairie View,1342.31,275.57
Northern Arizona,1342.31,275.57
Fordham,1342.31,275.57
Western Illinois,1342.31,275.57
North Carolina A&T,1342.31,275.57
Idaho,1338.74,260.63
Furman,1338.26,252.21
Alabama State,1334.57,253.02
UNLV,1331.31,141.52
Northern Colorado,1330.87,257.99
New Mexico,1329.97,140.27
Morgan State,1329.69,254.23
Rhode Island,1328.24,251.86
Holy Cross,1326.9,252.2
Norfolk State,1319.48,251.47
Cal Poly,1316.08,272.41
Bethune-Cookman,1316.08,272.41
William & Mary,1307.85,240.95
Murray State,1304.51,244.79
Weber State,1303.93,245.19
Wagner,1300.33,243.14
Nicholls,1299.66,242.59
Maine,1295.63,246.56
Chattanooga,1293.73,272.39
South Carolina State,1293.73,272.39
New Hampshire,1293.73,272.39
VMI,1292.94,234.56
Sacramento State,1287.56,241.01
Grambling,1286.77,243.38
Gardner-Webb,1286.77,243.38
Rice,1283.9,167.78
UTEP,1256.23,138.28
South Alabama,1244.33,147.51
Old Dominion,1238.24,141.76
New Mexico State,1224.5,163.3
Incarnate Word,1183.32,237.74
UMass,1156.3,138.91
Akron,1070.66,152.89
