Team,Rating,Rating Deviation
LSU,2122.67,140.07
Alabama,2028.63,143.76
Oklahoma State,2027.93,135.94
Arkansas,1998.51,134.94
Virginia Tech,1983.59,134.34
Stanford,1982.97,136.3
Houston,1971.63,160.58
Kansas State,1968.56,129.16
USC,1963.56,127.37
Oklahoma,1962.85,132.96
Oregon,1941.26,128.4
TCU,1924.01,133.79
Penn State,1919.57,131.14
Michigan State,1917.65,134.47
South Carolina,1916.69,131.82
Michigan,1916.42,131.57
Georgia,1913.42,130.28
Boise State,1905.46,146.03
Clemson,1895.09,139.51
Nebraska,1887.84,129.23
Baylor,1884.57,132.98
Wisconsin,1872.34,135.52
Georgia Tech,1865.43,134.94
Notre Dame,1845.9,134.21
Rutgers,1839.36,128.23
West Virginia,1833.45,129.25
Virginia,1829.95,129.17
Southern Mississippi,1816.81,135.42
Auburn,1815.06,130.81
Missouri,1808.08,130.17
Tulsa,1807.43,130.79
Iowa State,1803.89,133.91
Texas,1800.4,130.07
Arkansas State,1782.66,137.24
Northern Illinois,1775.02,124.68
Florida State,1767.82,126.02
Louisville,1765.69,126.86
Miami,1763.19,127.16
Cincinnati,1757.06,131.62
Texas A&M,1756.67,126.26
Wyoming,1755.59,136.26
Iowa,1754.74,131.78
Florida,1749.73,125.28
Toledo,1735.62,127.16
Utah,1730.34,123.41
North Carolina,1729.96,128.31
BYU,1722.88,134.6
Ohio State,1715.01,132.13
NC State,1711.48,129.74
Ohio,1696.03,129.52
Northwestern,1693.96,142.48
Washington,1692.38,130.02
Louisiana,1688.36,142.12
San Diego State,1687.49,135.22
Pittsburgh,1682.8,132.38
Wake Forest,1677.42,128.81
Southern Utah,1675.04,271.55
Texas Tech,1666.67,131.56
Tennessee,1665.89,136.47
Sacramento State,1662.31,290.32
Richmond,1662.31,290.32
Ball State,1659.81,121.56
UCLA,1657.58,129.43
Western Michigan,1656.9,121.94
Louisiana Tech,1655.07,122.22
Illinois,1654.4,135.53
Western Kentucky,1651.03,134.31
Temple,1647.88,122.93
Purdue,1645.26,130.1
SMU,1643.56,131.62
California,1642.87,127.92
North Dakota State,1637.57,272.06
Vanderbilt,1636.46,123.72
Florida International,1632.18,129.79
Syracuse,1615.87,129.46
South Florida,1611.83,132.26
Air Force,1610.09,129.78
Mississippi State,1610.03,137.49
Sam Houston State,1603.14,284.15
Nevada,1602.75,131.67
Eastern Michigan,1597.22,122.98
Connecticut,1596.29,132.65
Arizona State,1595.5,133.59
Marshall,1595.49,135.07
UTEP,1574.4,126.22
Kentucky,1542.83,130.7
East Carolina,1542.82,131.4
Utah State,1541.31,130.18
Kent State,1531.05,132.87
Washington State,1508.38,131.44
Indiana State,1498.96,242.37
Rice,1498.86,131.48
Duke,1495.1,132.93
Oregon State,1495.03,144.05
Boston College,1494.82,150.82
Navy,1488.43,129.38
Bowling Green,1484.79,129.11
Kansas,1480.5,137.57
Georgia Southern,1468.05,321.41
North Texas,1466.34,132.24
UCF,1453.71,130.36
The Citadel,1450.89,306.24
Miami (OH),1449.09,131.93
Arizona,1441.68,133.81
UAB,1441.29,148.79
Fresno State,1437.91,124.27
Hawai'i,1434.2,122.36
San José State,1433.62,125.46
Georgia State,1430.12,297.56
Florida A&M,1429.62,298.73
Samford,1429.59,289.74
Presbyterian College,1417.9,292.88
Furman,1413.49,278.71
Army,1410.81,133.92
Colorado,1409.52,143.61
Portland State,1407.72,284.63
Stephen F. Austin,1407.26,290.41
Northern Colorado,1407.26,290.41
South Dakota State,1407.26,290.41
Eastern Illinois,1407.26,290.41
Wofford,1407.26,290.41
Rhode Island,1407.26,290.41
Maine,1407.26,290.41
Morgan State,1407.26,290.41
Norfolk State,1407.26,290.41
Alabama State,1407.26,290.41
New Mexico State,1400.11,127.78
Ole Miss,1393.7,143
Minnesota,1391.93,154.1
Colorado State,1386.5,141.89
Buffalo,1385.99,130.98
Montana,1383.36,286.93
Youngstown State,1383.36,286.93
William & Mary,1383.36,286.93
Chattanooga,1383.36,286.93
Tennessee Tech,1383.36,286.93
Montana State,1383.36,286.93
New Hampshire,1383.36,286.93
Murray State,1383.36,286.93
Eastern Washington,1383.36,286.93
Appalachian State,1383.36,286.93
Northern Iowa,1383.36,286.93
Northern Arizona,1383.36,286.93
McNeese,1383.36,286.93
Western Carolina,1383.36,286.93
Eastern Kentucky,1383.36,286.93
Howard,1383.36,286.93
Elon,1383.36,286.93
Villanova,1383.36,286.93
Delaware,1383.36,286.93
James Madison,1383.36,286.93
