Team,Rating,Rating Deviation
Liberty,1383.36,286.93
North Carolina Central,1383.36,286.93
Western Illinois,1380.32,276.69
Bethune-Cookman,1380.06,274.68
UT Martin,1378.13,265.23
Louisiana Monroe,1374.66,128.72
Maryland,1374.13,140.08
Central Michigan,1373.03,122.27
Jacksonville State,1370.03,265.85
Tennessee State,1365.39,273.19
Southeast Missouri State,1365.39,273.19
Towson,1354.89,267.95
South Dakota,1347.98,264.63
Grambling,1342.31,275.57
Southern Illinois,1342.31,275.57
Northwestern State,1338.26,252.21
Gardner-Webb,1338.26,252.21
Idaho State,1336.39,255.31
Texas State,1330.87,257.99
Charleston Southern,1330.87,257.99
UNLV,1319.64,142.42
Troy,1318.4,134.66
Coastal Carolina,1316.08,272.41
Missouri State,1309.18,247.4
Southeastern Louisiana,1303.93,245.19
Cal Poly,1301.47,242.97
UC Davis,1287.29,238.8
Weber State,1286.77,243.38
Stony Brook,1286.77,243.38
VMI,1284.77,271.9
Idaho,1284.22,132.59
Fordham,1278.48,233.27
Nicholls,1275,240.47
South Carolina State,1270.85,239.38
UMass,1264.41,273.57
Central Arkansas,1264.37,235.82
Indiana,1258.55,161.73
Austin Peay,1257.34,237.51
Tulane,1253.29,129.74
Middle Tennessee,1249.82,140.21
North Dakota,1244.34,233.55
South Alabama,1241.17,228.33
New Mexico,1230.03,159.86
Memphis,1224.73,130.04
Akron,1180.42,135.88
Florida Atlantic,1074.4,152.56
