Team,Rating,Rating Deviation
Cincinnati,2053.36,159.39
Notre Dame,2028.95,161.88
BYU,2017.31,165.61
Coastal Carolina,2015.91,160.24
Alabama,1987.88,180.34
Marshall,1958.06,182.03
San José State,1929.67,221.17
Miami,1927.04,154.1
Clemson,1924.78,159.74
Northwestern,1922.51,190.91
Ohio State,1913.76,199.61
Tulsa,1911,175.1
Louisiana,1890.27,160.52
Western Michigan,1882.37,217.34
Nevada,1876.3,198.13
Oregon,1845.6,223.81
Florida,1844.08,163.45
Liberty,1833.96,160.14
SMU,1830.18,151.67
Texas A&M,1823.24,174.61
Buffalo,1819.61,233.76
Boise State,1815.27,182.34
USC,1809.07,234.69
North Carolina,1795.88,148.39
Indiana,1794.24,188.07
NC State,1791.45,143.91
Texas,1783.01,155.98
Florida Atlantic,1780.88,182.51
Georgia,1779.25,158.96
Army,1777.72,146.31
Oklahoma,1771.88,150.17
Kent State,1759.43,240.91
Memphis,1758.29,169.17
Appalachian State,1758.04,158.19
Oklahoma State,1748.82,154.96
Iowa State,1740.44,153.34
Colorado,1728.22,257.4
UCF,1727.61,152.83
Georgia Southern,1713.29,144.8
Washington,1703.85,249.87
Auburn,1696.17,153.45
San Diego State,1683.89,181.87
Boston College,1683.52,143.57
West Virginia,1679.69,146.16
Louisiana Tech,1676.81,152.91
Wisconsin,1676.68,216.46
Houston,1672.67,165.45
Pittsburgh,1668.09,140.03
UT San Antonio,1655.36,135.9
UAB,1653.55,154.68
Central Michigan,1651.18,223.63
Fresno State,1638.92,208.34
Tulane,1629.99,137.69
Wake Forest,1626.22,158.19
Toledo,1614.49,223.12
Iowa,1613.1,194.11
Virginia,1612.32,156.42
Virginia Tech,1609.91,138.36
Georgia State,1596.19,152.1
Missouri,1593.92,165.93
Air Force,1585.78,197.62
Navy,1584.62,163.35
Kansas State,1583.2,148.49
Ball State,1577.14,218.9
Maryland,1577.14,218.9
Washington State,1564.59,245.77
Miami (OH),1564.59,245.77
LSU,1559.71,160.74
TCU,1545.86,149.76
Arkansas,1521.39,144.83
Troy,1514.47,143.36
Ohio,1511.1,245
Purdue,1508.62,198.45
Michigan,1500.77,185.01
Hawai'i,1497.55,182.86
Western Kentucky,1493.04,151.21
Kentucky,1493.03,160.13
Texas Tech,1492.58,144.95
Colorado State,1487.34,217.3
UCLA,1487.11,229.47
Charlotte,1483.56,176.41
UTEP,1476.57,156.87
Louisville,1475.26,142.79
Illinois,1475.21,183.84
Ole Miss,1473.76,156.09
Minnesota,1473.33,182.91
North Texas,1471.81,161.49
Wyoming,1469.95,221.19
Georgia Tech,1462.51,165.44
Duke,1452.97,167.94
Western Carolina,1449.48,307.73
South Alabama,1447.01,146.84
Florida State,1439.74,160.04
Michigan State,1435.13,208.77
Tennessee,1431.71,160.67
Middle Tennessee,1431.69,156.54
Arkansas State,1430.81,142.33
Oregon State,1426.3,222.03
Jacksonville State,1425.77,232.74
Mercer,1425.06,290.22
Utah,1422.17,295.1
East Carolina,1411.83,155.99
Missouri State,1383.36,286.93
Arizona State,1383.36,286.93
Mississippi State,1375.52,172.35
South Carolina,1371.26,149.34
Texas State,1363.06,152.25
Nebraska,1350.83,195.85
Arizona,1345.54,256.57
UMass,1336.68,244.12
Rutgers,1331.13,178.03
Rice,1331.01,199.78
Stanford,1330.87,257.99
Southern Mississippi,1330.59,150.38
Austin Peay,1312.65,252.88
Temple,1305.2,156.61
Bowling Green,1304.9,243.76
Chattanooga,1302.96,265.21
South Florida,1299.92,159.93
Baylor,1299.9,160.58
Central Arkansas,1296.33,241.87
The Citadel,1295.16,237.73
Abilene Christian,1278.3,220.86
Stephen F. Austin,1277.32,228.54
Houston Baptist,1273.9,233.85
Northern Illinois,1271.84,229.1
Eastern Kentucky,1270.72,230.44
North Alabama,1266.05,231.41
Syracuse,1265.71,159.25
UNLV,1265.04,225.42
Akron,1261.63,230.71
Utah State,1260.32,221.71
New Mexico,1260.03,214.26
Eastern Michigan,1245.41,223.27
California,1239.8,232.65
Campbell,1210.31,205.83
Kansas,1201.94,196.69
Penn State,1186.92,195.1
Louisiana Monroe,1150.4,180.32
Florida International,1134.74,192.6
Vanderbilt,1101.79,170.11
