Team,Rating,Rating Deviation
Boston College,1619.85,132.86
California,1619.17,130.96
SMU,1618.68,127.94
Baylor,1616.09,143.42
Eastern Michigan,1615.22,125.42
Central Michigan,1611.12,130.35
Western Illinois,1606.7,283.56
Miami (OH),1606.66,139.89
Oregon,1605.14,136.7
Syracuse,1599.39,132.66
UCLA,1598.65,129.47
Texas,1595.1,127.46
Middle Tennessee,1594.87,124.92
Notre Dame,1590.23,130.39
Central Arkansas,1588.36,288.18
Mississippi State,1569.16,137.74
Duke,1566.23,132.21
Army,1563.56,128.21
UT San Antonio,1562.32,128.78
Northern Illinois,1561.16,143.92
South Alabama,1552.32,135.17
North Texas,1535.86,124.09
Texas Tech,1525.65,126.55
Purdue,1520.63,133.81
North Carolina A&T,1513.43,236.23
Hawai'i,1505.83,126.84
Cincinnati,1505.59,124.15
Louisiana,1496.97,129.35
UNLV,1496.56,130.78
Oregon State,1496.2,136.05
Akron,1495.1,132.57
Illinois,1492.17,140.63
Louisiana Monroe,1482,128.55
Missouri,1479.89,135.09
Chattanooga,1478.52,330.58
Michigan State,1474.47,129.59
Ball State,1467.55,132.88
East Carolina,1463.44,128.97
Iowa State,1459.22,143.93
Tulane,1451.55,131.53
Southern Mississippi,1444.78,125.54
Virginia,1444.55,140.68
Georgia Southern,1440.29,124.08
Florida International,1438.87,127.71
New Mexico State,1438.49,136.18
The Citadel,1434.67,293.49
Connecticut,1432.47,128.13
Delaware,1429.62,298.73
Alcorn State,1427.51,293.33
Tennessee Tech,1426.45,288.58
Nevada,1420,130.08
Georgia State,1417.71,136.9
Indiana State,1407.26,290.41
Charleston Southern,1407.26,290.41
Youngstown State,1407.26,290.41
Mercer,1407.26,290.41
Lamar,1407.26,290.41
Bowling Green,1406.29,136.22
San José State,1405.75,136.05
Charlotte,1392.53,123.17
Northern Colorado,1388.89,280.24
James Madison,1388.89,280.24
Kent State,1388.66,138.62
Tennessee State,1386.1,268.48
Alabama State,1383.36,286.93
Northern Arizona,1383.36,286.93
Colgate,1383.36,286.93
Hampton,1383.36,286.93
Southeast Missouri State,1383.36,286.93
Mississippi Valley State,1383.36,286.93
Florida A&M,1383.36,286.93
Fordham,1383.36,286.93
South Dakota,1383.36,286.93
Southern Illinois,1383.36,286.93
Villanova,1383.36,286.93
Murray State,1383.36,286.93
VMI,1383.36,286.93
Stephen F. Austin,1383.36,286.93
Cal Poly,1383.36,286.93
South Dakota State,1383.36,286.93
Southeastern Louisiana,1383.36,286.93
Montana State,1383.36,286.93
Abilene Christian,1383.36,286.93
Northwestern State,1383.36,286.93
Furman,1383.36,286.93
New Hampshire,1383.36,286.93
Weber State,1383.36,286.93
Towson,1383.36,286.93
Jackson State,1383.36,286.93
Rhode Island,1383.36,286.93
William & Mary,1383.36,286.93
Missouri State,1382.85,277.45
Arizona,1381.99,137.71
Kansas,1379.03,149.85
Utah State,1377.14,133.11
Incarnate Word,1370.91,272.24
Gardner-Webb,1370.69,272.4
Delaware State,1368.94,271.86
Rice,1364.99,139.77
Lafayette,1364.8,265.98
Marshall,1362.45,125.92
Rutgers,1358.66,137.91
Buffalo,1352.57,138.38
Alabama A&M,1349.17,262.34
Sacramento State,1342.31,275.57
Grambling,1342.31,275.57
North Dakota,1342.31,275.57
Stony Brook,1342.31,275.57
Wofford,1342.31,275.57
Elon,1342.31,275.57
McNeese,1342.31,275.57
Bethune-Cookman,1342.31,275.57
Jacksonville State,1342.31,275.57
Southern Utah,1337.91,255.53
Savannah State,1330.87,257.99
North Carolina Central,1330.87,257.99
Maine,1330.87,257.99
Austin Peay,1325.08,247.94
Florida Atlantic,1324.84,128.5
Samford,1324.67,258.94
Western Carolina,1323.49,247.25
UTEP,1322.63,123.75
Eastern Kentucky,1313.97,248.79
Liberty,1313.97,248.79
UC Davis,1313.97,248.79
Portland State,1312.08,257.8
Nicholls,1311.72,241.28
Monmouth,1307.7,272.31
Idaho State,1304.51,244.79
Morgan State,1300.56,236.88
Presbyterian College,1297.54,236.38
Texas State,1297.42,137.64
Southern,1286.77,243.38
Howard,1286.77,243.38
UMass,1281.81,142.62
South Carolina State,1266.62,232.97
Houston Baptist,1254.24,219.23
Prairie View,1227.57,238.33
Fresno State,1213.31,138.11
UT Martin,1207.47,211.69
Wagner,1197.92,219.45
