Team,Rating,Rating Deviation
Alabama,2117.91,140.62
Western Michigan,2029.1,154.42
Clemson,2027.18,139.67
Ohio State,2024.63,132.36
Washington,1999.63,139.98
Penn State,1989.91,136.2
Wisconsin,1969.64,134.07
Michigan,1968.74,142.3
USC,1959.97,137.39
Oklahoma State,1939.11,134.65
Oklahoma,1937.89,134.17
Nebraska,1935.03,131.98
Louisville,1932.07,132.59
Navy,1929.73,134.15
Florida State,1920.82,129.32
Colorado,1919.53,128.43
Houston,1908.87,133.95
Boise State,1902,142.42
South Florida,1896.26,126.89
Florida,1875.35,130.61
Washington State,1864.26,129.61
West Virginia,1859.78,138.08
Tennessee,1850.05,131.18
North Carolina,1837.41,131.57
Troy,1836.78,141.55
Tulsa,1828.81,125.35
Virginia Tech,1826.85,124.05
Texas A&M,1826.54,134.92
Wyoming,1821.67,133.54
Toledo,1816.71,131.82
Auburn,1810.34,129.12
Arkansas,1807.42,124.81
Minnesota,1807.23,125.49
Appalachian State,1804.4,135.41
Stanford,1801.36,124.16
Utah,1793.9,132.31
Iowa,1793.01,129.32
Temple,1786.77,127.17
Pittsburgh,1780.32,124.81
Georgia Tech,1775.78,126.52
North Dakota State,1772.14,288.29
San Diego State,1769.95,140.21
LSU,1766.23,129
Georgia,1764.84,128.57
Miami,1757.01,120.93
Memphis,1749.12,122.42
BYU,1748.99,135.96
Arkansas State,1737.09,142.7
Kansas State,1732.65,132.72
Air Force,1728.58,127.56
Western Kentucky,1717.76,130.37
Louisiana Tech,1713.85,126.2
Indiana,1704.58,127.18
Wake Forest,1701.76,131.33
Northwestern,1694.17,128.73
Ole Miss,1680.09,126.23
Ohio,1677.7,134.89
New Mexico,1671.88,128.71
Kentucky,1670.8,131.72
NC State,1668.33,124.7
South Carolina,1663.47,134.21
Albany,1662.31,290.32
Northern Iowa,1662.31,290.32
Richmond,1662.31,290.32
Eastern Washington,1662.31,290.32
Old Dominion,1656.78,126.45
Colorado State,1655.07,128.26
UCF,1645.8,122.51
TCU,1638.89,134.87
Maryland,1638.4,130.22
Idaho,1632.93,130.96
Eastern Illinois,1629.7,283.79
Illinois State,1629.7,283.79
Vanderbilt,1629.26,128.1
Arizona State,1625.48,128.4
