Team,Rating,Rating Deviation
Auburn,2119.09,146.46
TCU,2077.54,145.58
Oregon,2071.1,150.48
Wisconsin,2028.12,137.64
LSU,2026.89,139.52
Michigan State,2016.39,141.48
Oklahoma State,2012.53,135.03
Boise State,2008.72,152.46
Stanford,2003.1,136.36
Ohio State,1993.67,134.71
Nebraska,1988.29,132.19
Virginia Tech,1985.06,140.36
Alabama,1968.1,131.39
Missouri,1957.08,129.22
Oklahoma,1949.91,129.6
Arkansas,1944.46,129.99
Texas A&M,1938.6,126.32
Nevada,1890.74,150.19
Utah,1866.79,135.18
Iowa,1859.2,125.38
South Carolina,1851.51,133.02
Florida State,1834.83,122.51
Arizona,1814.63,133.66
NC State,1812.54,127.65
Hawai'i,1807.81,137.41
Michigan,1805.77,127.34
Northern Illinois,1799.6,132.52
Penn State,1793.23,124.99
Mississippi State,1787.75,126.85
USC,1780.13,128.23
Florida,1777.35,128.15
Baylor,1775.32,117.6
Navy,1769.53,128.35
UCF,1768.95,127.95
Miami,1765.33,123.14
Air Force,1755.47,131.12
Northwestern,1754.9,131.29
Tulsa,1751.14,125.8
Texas Tech,1740.09,130.83
West Virginia,1737.14,132.21
Liberty,1731.88,286.93
Southern Mississippi,1730.48,128.04
Illinois,1725.49,127.48
Notre Dame,1721.27,127.73
San Diego State,1717.14,136.4
North Carolina,1715.21,126.41
Temple,1710.77,135.17
Connecticut,1709.36,129.82
Kansas State,1707.54,124.84
Pittsburgh,1698.37,129.02
Washington,1692.85,138.76
Syracuse,1686.87,125.17
Oregon State,1686.19,132.18
Clemson,1685.05,125.93
South Florida,1683.83,128.49
Texas,1677.31,127.92
California,1676.69,130.01
Maryland,1675.4,125.9
Boston College,1670.47,125.93
Toledo,1667.66,134.58
Ohio,1666.76,127.69
North Dakota State,1662.31,290.32
Jacksonville State,1662.31,290.32
UCLA,1661.94,140.72
Georgia Tech,1651.26,125.88
Fresno State,1650.74,137.14
Kentucky,1648.81,136.49
Colorado,1638.45,127.15
Iowa State,1638.16,130.14
BYU,1632.37,136.52
James Madison,1629.7,283.79
Gardner-Webb,1629.7,283.79
Georgia,1616.3,132.99
SMU,1607.48,121.13
East Carolina,1603.68,129.13
Purdue,1599.13,134.89
South Dakota,1594.35,255.23
Army,1591.34,123.32
Miami (OH),1588.71,129.57
Tennessee,1586.48,134.09
Ole Miss,1574.34,137.32
Cincinnati,1573.56,132.36
Arizona State,1571.59,136.64
Louisville,1558.86,122.91
Houston,1542.27,125.45
Indiana,1534.1,139.44
UC Davis,1529.07,237
Louisiana Tech,1527.22,134.33
Idaho,1526.5,132.6
UTEP,1512.11,129.1
Troy,1506.59,131.07
Florida International,1506.55,134.06
Virginia,1504.2,125.8
Duke,1503.19,133.56
Rutgers,1497.63,127.55
Kansas,1492.9,141.12
UAB,1492.09,131.95
Marshall,1484,135.31
Tulane,1483.1,122.99
Chattanooga,1477.4,329.8
Louisiana Monroe,1476.89,132.23
Western Michigan,1463.2,125.64
Georgia State,1459.84,313.78
Rice,1454.07,135.37
South Dakota State,1440.82,304.08
Northern Colorado,1439.9,303.52
Utah State,1437.32,130.38
UMass,1429.62,298.73
