Team,Rating,Rating Deviation
Clemson,2131.52,141.84
Notre Dame,2119.16,145.23
Alabama,2109.53,144.21
Georgia,2039.97,132.91
UCF,2031.32,147.44
Ohio State,2007.05,140.16
Oklahoma,1970.38,134.93
Washington State,1969.96,137.73
LSU,1955.2,135.88
Michigan,1934.11,130.57
Army,1919.15,148.06
Texas,1903.24,124.17
West Virginia,1877.17,136.25
Boise State,1871.72,127.63
Iowa State,1867.75,137.2
Florida,1864.48,126.4
Utah State,1862.96,139.92
Penn State,1860.83,126.49
Cincinnati,1857.52,137.48
Mississippi State,1856.36,127.54
Kentucky,1855.98,128.71
Troy,1847.81,132
Fresno State,1847.41,130.06
Texas A&M,1843.77,125.37
Pittsburgh,1843.14,131.58
Appalachian State,1841.05,141.22
UAB,1839.63,135.92
Utah,1832.7,127.02
Washington,1832.67,131.39
Temple,1828.12,129.05
Syracuse,1827.24,138.02
NC State,1826.83,134.44
Missouri,1812.1,127.71
Northwestern,1792.34,132.49
Georgia Southern,1785.88,132.16
Buffalo,1785.62,143.5
Boston College,1780.34,131.57
Virginia,1779.78,127.31
South Carolina,1774.64,130.9
Houston,1770.03,131.93
Auburn,1769.98,125.93
Oregon,1766.64,126.7
Georgia Tech,1762.79,127.54
Duke,1756.01,132.04
Iowa,1749.9,123.07
Stanford,1743.23,132.21
Wisconsin,1736.36,127.38
Michigan State,1731.55,128.35
Oklahoma State,1725.57,129.82
Nevada,1723.7,130.51
Arkansas State,1712.63,120.72
Arizona State,1705.12,126.55
Northern Illinois,1703.69,123.47
North Texas,1698.63,137.32
Purdue,1697.05,133.97
Florida State,1695.18,134.76
California,1694.59,135.58
Florida International,1691.37,131.48
Louisiana Tech,1687.64,133.9
Marshall,1686.02,133.32
South Florida,1685.05,139.29
BYU,1683.07,126.05
Middle Tennessee,1675.78,134.36
Ohio,1673.3,124.79
Texas Tech,1671.24,125.33
San Diego State,1670.35,139.56
Memphis,1669.43,126.26
Tennessee,1665.28,132.43
Miami,1663.48,121.35
Villanova,1662.31,290.32
North Carolina A&T,1662.31,290.32
Northern Arizona,1662.31,290.32
Baylor,1654.11,125.31
Wake Forest,1651.34,131.62
Southern Mississippi,1650.81,129.48
Illinois State,1647.07,269.24
Louisiana,1646.43,130.3
Miami (OH),1645.22,135.64
Vanderbilt,1641.35,129.94
Louisiana Monroe,1640.09,128.38
TCU,1630.33,127.48
Arizona,1629.52,130.46
Kansas State,1629.13,127.98
SMU,1628.96,139.41
Indiana,1626.51,127.32
Hawai'i,1625.19,127.91
Tulane,1623.85,133.11
Eastern Michigan,1602.64,127.6
Toledo,1601.17,126.39
USC,1598.48,124.45
Nebraska,1596.93,148.5
Maryland,1591.97,128.88
UC Davis,1582.62,247.84
Minnesota,1581.87,131.22
Wyoming,1581.42,131.54
Ole Miss,1570.83,127.06
Coastal Carolina,1566.49,125.03
Florida Atlantic,1564.08,130.43
UCLA,1542.68,144.27
Virginia Tech,1540.96,139.1
Colorado,1536.72,134.28
Liberty,1518.11,138.46
Nicholls,1508.53,244.43
Illinois,1508.45,125.14
Western Michigan,1503.33,126.01
UMass,1498.1,127.68
Air Force,1494.7,128.15
Kansas,1490.73,134.83
Old Dominion,1478.93,139.2
The Citadel,1477.5,329.76
Colgate,1450.37,306.78
Lafayette,1447.41,304.63
North Carolina Central,1445.36,307.01
Charlotte,1443.31,125.07
Ball State,1441.12,124.37
Murray State,1429.62,298.73
Eastern Washington,1428.65,299.03
East Carolina,1422.6,137.99
Colorado State,1422.55,134.71
Northern Iowa,1422.17,295.1
Holy Cross,1420.18,296.35
Chattanooga,1419.71,283.09
Alabama A&M,1417.9,292.88
New Hampshire,1416.16,291.43
McNeese,1415.83,288.65
Navy,1415.34,146.92
New Mexico,1410.4,133.4
Towson,1407.26,290.41
Wagner,1407.26,290.41
Southern Illinois,1407.26,290.41
William & Mary,1407.26,290.41
Youngstown State,1407.26,290.41
Western Illinois,1407.26,290.41
Akron,1404.47,131.93
Maine,1399.71,246.96
North Carolina,1395.13,153.37
Lehigh,1393.72,282.01
UNLV,1391.58,134.21
UT San Antonio,1390.77,135.07
Campbell,1388.89,280.24
Gardner-Webb,1388.89,280.24
Tennessee State,1388.38,273.34
Stony Brook,1383.36,286.93
Morgan State,1383.36,286.93
Grambling,1383.36,286.93
Stephen F. Austin,1383.36,286.93
Kennesaw State,1383.36,286.93
Weber State,1383.36,286.93
Missouri State,1383.36,286.93
Monmouth,1383.36,286.93
Abilene Christian,1383.36,286.93
Jackson State,1383.36,286.93
Central Arkansas,1383.36,286.93
Eastern Illinois,1383.36,286.93
Southeast Missouri State,1383.36,286.93
Albany,1383.36,286.93
South Dakota,1383.36,286.93
Furman,1383.36,286.93
Richmond,1383.36,286.93
Austin Peay,1383.36,286.93
James Madison,1383.36,286.93
Elon,1383.36,286.93
Northwestern State,1383.36,286.93
Charleston Southern,1383.36,286.93
Central Connecticut,1383.36,286.93
Fordham,1383.36,286.93
Mercer,1383.36,286.93
Texas State,1376.55,138.23
Oregon State,1367.25,143.41
Arkansas-Pine Bluff,1366.88,267.13
Tennessee Tech,1360.99,272.21
Idaho,1356.27,267.12
Arkansas,1356.2,150.83
South Alabama,1355.96,139.47
Louisville,1355.12,144.25
Wofford,1355.04,268.96
Idaho State,1349.51,249.14
Houston Baptist,1345.35,267.37
New Mexico State,1342.57,137.2
East Tennessee State,1342.31,275.57
Florida A&M,1342.31,275.57
Indiana State,1342.31,275.57
Samford,1342.31,275.57
Lamar,1342.31,275.57
North Dakota,1342.31,275.57
Sacramento State,1342.31,275.57
Georgia State,1339.61,130.75
Duquesne,1336.18,257.01
Portland State,1330.87,257.99
Incarnate Word,1330.87,257.99
Southeastern Louisiana,1330.87,257.99
South Carolina State,1330.87,257.99
Southern,1330.87,257.99
Bowling Green,1317.79,131.38
Rhode Island,1316.08,272.41
Rutgers,1306.42,149.66
Prairie View,1304.46,245.39
Texas Southern,1294.98,248.03
Kent State,1288.14,135.47
Eastern Kentucky,1287.56,241.01
UT Martin,1286.77,243.38
Howard,1286.77,243.38
Savannah State,1286.77,243.38
Alabama State,1283.12,234.55
VMI,1276.93,231.61
Western Kentucky,1274.03,137.88
Western Carolina,1272.41,263.68
Tulsa,1270.98,132.25
San José State,1267.58,159.16
Bethune-Cookman,1266.08,228.83
Delaware State,1257.34,237.51
Southern Utah,1246.71,234.14
Alcorn State,1235.8,229.48
Rice,1230.72,141.77
Connecticut,1207.02,142.01
Central Michigan,1172.02,139.85
UTEP,1156.9,148.17
