Team,Rating,Rating Deviation
Iowa,2089.55,147.72
Clemson,2083.09,148.08
Alabama,2066,134.24
Oklahoma,2039.19,132.29
Florida,2036.46,141.97
Ohio State,2033.91,141.41
Notre Dame,2016.01,140
Michigan State,2014.7,145.14
Oklahoma State,2007.44,140.09
North Carolina,2004.49,132.59
Baylor,1996.5,143.31
Northwestern,1975.84,127.96
Michigan,1969.62,129.32
Navy,1968.75,140.39
Stanford,1934,126.75
TCU,1918.48,140.56
Houston,1917.89,146.16
Toledo,1915.04,148.6
LSU,1904.01,135.61
Oregon,1903.07,121.12
Florida State,1899.55,139.1
Ole Miss,1897.93,130.48
Washington State,1886.15,128.09
UCLA,1872.3,127.64
Mississippi State,1869.36,126.26
Temple,1865.05,141.03
Western Kentucky,1852.31,144.78
Pittsburgh,1842.82,127
Wisconsin,1842.35,131.08
Memphis,1838.14,132.51
Georgia,1828.79,126.21
Utah,1822.98,132.78
Penn State,1810.27,128.38
Arkansas,1809.59,134.26
Bowling Green,1806.74,126.14
USC,1806.58,127.94
South Florida,1805.51,128.22
Texas A&M,1804.55,129.44
Miami,1794.66,130.24
Northern Illinois,1784.56,128.56
BYU,1782.69,129.06
Appalachian State,1776.43,146.7
West Virginia,1772.8,138.38
Tennessee,1765.2,131.37
Arkansas State,1759.14,141.02
Marshall,1755.36,139.81
Louisiana Tech,1753.92,131.34
Louisville,1749.99,135.81
Air Force,1740.59,127.31
Arizona State,1740.42,124.02
San Diego State,1739.81,128.55
NC State,1724.51,130.15
California,1706.76,126.06
Southern Mississippi,1701.54,127.26
Auburn,1699.95,126.87
Portland State,1699.59,266.59
Minnesota,1696.69,135.18
Cincinnati,1690.6,128.67
Indiana,1688.19,131.73
Georgia Southern,1682.6,139.43
Arizona,1681.01,119.86
Nebraska,1679.78,131.92
Texas Tech,1676.88,130.99
Duke,1666.64,126.76
James Madison,1664.51,271.29
Fordham,1662.31,290.32
North Dakota,1662.31,290.32
South Dakota State,1662.31,290.32
Connecticut,1662.07,132.71
Illinois,1649.24,127.32
Middle Tennessee,1645.86,129.34
Ohio,1644.93,130.8
Washington,1642.01,126.54
Western Michigan,1641.52,135.75
Missouri,1638.23,126.35
Central Michigan,1637.91,128.62
Boise State,1635.58,131.06
Virginia Tech,1625.64,128.6
Utah State,1612.5,122.31
Texas,1608.27,146.18
Virginia,1602.61,136.9
Colorado State,1597.56,126.93
Kansas State,1592.99,133.48
Vanderbilt,1591.35,135.29
Tulsa,1584.36,134.73
New Mexico,1583.94,122.95
Kentucky,1581.84,124.91
Akron,1580.48,126.96
Nevada,1576.51,122.59
East Carolina,1569.45,128.73
Liberty,1553.32,239.28
Rutgers,1549.8,137.5
The Citadel,1548.26,227.29
San José State,1541.53,121.73
Wake Forest,1530.32,139.07
Old Dominion,1525.12,125.53
South Alabama,1522.36,127.4
Colorado,1517.17,130.16
Buffalo,1509.97,124.35
Iowa State,1508.44,143.16
Georgia Tech,1490.17,135.17
Georgia State,1487.49,131.35
Boston College,1482.07,130.54
Florida International,1471.8,121.1
Syracuse,1470.39,137.32
South Carolina,1465.34,138.15
Furman,1451.38,234.04
Chattanooga,1447.21,303.69
Maryland,1440.86,146.42
Southeastern Louisiana,1429.62,298.73
Northern Arizona,1429.62,298.73
Louisiana,1426.73,127.2
Rice,1420.95,124.99
Purdue,1419.39,152.94
UTEP,1416.2,127.99
New Mexico State,1412.31,146.33
Ball State,1410.43,126.71
Delaware,1409.88,286.03
Kent State,1407.78,128.96
Stephen F. Austin,1407.26,290.41
Eastern Illinois,1407.26,290.41
Jacksonville State,1407.26,290.41
Central Arkansas,1407.26,290.41
Lamar,1407.26,290.41
Western Illinois,1407.26,290.41
Fresno State,1390.47,127.4
SMU,1383.38,149.82
Weber State,1383.36,286.93
San Diego,1383.36,286.93
Albany,1383.36,286.93
Mississippi Valley State,1383.36,286.93
Jackson State,1383.36,286.93
Alabama A&M,1383.36,286.93
Colgate,1383.36,286.93
Southern Utah,1383.36,286.93
Sam Houston State,1383.36,286.93
Florida A&M,1383.36,286.93
Richmond,1383.36,286.93
Southeast Missouri State,1383.36,286.93
Villanova,1383.36,286.93
Rhode Island,1383.36,286.93
Elon,1383.36,286.93
South Dakota,1383.36,286.93
Southern Illinois,1383.36,286.93
New Hampshire,1383.36,286.93
Youngstown State,1383.36,286.93
Grambling,1383.36,286.93
Alcorn State,1383.36,286.93
Morgan State,1383.36,286.93
Towson,1383.36,286.93
Abilene Christian,1383.36,286.93
Eastern Washington,1383.36,286.93
Gardner-Webb,1383.36,286.93
VMI,1383.36,286.93
Bethune-Cookman,1383.36,286.93
Northern Iowa,1383.36,286.93
Illinois State,1383.36,286.93
Tennessee Tech,1383.36,286.93
Oregon State,1381.99,134.87
Tulane,1381.47,140.08
UNLV,1380.72,130.22
Eastern Kentucky,1371.24,266.32
Troy,1368.98,138.82
UT San Antonio,1363.13,133.63
Florida Atlantic,1362.92,143.06
Texas State,1349.11,131.23
Wagner,1349.06,262.8
Southern,1347.98,264.63
Western Carolina,1343.8,251.95
Indiana State,1342.31,275.57
Delaware State,1342.31,275.57
Prairie View,1342.31,275.57
Monmouth,1342.31,275.57
Sacramento State,1342.31,275.57
North Carolina A&T,1342.31,275.57
Cal Poly,1342.31,275.57
Incarnate Word,1337.24,267.71
Charleston Southern,1334.13,269.86
North Carolina Central,1332.4,249.48
Miami (OH),1331.93,127.34
Presbyterian College,1330.87,257.99
Howard,1330.87,257.99
Idaho,1329.98,132.45
UT Martin,1326.2,250.03
William & Mary,1316.08,272.41
UC Davis,1313.97,248.79
Army,1309.59,137.12
Bucknell,1302.14,263.99
Samford,1300.62,271.72
Nicholls,1293.3,247.06
Northwestern State,1281.52,243.07
Norfolk State,1279.5,231.98
Hawai'i,1274.57,119.3
UMass,1273.86,132.13
Murray State,1273.22,239.43
Savannah State,1270.85,239.38
Wofford,1270.85,239.38
Missouri State,1270.85,239.38
Maine,1270.85,239.38
Idaho State,1258.3,230.81
Charlotte,1255.02,132.13
North Texas,1251.11,161.89
Wyoming,1250.04,154.23
Austin Peay,1244.34,233.55
Louisiana Monroe,1200.53,132.78
Eastern Michigan,1173.5,138.42
Kansas,1165.43,182.24
UCF,1098.07,166.31
