Name,School,Score
TreVeyon Henderson,Ohio State,3.6122107
Deuce Vaughn,Kansas State,3.585891956
Bryant Koback,Toledo,3.496160096
Breece Hall,Iowa State,3.485721729
Tyler Badie,Missouri,3.23722303
Lew Nichols,Central Michigan,3.206018383
Tyler Allgeier,Brigham Young,3.181215077
Rasheen Ali,Marshall,3.090902147
Sean Tucker,Syracuse,3.00834754
Kenneth Walker III,Michigan State,2.999706565
Jerome Ford,Cincinnati,2.972675588
Bijan Robinson,Texas,2.887893756
Travis Dye,Oregon,2.857384518
Tyrell Robinson,Army,2.797043601
Christopher Rodriguez Jr.,Kentucky,2.652375525
Ty Chandler,North Carolina,2.425451324
Brian Robinson Jr.,Alabama,2.409369461
Hassan Haskins,Michigan,2.379802889
Kyren Williams,Notre Dame,2.317382486
Rachaad White,Arizona State,2.302229994
Abram Smith,Baylor,2.278951555
Tavion Thomas,Utah,2.273644043
Sincere McCormick,UTSA,2.264501852
Dameon Pierce,Florida,2.229835717
DeWayne McBride,UAB,2.225255218
Sean Tyler,Western Michigan,2.216207545
Keaton Mitchell,East Carolina,2.169187999
Jordan Mims,Fresno State,2.144565732
Braydon Bennett,Coastal Carolina,2.111113368
B.J. Baylor,Oregon State,2.089749167
Kennedy Brooks,Oklahoma,2.075356805
Braelon Allen,Wisconsin,2.075073648
Alton McCaskill,Houston,2.071051279
James Cook,Georgia,2.051025666
Devon Achane,Texas A&amp;M,1.990097552
Mataeo Durant,Duke,1.976671888
Deandre Torrey,North Texas,1.972457569
Zach Charbonnet,UCLA,1.95631766
Shermari Jones,Coastal Carolina,1.857018022
Blake Corum,Michigan,1.785994156
Johnny Ford,Florida Atlantic,1.742933296
Jaylen Warren,Oklahoma State,1.715786873
Micah Davis,Air Force,1.682621713
Dylan McDuffie,Buffalo,1.669760123
Charles Williams,UNLV,1.654711205
Brad Roberts,Air Force,1.652954665
Leddie Brown,West Virginia,1.647223769
Marquez Cooper,Kent State,1.620531763
Max Borghi,Washington State,1.59827475
De'Montre Tuggle,Ohio,1.594591737
Camerun Peoples,Appalachian State,1.575680678
Evan Hull,Northwestern,1.574825658
Tank Bigsby,Auburn,1.516594304
Tyjae Spears,Tulane,1.509343461
Jaylan Knighton,Miami (FL),1.505922917
Jahmyr Gibbs,Georgia Tech,1.444697893
Kendre Miller,Texas Christian,1.414645801
Clint Ratkovich,Northern Illinois,1.348383225
Jamyest Williams,Georgia State,1.348129762
Isaiah Spiller,Texas A&amp;M,1.332943223
Tayon Fleet-Davis,Maryland,1.331132097
Zach Evans,Texas Christian,1.315745406
Xazavian Valladay,Wyoming,1.311817061
Ellis Merriweather,Massachusetts,1.277842682
Jashaun Corbin,Florida State,1.276308679
Blake Watson,Old Dominion,1.270368856
Tiyon Evans,Tennessee,1.260355969
Tyler Goodson,Iowa,1.259094927
Chase Brown,Illinois,1.251934247
Montrell Johnson,Louisiana,1.23898205
Ronnie Rivers,Fresno State,1.214528864
Raheem Blackshear,Virginia Tech,1.210930266
Carson Steele,Ball State,1.208547936
Jerrion Ealy,Ole Miss,1.195940177
David Bailey,Colorado State,1.18998345
Emani Bailey,Louisiana,1.181120275
Ronald Awatt,UTEP,1.178243766
Logan Wright,Georgia Southern,1.170747555
