Name,School,Score
Corey Coleman,Baylor,3.230782988
Roger Lewis,Bowling Green State,3.130348679
Taywan Taylor,Western Kentucky,3.000980396
Michael Thomas,Southern Mississippi,2.860110783
William Fuller,Notre Dame,2.711736228
Josh Doctson,Texas Christian,2.530858013
Corey Davis,Western Michigan,2.415401791
Keyarris Garrett,Tulsa,2.345209927
JuJu Smith-Schuster,USC,2.30448035
James Washington,Oklahoma State,2.105003327
Daniel Braverman,Western Michigan,2.062885161
Thomas Sperbeck,Boise State,2.038224081
Sterling Shepard,Oklahoma,2.016997667
Shelton Gibson,West Virginia,1.907647098
Isaiah Ford,Virginia Tech,1.888106778
Gabe Marks,Washington State,1.874818612
Jakeem Grant,Texas Tech,1.809601967
Kenny Golladay,Northern Illinois,1.740817213
Laquon Treadwell,Ole Miss,1.73174995
Bryce Treggs,California,1.67232534
Ed'Marques Batties,Middle Tennessee State,1.637041624
Leonte Carroo,Rutgers,1.635069573
Trent Taylor,Louisiana Tech,1.620694031
Aaron Burbridge,Michigan State,1.597550497
Mack Hollins,North Carolina,1.590687059
Chris Moore,Cincinnati,1.551978161
Richie James,Middle Tennessee State,1.551338949
Devin Lucien,Arizona State,1.549759662
Dom Williams,Washington State,1.548959058
Penny Hart,Georgia State,1.523590222
Thomas Duarte,UCLA,1.42703679
Courtland Sutton,SMU,1.409183832
Rodney Adams,South Florida,1.402563708
De'Runnya Wilson,Mississippi State,1.386647646
Jerome Lane,Akron,1.3582085
Rashard Higgins,Colorado State,1.350173613
Cody Thompson,Toledo,1.329484714
Jay Lee,Baylor,1.306401973
Chris Godwin,Penn State,1.26842547
Pharoh Cooper,South Carolina,1.254259646
Devonte Boyd,UNLV,1.226366644
Demarcus Ayers,Houston,1.22421886
Simmie Cobbs,Indiana,1.210890375
Zach Pascal,Old Dominion,1.200754665
Robert Davis,Georgia State,1.199610863
Tajae Sharpe,Massachusetts,1.195592683
Carlos Henderson,Louisiana Tech,1.174096662
Gehrig Dieter,Bowling Green State,1.155236694
Travis Rudolph,Florida State,1.141935242
Josh Reynolds,Texas A&amp;M,1.133915549
Teddy Ruben,Troy,1.131229508
Nicholas Norris,Western Kentucky,1.126728979
K.D. Cannon,Baylor,1.124583374
Jordan Payton,UCLA,1.1239631
Drew Morgan,Arkansas,1.118840545
Jalen Robinette,Air Force,1.096873964
Mitch Mathews,Brigham Young,1.074985979
Joshua Atkinson,Tulsa,1.06505258
Kenny Lawler,California,1.062479085
Ricky Jones,Indiana,1.047693195
Jehu Chesson,Michigan,1.038324251
Tres Houston,Arkansas State,1.034679798
Jordan Westerkamp,Nebraska,1.019389807
Christian Kirk,Texas A&amp;M,1.011591172
Bralon Addison,Oregon,1.004023817
Cayleb Jones,Arizona,0.9994163601
Jordan Williams,Ball State,0.9897960847
Robby Anderson,Temple,0.9853785663
Michael Thomas,Ohio State,0.9787429368
Calvin Ridley,Alabama,0.9746251809
Ronnie Moore,Bowling Green State,0.8900500832
Donovan Harden,Georgia State,0.8694524237
Hunter Sharp,Utah State,0.8606893011
Brandon Reilly,Nebraska,0.8522785073
Canaan Severin,Virginia,0.8419216951
Marcell Ateman,Oklahoma State,0.8268177955
Edgar Poe,Army,0.825063453
Malcolm Mitchell,Georgia,0.8181772295
Zay Jones,East Carolina,0.8104621647
Casey Martin,Southern Mississippi,0.7830090901
Jamal Robinson,Louisiana,0.7809027676
Allen Lazard,Iowa State,0.777942835
Johnny Holton,Cincinnati,0.7755843909
Darren Carrington,Oregon,0.7724902225
Jamir Tillman,Navy,0.7541317571
Antonio Callaway,Florida,0.7445384533
Malachi Dupre,LSU,0.7399043838
Terry Pettis,Middle Tennessee State,0.7263185373
Kermit Whitfield,Florida State,0.7242611831
Nelson Spruce,Colorado,0.7164842816
Kolby Listenbee,Texas Christian,0.7103447098
D.J. Thompson,Southern Mississippi,0.7078311066
KaVontae Turpin,Texas Christian,0.707752204
Shaq Washington,Cincinnati,0.7038050823
Fred Ross,Mississippi State,0.7021553791
Tanner Gentry,Wyoming,0.6691268721
Ron Willoughby,Buffalo,0.6684440501
Jesse Kroll,Central Michigan,0.6604568066
David Glidden,Oklahoma State,0.6549887858
Tyrain Taylor,New Mexico State,0.6489000757
Quincy Adeboyejo,Ole Miss,0.6429978516
Jared Dangerfield,Western Kentucky,0.6311821783
Dominique Reed,Arkansas,0.6260532993
Dede Westbrook,Oklahoma,0.6214086338
Jonathan Duhart,Old Dominion,0.6150931
Sebastian Smith,Ohio,0.601645695
Chance Allen,Houston,0.6000103686
Alex Erickson,Wisconsin,0.598809112
Michael Rector,Stanford,0.5982735339
Tyler Higbee,Western Kentucky,0.5895156313
Alonzo Russell,Toledo,0.5662858943
Ricky Jeune,Georgia Tech,0.5561530953
Antwane Grant,Western Kentucky,0.5557769542
Gerald Everett,South Alabama,0.5516043504
Tyler Boyd,Pitt,0.5456908163
Cody Core,Ole Miss,0.5366552945
Geronimo Allison,Illinois,0.5326547978
Carlos Harris,North Texas,0.5220501799
Charone Peake,Clemson,0.5203557573
Anthony Miller,Memphis,0.5198535684
Deangelo Yancey,Purdue,0.515141425
Thomas Owens,Florida International,0.5129110266
Jordan Villamin,Oregon State,0.5071365628
Ajalen Holley,Louisiana-Monroe,0.5007549627
Deon Cain,Clemson,0.4935553252
James Quick,Louisville,0.4920495841
Reginald Davis,Texas Tech,0.4902544456
Steve Ishmael,Syracuse,0.4882527747
Hasaan Henderson,Nevada,0.4592661105
Artavis Scott,Clemson,0.4578076611
Ryan Switzer,North Carolina,0.452908787
Ben McCord,Central Michigan,0.4469371569
Josh Magee,South Alabama,0.4393659377
Ricardo Louis,Auburn,0.4292202181
Jake Maulhardt,Wyoming,0.4272645703
Jamari Staples,Louisville,0.4164387189
Stacy Coley,Miami (FL),0.4048131204
Rashawn Scott,Miami (FL),0.4041536317
Tre'Quan Smith,UCF,0.402545684
Tim White,Arizona State,0.4024074421
Jordan Leggett,Clemson,0.3980679072
Jenson Stoshak,Florida Atlantic,0.3971387488
Amara Darboh,Michigan,0.383017313
Hunter Henry,Arkansas,0.3791122202
Micah Holder,San Diego State,0.3716198034
Mitchell Paige,Indiana,0.364781252
Dijon Paschal,Arkansas State,0.3635870312
Darius Powe,California,0.3592908804
Trevor Davis,California,0.3503488857
Davonte Allen,Marshall,0.3451773202
Jordan Bergstrom,New Mexico State,0.3435453256
Deon Watson,Idaho,0.3411719319
Devin Lauderdale,Texas Tech,0.3329636157
Jordan Reid,Ohio,0.329524484
Travin Dural,LSU,0.3275788789
Corey Willis,Central Michigan,0.3249399103
Teddy Veal,Tulane,0.3232172782
Maurice Harris,California,0.2987577531
Tevaun Smith,Iowa,0.2931496402
Mose Frazier,Memphis,0.2874520373
Marcus Green,Louisiana-Monroe,0.2851301415
DaeSean Hamilton,Penn State,0.2714491806
K.J. Maye,Minnesota,0.269963575
