Name,School,Score
Zach Wilson,Brigham Young,4.267726138
Mac Jones,Alabama,3.952174146
Grayson McCall,Coastal Carolina,2.788232345
Trevor Lawrence,Clemson,2.525617854
Ian Book,Notre Dame,2.508942659
Dillon Gabriel,UCF,2.398426811
Kyle Trask,Florida,2.232132819
Carson Strong,Nevada,2.144464906
Kaleb Eleby,Western Michigan,2.113830368
Layne Hatcher,Arkansas State,2.029912222
Sam Howell,North Carolina,1.99018326
Sam Ehlinger,Texas,1.812277288
Malik Willis,Liberty,1.805414141
Kellen Mond,Texas A&amp;M,1.780139455
Desmond Ridder,Cincinnati,1.691337307
Spencer Rattler,Oklahoma,1.642075617
Dustin Crum,Kent State,1.620877092
D.J. Uiagalelei,Clemson,1.600891345
D'Eriq King,Miami (FL),1.507103158
Feleipe Franks,Arkansas,1.370516512
Shane Buechele,SMU,1.359724527
Max Duggan,Texas Christian,1.310969041
Jarret Doege,West Virginia,1.286750634
JT Daniels,Georgia,1.262352308
Justin Fields,Ohio State,1.135939473
Michael Collins,Rice,1.058363534
Tyrrell Pigrome,Western Kentucky,1.02299851
Eli Peters,Toledo,1.021631439
Phil Jurkovec,Boston College,1.014209244
Max Johnson,LSU,0.9998174069
Jordan McCloud,South Florida,0.9445023955
Kyle Vantrease,Buffalo,0.8998621453
Davis Mills,Stanford,0.8700227892
Tyler Johnston III,UAB,0.8639131555
Ross Bowers,Northern Illinois,0.8571427171
Desmond Trotter,South Alabama,0.840143559
Jack Plummer,Purdue,0.833306778
Adrian Martinez,Nebraska,0.8279046528
Jayden Daniels,Arizona State,0.7735308357
Jake Haener,Fresno State,0.759792479
Drew Plitt,Ball State,0.7270612531
Chris Reynolds,Charlotte,0.7205385923
Hank Bachmeier,Boise State,0.684703005
Chevan Cordeiro,Hawaii,0.6501012962
Hendon Hooker,Virginia Tech,0.6163176858
Sam Hartman,Wake Forest,0.6043522414
Artur Sitkowski,Rutgers,0.6031351694
Aidan O'Connell,Purdue,0.5687895531
Devin Leary,North Carolina State,0.5283417369
Austin Aune,North Texas,0.5078275844
Preston Hutchinson,Eastern Michigan,0.504486383
Michael Penix Jr.,Indiana,0.5042368188
Frank Harris,UTSA,0.5004453501
Myles Brennan,LSU,0.4926439785
Levi Lewis,Louisiana,0.416642164
Bo Nix,Auburn,0.4083864313
Braxton Burmeister,Virginia Tech,0.3900583521
Connor Bazelak,Missouri,0.3850111859
Brady White,Memphis,0.2920824091
Dorian Thompson-Robinson,UCLA,0.2872014062
Grant Gunnell,Arizona,0.2864456077
Gunnar Watson,Troy,0.2648437848
Brock Purdy,Iowa State,0.2438972484
Daniel Richardson,Central Michigan,0.2117019924
Luke Anthony,Louisiana Tech,0.2114433091
Nick Starkel,San Jose State,0.2089556527
Terry Wilson,Kentucky,0.1917213739
