Name,School,Score
Dak Prescott,Mississippi State,2.875585388
Greg Ward Jr.,Houston,2.762246725
Paxton Lynch,Memphis,2.65406908
J.W. Walsh,Oklahoma State,2.626492452
Matt Johnson,Bowling Green State,2.485999648
Brandon Doughty,Western Kentucky,2.418058115
Baker Mayfield,Oklahoma,2.357324067
Luke Falk,Washington State,2.009308637
Greyson Lambert,Georgia,1.890989553
Jarrett Stidham,Baylor,1.881765754
Cody Kessler,USC,1.734522215
C.J. Beathard,Iowa,1.695404545
Nate Sudfeld,Indiana,1.680835556
Joshua Dobbs,Tennessee,1.671464821
Brad Kaaya,Miami (FL),1.648279981
Jeff Driskel,Louisiana Tech,1.61665605
Vernon Adams,Oregon,1.578298023
Everett Golson,Florida State,1.560981241
Seth Russell,Baylor,1.559855289
Dane Evans,Tulsa,1.544539848
Anu Solomon,Arizona,1.509694038
Maxwell Smith,San Diego State,1.509661941
Tyrone Swoopes,Texas,1.457987368
Kent Myers,Utah State,1.450173669
Brandon Allen,Arkansas,1.408997127
Kevin Hogan,Stanford,1.352430016
Trevone Boykin,Texas Christian,1.331782932
Drew Hare,Northern Illinois,1.313416692
Brent Stockstill,Middle Tennessee State,1.294343554
Jacoby Brissett,North Carolina State,1.277793299
Mike Bercovici,Arizona State,1.225119845
J.T. Barrett,Ohio State,1.16765693
Zach Terrell,Western Michigan,1.124062179
Montell Cozart,Kansas,1.106326418
Marquise Williams,North Carolina,1.092158328
Will Grier,Florida,1.084958099
Quinton Flowers,South Florida,1.060543886
Deshaun Watson,Clemson,1.049495768
Connor Cook,Michigan State,1.036534893
Jake Coker,Alabama,0.9445735903
Brett Rypien,Boise State,0.9352094052
Mason Rudolph,Oklahoma State,0.886169686
Sefo Liufau,Colorado,0.8350426636
Bram Kohlhausen,Texas Christian,0.8258675724
Matt Davis,SMU,0.8242558276
David Washington,Old Dominion,0.8062843987
Nick Mullens,Southern Mississippi,0.7963986225
Kenny Potter,San Jose State,0.7780506954
Wes Lunt,Illinois,0.7774013846
Jared Goff,California,0.7680973414
Mack Leftwich,UTEP,0.7645589098
Nick Arbuckle,Georgia State,0.7571924078
Chad Kelly,Ole Miss,0.7524913356
Christian Hackenberg,Penn State,0.7297171891
DeShone Kizer,Notre Dame,0.7101371982
Riley Neal,Ball State,0.6653853302
Brandon Silvers,Troy,0.6639561375
Thomas Sirk,Duke,0.6481446156
Alex McGough,Florida International,0.6126025707
Brandon Harris,LSU,0.5956200138
Jake Rudock,Michigan,0.5725893379
Joel Lanning,Iowa State,0.5609402268
J.D. Sprague,Ohio,0.5477871956
Driphus Jackson,Rice,0.5391459524
Taylor Lamb,Appalachian State,0.5279124854
Chase Litton,Marshall,0.5153164797
Tyler Rogers,New Mexico State,0.506987087
Eric Dungey,Syracuse,0.5021035393
P.J. Walker,Temple,0.4967021472
Cooper Rush,Central Michigan,0.4920619784
Patrick Mahomes,Texas Tech,0.4878524298
Cardale Jones,Ohio State,0.4743867445
Derrius Vick,Ohio,0.4305306381
Seth Collins,Oregon State,0.4186912994
Kyle Allen,Texas A&amp;M,0.4039582885
Joe Gray,San Jose State,0.343691701
Tyler Stewart,Nevada,0.3234162524
Tanner Mangum,Brigham Young,0.32252526
Nathan Peterman,Pitt,0.3218943188
Lamar Jackson,Louisville,0.2752530269
Sean White,Auburn,0.2648428376
Nick Jeanty,New Mexico State,0.2565573143
Zack Mahoney,Syracuse,0.2412794038
Ryan Graham,Northern Illinois,0.2094656541
Sean Maguire,Florida State,0.186427372
Josh Rosen,UCLA,0.1656604046
Tyler Jones,Texas State,0.120272063
Blake Bogenschutz,UTSA,0.08563572849
Jordy Joseph,Tulane,0.05805070142
Jerrod Heard,Texas,0.05449355294
Jake Browning,Washington,0.02768184334
Michael Brewer,Virginia Tech,0.01362218223
Phillip Ely,Toledo,0.01125100228
Jerrard Randall,Arizona,0.005656546159
Treon Harris,Florida,-0.007088940469
Blake Kemp,East Carolina,-0.009210323794
Jason Driskel,Florida Atlantic,-0.06465342046
Kendall Hinton,Wake Forest,-0.07501311725
Shuler Bentley,Old Dominion,-0.1108480547
Matt Linehan,Idaho,-0.1264865828
Colin Reardon,Kent State,-0.1406497398
Bryant Shirreffs,Connecticut,-0.1509378675
Jalen Nixon,Louisiana,-0.2072187735
Gunner Kiel,Cincinnati,-0.2140550241
Jeff Lockie,Oregon,-0.2176837386
Dalton Sturm,UTSA,-0.275126621
Maty Mauk,Missouri,-0.2825899879
Kyle Bolin,Louisville,-0.2924301492
Andrew McNulty,North Texas,-0.3090637522
