Name,School,Score
Geno Smith,West Virginia,2.650286176
Colby Cameron,Louisiana Tech,2.610056822
Jordan Lynch,Northern Illinois,2.595039709
Johnny Manziel,Texas A&amp;M,2.555796517
Ryan Aplin,Arkansas State,2.506630944
A.J. McCarron,Alabama,2.42390538
Tino Sunseri,Pitt,2.340860206
Derek Carr,Fresno State,2.100391224
Matt McGloin,Penn State,1.865483962
Marcus Mariota,Oregon,1.811404371
Collin Klein,Kansas State,1.803396595
Eric Soza,UTSA,1.803394286
J.W. Walsh,Oklahoma State,1.789915858
David Fales,San Jose State,1.783484588
Tyler Tettleton,Ohio,1.744893031
Brett Smith,Wyoming,1.709242374
Jake Medlock,Florida International,1.667103331
Blake Bortles,UCF,1.60398445
Teddy Bridgewater,Louisville,1.518554778
Bryn Renner,North Carolina,1.479372277
Casey Pachall,Texas Christian,1.473807853
Chuckie Keeton,Utah State,1.429960011
Taylor McHargue,Rice,1.381184435
Jacob Karam,Memphis,1.331669477
Brendon Kay,Cincinnati,1.319389218
Braxton Miller,Ohio State,1.281498619
Aaron Murray,Georgia,1.204369055
Jonathan Perry,UAB,1.180617201
Cody Fajardo,Nevada,1.153315422
Brett Hundley,UCLA,1.135990851
Rakeem Cato,Marshall,1.120069776
Shaun Rutherford,Texas State,1.116759609
Jordan Rodgers,Vanderbilt,1.11262749
Graham Wilbert,Florida Atlantic,1.097975462
Stephen Morris,Miami (FL),1.077808475
Tajh Boyd,Clemson,1.070618141
Nick Florence,Baylor,1.058666484
Deon Anthony,Troy,1.050128195
Terrance Broadway,Louisiana,0.9582945853
Cody Vaz,Oregon State,0.9549492297
Logan Kilgore,Middle Tennessee State,0.9500477792
Taylor Kelly,Arizona State,0.9192881233
Joe Southwick,Boise State,0.9177965728
Landry Jones,Oklahoma,0.9012135278
Everett Golson,Notre Dame,0.8847519744
Shane Carden,East Carolina,0.8629136973
Kevin Hogan,Stanford,0.8506613927
Nate Sudfeld,Indiana,0.8366355548
E.J. Manuel,Florida State,0.7997065389
Ryan Katz,San Diego State,0.7989557512
Kolton Browning,Louisiana-Monroe,0.7887467884
Dylan Thompson,South Carolina,0.7688069365
Ryan Nassib,Syracuse,0.7367713946
Robert Marve,Purdue,0.7317039129
David Ash,Texas,0.7270252541
Devin Gardner,Michigan,0.6621612407
James Lark,Brigham Young,0.6303731576
Jeff Driskel,Florida,0.6169796225
