Name,School,Score
Baker Mayfield,Oklahoma,3.328630398
Jalen Hurts,Alabama,2.583830332
Mason Rudolph,Oklahoma State,2.543669539
John Wolford,Wake Forest,2.201432908
Danny Etling,LSU,2.131215222
A.J. Erdely,UAB,2.03811261
McKenzie Milton,UCF,2.02348083
Andrew Ford,Massachusetts,1.917617877
Jake Browning,Washington,1.904406917
Caleb Evans,Louisiana-Monroe,1.861226958
Jason Driskel,Florida Atlantic,1.849463021
Riley Ferguson,Memphis,1.792963585
D'Eriq King,Houston,1.679120876
Quinton Flowers,South Florida,1.669360931
Mike White,Western Kentucky,1.653267078
Lamar Jackson,Louisville,1.603674072
Nathan Rourke,Ohio,1.586443628
Tyree Jackson,Buffalo,1.585018625
Drew Anderson,Buffalo,1.566567669
Kwadra Griggs,Southern Mississippi,1.542575007
J.T. Barrett,Ohio State,1.536445478
Jarrett Stidham,Auburn,1.478220829
Logan Woodside,Toledo,1.462660212
Kyle Kempt,Iowa State,1.441132553
Taylor Lamb,Appalachian State,1.434699532
Ryan Finley,North Carolina State,1.419352281
J'mar Smith,Louisiana Tech,1.37710734
Trace McSorley,Penn State,1.298487193
Justin Herbert,Oregon,1.292727824
Marcus McMaryion,Fresno State,1.287932533
Montell Cozart,Boise State,1.237357524
Jordan Ta'amu,Ole Miss,1.174846452
Matt Linehan,Idaho,1.174104426
Brandon Silvers,Troy,1.172959582
Bryant Shirreffs,Connecticut,1.15831397
Brett Rypien,Boise State,1.095093412
Manny Wilkins,Arizona State,1.084786416
Kenny Hill,Texas Christian,1.067656656
Jarret Doege,Bowling Green State,1.021354973
Max Browne,Pitt,1.016601529
Nic Shimonek,Texas Tech,0.9982911039
Christian Chapman,San Diego State,0.9596733692
Kelly Bryant,Clemson,0.9462328122
Jake Fromm,Georgia,0.9255513853
Dalton Sturm,UTSA,0.9238357734
Charlie Brewer,Baylor,0.9104689635
Brandon Wimbush,Notre Dame,0.9029589439
Conner Manning,Georgia State,0.8819998908
Chazz Surratt,North Carolina,0.8737204184
Chad President,Tulsa,0.8565873129
Nathan Stanley,Iowa,0.8508332678
K.J. Costello,Stanford,0.7881108348
Jonathan Banks,Tulane,0.7862263377
Nick Stevens,Colorado State,0.7767474129
Jon Wassink,Western Michigan,0.7665676578
Brian Lewerke,Michigan State,0.7640141503
Jarrett Guarantano,Tennessee,0.7492550376
Ross Comis,Massachusetts,0.6854169544
Alex McGough,Florida International,0.668618405
Josh Rosen,UCLA,0.6143168249
Stephen Johnson,Kentucky,0.595913743
Kato Nelson,Akron,0.5864819891
Andre Nunez,Louisiana,0.5768071358
Marcus Childers,Northern Illinois,0.5626556471
Johnny Stanton,UNLV,0.5452975913
Shane Buechele,Texas,0.5083522329
Josh Jackson,Virginia Tech,0.4272728538
Jesse Ertz,Kansas State,0.3854547475
David Blough,Purdue,0.3618634199
Dru Brown,Hawaii,0.360879114
Nick Starkel,Texas A&amp;M,0.3559660215
Kurt Benkert,Virginia,0.3500301972
Josh Allen,Wyoming,0.3452534826
Armani Rogers,UNLV,0.3094528368
Tyler Keane,Coastal Carolina,0.289692118
Drew Lock,Missouri,0.2718004672
Will Grier,West Virginia,0.2109953244
Steven Montez,Colorado,0.2011764232
Riley Neal,Ball State,0.1905419377
Brandon Peters,Michigan,0.1679357354
Eric Dungey,Syracuse,0.1642545507
Gus Ragland,Miami (OH),0.1640472933
Luke Skipper,Tulsa,0.1555426836
Peyton Ramsey,Indiana,0.1503507558
Gardner Minshew,East Carolina,0.1370820357
Brandon Dawkins,Arizona,0.1355268932
Austin Allen,Arkansas,0.1299164409
Giovanni Rescigno,Rutgers,0.1263171823
Elijah Sindelar,Purdue,0.1200341477
Sam Darnold,USC,0.1172432005
Skylar Thompson,Kansas State,0.1158270398
Wilton Speight,Michigan,0.09969418434
