Name,School,Score
Marcus Mariota,Oregon,4.610306011
Cody Kessler,USC,2.838069439
Brett Hundley,UCLA,2.580216804
Brandon Doughty,Western Kentucky,2.291101258
Drew Hare,Northern Illinois,2.26873459
Bryce Petty,Baylor,2.184767973
Garrett Grayson,Colorado State,2.174850154
Jake Waters,Kansas State,2.13162739
Deshaun Watson,Clemson,2.007436994
Fredi Knighten,Arkansas State,2.000199993
Jared Goff,California,1.986168446
Hutson Mason,Georgia,1.771147837
Shane Carden,East Carolina,1.738939285
Cyler Miles,Washington,1.637738425
Nick Marshall,Auburn,1.581448386
Brandon Silvers,Troy,1.579267408
Paxton Lynch,Memphis,1.567114892
Trevone Boykin,Texas Christian,1.557785957
J.T. Barrett,Ohio State,1.5138325
Dak Prescott,Mississippi State,1.512105502
Marquise Williams,North Carolina,1.493572877
Jacoby Brissett,North Carolina State,1.382637892
Blake Sims,Alabama,1.365405272
Wes Lunt,Illinois,1.324894687
Tyler Jones,Texas State,1.273082346
Jaquez Johnson,Florida Atlantic,1.27211014
Travis Wilson,Utah,1.173173275
Jake Rudock,Iowa,1.158157223
Taylor Kelly,Arizona State,1.137394253
Pete Thomas,Louisiana-Monroe,1.103640055
Zach Terrell,Western Michigan,1.078390305
Connor Cook,Michigan State,1.063101799
Skyler Howard,West Virginia,1.061914893
Rakeem Cato,Marshall,1.058183751
Will Gardner,Louisville,1.056093918
Taysom Hill,Brigham Young,1.040954657
Anu Solomon,Arizona,1.028487043
Seth Russell,Baylor,1.027776702
Connor Halliday,Washington State,1.027070257
Kevin Hogan,Stanford,1.017641895
Brandon Allen,Arkansas,0.9948467372
Ozzie Mann,Ball State,0.9750711441
Kenny Hill,Texas A&amp;M,0.9483689169
Patrick Mahomes,Texas Tech,0.8707443483
Darell Garretson,Utah State,0.8692356329
Driphus Jackson,Rice,0.8416649357
Cardale Jones,Ohio State,0.7800802963
Mike Bercovici,Arizona State,0.7602944264
Sean Mannion,Oregon State,0.7576044673
Greg Ward Jr.,Houston,0.7015625549
Clint Trickett,West Virginia,0.6240417031
Dylan Thompson,South Carolina,0.592172785
Kent Myers,Utah State,0.5855173151
Andrew Hendrix,Miami (OH),0.5831498089
Grant Hedrick,Boise State,0.5766315276
Chad Voytik,Pitt,0.5667765099
Nate Sudfeld,Indiana,0.5303598443
Anthony Boone,Duke,0.5212712685
Cody Clements,UAB,0.4606108341
Christian Stewart,Brigham Young,0.4539353497
Logan Woodside,Toledo,0.4372074185
Cody Fajardo,Nevada,0.4180737473
Blake Frohnapfel,Massachusetts,0.4107803482
Patrick Towles,Kentucky,0.3081818827
Luke Falk,Washington State,0.3070640306
Joshua Dobbs,Tennessee,0.3007313986
Derrius Vick,Ohio,0.2812713294
Jameill Showers,UTEP,0.2798318873
Joe Licata,Buffalo,0.2525346549
Taylor Lamb,Appalachian State,0.2447850773
Everett Golson,Notre Dame,0.2366794454
C.J. Beathard,Iowa,0.2195897775
Michael Cummings,Kansas,0.1617899362
Mitch Leidner,Minnesota,0.159886355
Terrel Hunt,Syracuse,0.114059549
Treon Harris,Florida,0.08204047128
Brad Kaaya,Miami (FL),0.07970629237
Sam B. Richardson,Iowa State,0.07795059968
Colby Kirkegaard,Wyoming,0.0352573257
Gunner Kiel,Cincinnati,0.03091517263
Mason Rudolph,Oklahoma State,0.008644374702
Cody Sokol,Louisiana Tech,-0.001682908835
Jack Milas,Ball State,-0.0145933935
Terrance Broadway,Louisiana,-0.01996226511
Cooper Rush,Central Michigan,-0.02807874639
Joe Gray,San Jose State,-0.04275959463
Nick Mullens,Southern Mississippi,-0.04396530249
Steven Bench,South Florida,-0.1204325648
Kyle Allen,Texas A&amp;M,-0.131229828
Reggie Bonnafon,Louisville,-0.1368996354
Reggie Bell,Eastern Michigan,-0.1606353491
Austin Grammer,Middle Tennessee State,-0.1706771078
Matt Johns,Virginia,-0.1776506127
C.J. Brown,Maryland,-0.195470425
Brandon Bridge,South Alabama,-0.2353460146
Gary Nova,Rutgers,-0.2444381633
Kyle Pohl,Akron,-0.2677980739
Tucker Carter,UTSA,-0.2750785747
Tyler Murphy,Boston College,-0.2775064818
Tommy Armstrong Jr,Nebraska,-0.3002752684
Justin Worley,Tennessee,-0.3181162795
Bo Wallace,Ole Miss,-0.3580066152
James Knapke,Bowling Green State,-0.3790772925
Anthony Jennings,LSU,-0.3985049775
J.D. Sprague,Ohio,-0.4431104401
Mike White,South Florida,-0.4476705983
Sefo Liufau,Colorado,-0.5092470711
Taylor Heinicke,Old Dominion,-0.5560021323
Tyrone Swoopes,Texas,-0.5762667105
