Name,School,Score
Dri Archer,Kent State,4.060504243
Kerwynn Williams,Utah State,3.840851563
Kenjon Barner,Oregon,3.528874047
Ka'Deem Carey,Arizona,3.420300111
Eddie Lacy,Alabama,3.000679358
Stefphon Jefferson,Nevada,2.966840893
Giovani Bernard,North Carolina,2.940994035
Antonio Andrews,Western Kentucky,2.8353941
Zurlon Tipton,Central Michigan,2.820583082
Kenneth Dixon,Louisiana Tech,2.81776592
Marion Grice,Arizona State,2.786505349
Johnathan Franklin,UCLA,2.779057714
Adam Muema,San Diego State,2.659084952
Montee Ball,Wisconsin,2.634749668
De'Anthony Thomas,Oregon,2.488083673
Latavius Murray,UCF,2.481662027
Todd Gurley,Georgia,2.467442912
Beau Blankenship,Ohio,2.217924259
T.J. Yeldon,Alabama,2.145369577
Robbie Rouse,Fresno State,2.106729098
David Fluellen,Toledo,2.105971852
Stepfan Taylor,Stanford,2.052681398
Bishop Sankey,Washington,2.04106984
Kasey Carrier,New Mexico,2.028211302
Jahwan Edwards,Ball State,1.972654736
Charles Sims,Houston,1.95818734
Alex Singleton,Tulsa,1.952947715
Joseph Randle,Oklahoma State,1.942074225
Le'Veon Bell,Michigan State,1.890410799
Zac Stacy,Vanderbilt,1.88990557
Venric Mark,Northwestern,1.853885377
Akeem Shavers,Purdue,1.83301503
Stephen Houston,Indiana,1.815027733
Trayion Durham,Kent State,1.812711198
George Winn,Cincinnati,1.809451579
James White,Wisconsin,1.795091476
Gee Gee Greene,Navy,1.761504799
Lache Seastrunk,Baylor,1.729844728
D.J. Harper,Boise State,1.673030863
Carlos Hyde,Ohio State,1.66561355
Orwin Smith,Georgia Tech,1.663605162
Robert Godhigh,Georgia Tech,1.636738322
Duke Johnson,Miami (FL),1.636592858
Melvin Gordon,Wisconsin,1.631984799
Ray Graham,Pitt,1.610519989
Andre Ellington,Clemson,1.586687191
Bronson Hill,Eastern Michigan,1.571517582
Zach Line,SMU,1.554266288
David Oku,Arkansas State,1.550762328
Cody Getz,Air Force,1.513994603
Damien Williams,Oklahoma,1.492554416
Montel Harris,Temple,1.471108754
Darrin Reaves,UAB,1.468594442
John Hubert,Kansas State,1.430898614
Storm Woods,Oregon State,1.429670665
Ameer Abdullah,Nebraska,1.417586499
Marcus Curry,Texas State,1.415085584
Akeem Daniels,Northern Illinois,1.404578278
Mike Gillislee,Florida,1.392125865
Tony Pierson,Kansas,1.391969242
Shawn Southward,Troy,1.390685075
Anthon Samuel,Bowling Green State,1.357054528
Jamaal Williams,Brigham Young,1.347097068
Ladarius Perkins,Mississippi State,1.346158807
Ty Macarthur,Air Force,1.333573376
Prince-Tyson Gulley,Syracuse,1.325874139
James Wilder Jr.,Florida State,1.324297975
Silas Redd,USC,1.2961966
Glasco Martin,Baylor,1.288266456
Kendial Lawrence,Missouri,1.265079611
James Sims,Kansas,1.25756204
Raymond Maples,Army,1.248737005
Tre Mason,Auburn,1.231314407
Trey Watts,Tulsa,1.223102582
Chris Thompson,Florida State,1.222642113
Antoinne Jimmerson,North Texas,1.213644472
Vintavious Cooper,East Carolina,1.198312252
Benny Cunningham,Middle Tennessee State,1.176348212
Lindsey Lamar,South Florida,1.174037287
Evans Okotcha,UTSA,1.161792665
Ja'Terian Douglas,Tulsa,1.156072963
De'Leon Eskridge,San Jose State,1.155620668
Jawon Chisholm,Akron,1.147527766
Theo Riddick,Notre Dame,1.144096118
Jawan Jamison,Rutgers,1.143034364
Tim Cornett,UNLV,1.141519165
Rex Burkhead,Nebraska,1.128871179
Keith Marshall,Georgia,1.122005139
Senorise Perry,Louisville,1.109497077
Dennis Johnson,Arkansas,1.088791167
Rajion Neal,Tennessee,1.08393765
Joe Hill,Utah State,1.082140208
Jeremy Hill,LSU,1.068683757
John White,Utah,1.062510241
D.J. Foster,Arizona State,1.042615087
Joe Bergeron,Texas,1.041629864
Andrew Buie,West Virginia,1.024444314
Kevin Grooms,Marshall,1.024407816
Mike James,Miami (FL),1.01712756
Cole Gautsche,New Mexico,0.9881778886
Brendan Bigelow,California,0.9796455798
Ben Malena,Texas A&amp;M,0.9778944295
Zach Zwinak,Penn State,0.9760284196
C.J. Anderson,California,0.9649057059
Alonzo Harris,Louisiana,0.9623199125
Ray Holley,Louisiana Tech,0.9541622437
Kenny Williams,Texas Tech,0.9471338038
Lonnie Pryor,Florida State,0.9165657792
Zach Laskey,Georgia Tech,0.9072191014
Ralph David Abernathy IV,Cincinnati,0.9004914131
Akeem Hunt,Purdue,0.8747840679
Jeremy Wright,Louisville,0.8676630106
Jerome Smith,Syracuse,0.8390287164
Mark Weisman,Iowa,0.8285304109
Devonta Freeman,Florida State,0.8096323648
Marcus Lattimore,South Carolina,0.7963404047
Larry Dixon,Army,0.7951116655
Charles Ross,Rice,0.7855700999
Rocky Hayes,Arkansas State,0.7573718343
Curtis McNeal,USC,0.7486245684
Kedrick Rhodes,Florida International,0.7432387261
Walter Kazee,San Diego State,0.7361378723
Nathan Jeffery,UTEP,0.6851664249
Tim Gay,Texas State,0.6782083449
Dareyon Chance,Western Michigan,0.675817879
Bradley Randle,UNLV,0.651818617
Vad Lee,Georgia Tech,0.6481255826
Romar Morris,North Carolina,0.6352343042
A.J. Blue,North Carolina,0.6335937718
Cierre Wood,Notre Dame,0.6314603815
Jeff Scott,Ole Miss,0.621246606
Branden Oliver,Buffalo,0.6039796591
Onterio McCalebb,Auburn,0.5931738875
Christine Michael,Texas A&amp;M,0.5803949222
Brennan Clay,Oklahoma,0.5762067072
David Sims,Georgia Tech,0.5698639652
Jhurell Pressley,New Mexico,0.5540930683
Johnathan Gray,Texas,0.5506888052
Cameron Marshall,Arizona State,0.5431775082
Lyle McCombs,Connecticut,0.5300368522
Jordan Parker,Middle Tennessee State,0.5290589151
Brandon Cottom,Purdue,0.5214429081
Turner Petersen,Rice,0.5165631067
Donnell Kirkwood,Minnesota,0.4957980788
Trey Williams,Texas A&amp;M,0.4897260905
Tevin King,Louisiana Tech,0.4854408795
Kevin Parks,Virginia,0.4668920933
Jay Ajayi,Boise State,0.4223761295
Isi Sofele,California,0.4186511698
Raymond Sanders,Kentucky,0.4174655922
Dontae Strickland,Air Force,0.4159348042
Shadrach Thornton,North Carolina State,0.4041616296
Jonathan Williams,Arkansas,0.3799845743
Matt Brown,Temple,0.3781680252
Darian Mallary,Florida International,0.3760810271
Malcolm Brown,Army,0.3734080754
Christian Powell,Colorado,0.3625324423
Marlin Lane Jr.,Tennessee,0.3608950356
Terron Ward,Oregon State,0.3522413933
Noah Copeland,Navy,0.3434268143
Jonathan George,Kentucky,0.3417255917
Jyruss Edwards,Louisiana-Monroe,0.3374714365
Donnell Alexander,Colorado State,0.3324227868
Jonathan Lee,Air Force,0.3288493246
George Atkinson III,Notre Dame,0.3223746734
Jeremy Smith,Oklahoma State,0.3008278684
Kenny Hilliard,LSU,0.3004263108
Rushel Shell,Pitt,0.2834919631
Wes Cobb,Air Force,0.2830191117
Brandin Byrd,North Texas,0.2739572686
