Name,School,Score
Andy Isabella,Massachusetts,2.976617169
Jerry Jeudy,Alabama,2.729668481
Tylan Wallace,Oklahoma State,2.655152654
Hakeem Butler,Iowa State,2.554750942
John Ursua,Hawaii,2.542740604
Preston Williams,Colorado State,2.266077648
Marquise Brown,Oklahoma,2.243513712
Antoine Wesley,Texas Tech,2.170215492
JJ Arcega-Whiteside,Stanford,2.099158843
CeeDee Lamb,Oklahoma,2.092955098
Justyn Ross,Clemson,1.97269379
Tyler Johnson,Minnesota,1.933327382
David Sills,West Virginia,1.926391039
Dillon Mitchell,Oregon,1.862542285
Anthony Johnson,Buffalo,1.843214838
Darnell Mooney,Tulane,1.796951303
Gary Jennings,West Virginia,1.795204243
James Proche,SMU,1.765045846
KeeSean Johnson,Fresno State,1.758977732
Scott Miller,Bowling Green State,1.756550369
Travis Fulgham,Old Dominion,1.745003033
Xavier Ubosi,UAB,1.727243265
A.J. Brown,Ole Miss,1.706953701
Rico Bussey Jr.,North Texas,1.695445414
Tee Higgins,Clemson,1.646916771
Rondale Moore,Purdue,1.642028983
Damonte Coxie,Memphis,1.639676675
Trevon Brown,East Carolina,1.622252966
Lil'Jordan Humphrey,Texas,1.553664238
N'Keal Harry,Arizona State,1.54116435
Antonio Gandy-Golden,Liberty,1.51976977
Kelvin Harmon,North Carolina State,1.494605863
Jalen Reagor,Texas Christian,1.482617079
Papi White,Ohio,1.473664037
Parris Campbell,Ohio State,1.452766262
Terry McLaurin,Ohio State,1.451465145
Emanuel Hall,Missouri,1.442179871
Shawn Poindexter,Arizona,1.428749004
Jace Sternberger,Texas A&amp;M,1.416861162
Adrian Hardy,Louisiana Tech,1.406011413
Jonathan Duhart,Old Dominion,1.398152078
Deebo Samuel,South Carolina,1.376515794
Tamorrion Terry,Florida State,1.361788806
JoJo Ward,Hawaii,1.357269635
Damion Willis,Troy,1.353880704
Tyre Brady,Marshall,1.330156523
Corey Sutton,Appalachian State,1.329682328
Marquez Stevenson,Houston,1.305416989
Jaylen Waddle,Alabama,1.303002267
Marcus Green,Louisiana-Monroe,1.263551214
Denzel Mims,Baylor,1.253873796
Henry Ruggs III,Alabama,1.250543491
McLane Mannix,Nevada,1.244128702
Jon'Vea Johnson,Toledo,1.234215162
Sean Modster,Boise State,1.229708153
K.J. Osborn,Buffalo,1.217963593
Jamal Custis,Syracuse,1.205179468
Stanley Morgan Jr.,Nebraska,1.179027481
Collin Johnson,Texas,1.162257249
Keith Corbin,Houston,1.158242484
Greg Dortch,Wake Forest,1.155531229
Olamide Zaccheaus,Virginia,1.13502525
Cedric Byrd,Hawaii,1.099512512
Miles Boykin,Notre Dame,1.09429634
Tyron Johnson,Oklahoma State,1.061168608
A.J. Richardson,Boise State,1.059262487
Damon Hazelton Jr,Virginia Tech,1.057768143
Justin Jefferson,LSU,1.046560635
Michael Pittman Jr.,USC,1.019914509
Bryan Edwards,South Carolina,1.014457162
Caleb Wilson,UCLA,1.013312839
Jamarius Way,South Alabama,0.9974994509
Fred Trevillion,San Diego State,0.9889387554
Quez Watkins,Southern Mississippi,0.9830659014
Riley Miller,Ball State,0.9797669402
Diontae Johnson,Toledo,0.9704915429
Gabriel Davis,UCF,0.9610867034
Kirk Merritt,Arkansas State,0.9567696704
D'Wayne Eskridge,Western Michigan,0.9424704486
Kahlil Lewis,Cincinnati,0.9420185703
Jayden Reed,Western Michigan,0.921380656
Jared Pinkney,Vanderbilt,0.8987954536
KJ Hamler,Penn State,0.8829173295
Ja'Marcus Bradley,Louisiana,0.8557277621
Reggie Roberson Jr.,SMU,0.8525518607
Randall St. Felix,South Florida,0.8398966354
Laviska Shenault Jr.,Colorado,0.839547374
Isaiah Hodgins,Oregon State,0.838258899
Irv Smith Jr,Alabama,0.8380457341
Johnnie Dixon,Ohio State,0.8379877575
Kalija Lipscomb,Vanderbilt,0.8360588232
