Name,School,Score
Anthony Wales,Western Kentucky,3.82725193
Jeremy McNichols,Boise State,3.745679448
Aaron Jones,UTEP,3.479168721
Dalvin Cook,Florida State,3.30192798
Saquon Barkley,Penn State,3.296847524
I'Tavius Mathers,Middle Tennessee State,3.188138161
Joe Mixon,Oklahoma,3.039698449
Donnel Pumphrey,San Diego State,2.977727997
Clinton Lynch,Georgia Tech,2.857453875
Curtis Samuel,Ohio State,2.746134809
Christian McCaffrey,Stanford,2.705285648
Ito Smith,Southern Mississippi,2.661282967
James Conner,Pitt,2.656940011
Brian Hill,Wyoming,2.65053534
D'Onta Foreman,Texas,2.641835695
Derrius Guice,LSU,2.597709496
Rashaad Penny,San Diego State,2.55894501
Jahad Thomas,Temple,2.48352322
Teriyon Gipson,New Mexico,2.465809336
James Flanders,Tulsa,2.407703964
Timothy McVey,Air Force,2.406226817
James Butler,Nevada,2.227544599
Jarvion Franklin,Western Michigan,2.177730157
Marlon Mack,South Florida,2.133430445
Rawleigh Williams III,Arkansas,2.09605907
Phillip Lindsay,Colorado,2.072789967
Akrum Wadley,Iowa,2.033349096
Ryan Nall,Oregon State,1.993891826
Kareem Hunt,Toledo,1.967250188
Ty Johnson,Maryland,1.946895964
Justin Jackson,Northwestern,1.920217607
Joe Williams,Utah,1.917411197
Ray Lawry,Old Dominion,1.914448149
Jarred Craft,Louisiana Tech,1.899542373
Jamaal Williams,Brigham Young,1.762468602
Mark Walton,Miami (FL),1.735762475
Jordan Chunn,Troy,1.727976512
Kyle Hicks,Texas Christian,1.709060534
Corey Clement,Wisconsin,1.69940663
Wayne Gallman,Clemson,1.675641447
Rodney Smith,Minnesota,1.666935513
Myles Gaskin,Washington,1.645511587
Ralph Webb,Vanderbilt,1.605897592
Jeffery Wilson,North Texas,1.604797642
Quadree Henderson,Pitt,1.596679058
Devin Singletary,Florida Atlantic,1.58474453
Alvin Kamara,Tennessee,1.577800797
Ronald Jones,USC,1.550908715
Jalin Moore,Appalachian State,1.525304992
Jamal Morrow,Washington State,1.52077088
Samaje Perine,Oklahoma,1.520391511
D'Angelo Brewer,Tulsa,1.468883393
D'Ernest Johnson,South Florida,1.461529545
James Gilbert,Ball State,1.458272138
Tony Brooks-James,Oregon,1.455839518
Boom Williams,Kentucky,1.450087801
Benjamin Snell Jr.,Kentucky,1.445415832
Tyrone Owens,New Mexico,1.445238995
Richard McQuarley,New Mexico,1.445173022
Damarea Crockett,Missouri,1.426369774
Marcus Cox,Appalachian State,1.383892807
Dedrick Mills,Georgia Tech,1.377171092
Jeremy Cox,Old Dominion,1.375352722
Ryquell Armstead,Temple,1.371144832
Nick Chubb,Georgia,1.353707023
Toneo Gulley,Navy,1.321222878
Warren Wand,Arkansas State,1.303863828
Matt Dayes,North Carolina State,1.279660392
Elijah McGuire,Louisiana,1.264891623
Justin Crawford,West Virginia,1.259879002
Trayveon Williams,Texas A&amp;M,1.228006096
Darryl Bonner,Navy,1.217127085
Terence Williams,Baylor,1.206274361
Tre Watson,California,1.18977053
LJ Scott,Michigan State,1.181673798
Mike Weber,Ohio State,1.180785509
Damien Harris,Alabama,1.175581422
Kalen Ballage,Arizona State,1.174892817
Leonard Fournette,LSU,1.165238119
Bo Scarbrough,Alabama,1.162121958
Samajie Grant,Arizona,1.120413067
Kamryn Pettway,Auburn,1.118958284
Juwan Washington,San Diego State,1.113467031
T.J. Logan,North Carolina,1.108585499
Lexington Thomas,UNLV,1.102386209
Brandon Radcliff,Louisville,1.090523091
Travon McMillian,Virginia Tech,1.089419736
Jacobi Owens,Air Force,1.082493463
Doroland Dorceus,Memphis,1.07906484
Royce Freeman,Oregon,1.078179195
Chris Carson,Oklahoma State,1.073846381
Lavon Coleman,Washington,1.070273586
Andy Davidson,Army,1.059656358
Rona Cleveland,Air Force,1.056708318
Jalen Rhodes,UTSA,1.054967875
Marcus Marshall,Georgia Tech,1.042675041
Jordan Johnson,Buffalo,1.017119584
Kendrick Foster,Illinois,1.009863084
Leshun Daniels Jr,Iowa,1.005941368
Dontrell Hilliard,Tulane,0.9996424852
Greg Howell,Florida Atlantic,0.9930691294
Kerryon Johnson,Auburn,0.987653147
Taquan Mizzell,Virginia,0.9832365749
Josh Adams,Notre Dame,0.9830025538
Devine Redding,Indiana,0.9779556353
Darrell Henderson,Memphis,0.9572816802
Jeremy Smith,Louisville,0.9558092519
Joel Bouagnon,Northern Illinois,0.9187328551
Jarveon Williams,UTSA,0.9047405702
Xavier Johnson,South Alabama,0.9042788539
Dishan Romine,Navy,0.9020344719
Justice Hill,Oklahoma State,0.8930984288
Elijah Hood,North Carolina,0.8880932265
Wesley Fields,Georgia Southern,0.8837670322
Izzy Matthews,Colorado State,0.8723314042
Josh Rounds,Tulane,0.8712985165
Jordan Asberry,Army,0.8701875128
Arkeel Newsome,Connecticut,0.8601422906
Ian Eriksen,Eastern Michigan,0.8423402513
Bryce Love,Stanford,0.8295769042
Fred Coppet,Bowling Green State,0.8210861539
Diocemy Saint Juste,Hawaii,0.8108236172
Kalif Phillips,Charlotte,0.8100598511
Jamauri Bogan,Western Michigan,0.7952593407
Boston Scott,Louisiana Tech,0.7910669457
Dalyn Dawkins,Colorado State,0.7787187014
Gerard Wicks,Washington State,0.7500419395
James Summers,East Carolina,0.7474567965
Terrell Newby,Nebraska,0.7360975837
Isaiah Saunders,Idaho,0.7254608049
De'Veon Smith,Michigan,0.7113535893
Kenny Young,Miami (OH),0.7076567745
Braeden West,SMU,0.7071924801
Alex Gardner,Florida International,0.7054875525
Devon Spalding,Central Michigan,0.665981147
Samuel Stewart,Rice,0.6568245089
Rico Dowdle,South Carolina,0.6508930289
Chris Evans,Michigan,0.6411366261
Lorenzo Harrison,Maryland,0.621761018
Shannon Brooks,Minnesota,0.6212186602
Akeem Judd,Ole Miss,0.6153792481
James Williams,Washington State,0.6075338693
Joshua Jacobs,Alabama,0.5971855186
Sony Michel,Georgia,0.5855902392
Devwah Whaley,Arkansas,0.5805829939
Larry Rose III,New Mexico State,0.5780091056
Darnell Woolfolk,Army,0.5759329291
Adrian Killins,UCF,0.5644086024
Willy Ivery,North Texas,0.563225659
Keith Ford,Texas A&amp;M,0.5611412973
Alex Barnes,Kansas State,0.557798315
Chris High,Navy,0.5241199197
Jordan Huff,Northern Illinois,0.5151019996
Tonny Lindsey,Utah State,0.515083154
Jordan Scarlett,Florida,0.5124007349
Alonzo Smith,Miami (OH),0.5116845205
Joseph Yearby,Miami (FL),0.5050449197
John Kelly,Tennessee,0.4464447354
Steven Lakalaka,Hawaii,0.4434457122
Sam Rogers,Virginia Tech,0.441035876
Tyler Williams,Air Force,0.4384990225
Dare Ogunbowale,Wisconsin,0.4267335394
Marvin Kinsey,Colorado State,0.4249625982
Ke'aun Kinner,Kansas,0.4185466815
Lamar Jordan,New Mexico,0.414774107
Jeff Smith,Boston College,0.3705469876
Tyler Campbell,Army,0.364953901
Lazedrick Thompson,Tulane,0.3646147706
Khalfani Muhammad,California,0.3550923665
John Franklin III,Auburn,0.3548360472
Ke'Mon Freeman,SMU,0.3542626132
Dorian Brown,Ohio,0.3450090294
Justin Rankin,Kent State,0.3409093053
Arion Worthman,Air Force,0.3370544957
Aaron Duckworth,Idaho,0.3351674437
Khari Blasingame,Vanderbilt,0.333216791
Marquis Young,Massachusetts,0.3293178241
Thomas Koufie,Louisiana-Monroe,0.3277968212
Kennedy McKoy,West Virginia,0.323234783
Ish Witter,Missouri,0.2990726065
Albert Reid,Virginia,0.2822633507
Shawn White,Navy,0.27947846
Duke Catalon,Houston,0.2411362479
Aeris Williams,Mississippi State,0.2383870284
Charles Williams,UNLV,0.2363427166
Donovan Wilson,Bowling Green State,0.2329267212
Dimitri Flowers,Oklahoma,0.2328216765
Josh Cleveland,Bowling Green State,0.2095817515
Paul Harris,Hawaii,0.2057933971
Karan Higdon,Michigan,0.1962910201
Khalid Hill,Michigan,0.1912041433
Matt Breida,Georgia Southern,0.1873249988
Terry Swanson,Toledo,0.1862183077
Reggie Corbin,Illinois,0.1854398655
Jahray Hayes,Central Michigan,0.1834865276
Anthony Scott,East Carolina,0.1804665962
Art Pierce,Oregon State,0.1596473928
Shock Linwood,Baylor,0.1482475666
Stedman Mayberry,Texas State,0.1431634145
Demario McCall,Ohio State,0.1421136064
Austin Walter,Rice,0.1377377432
Winston Dimel,Kansas State,0.1283316241
Qua Searcy,Georgia Tech,0.1275279059
Charles Jones,Kansas State,0.1133836232
Devine Ozigbo,Nebraska,0.1118287045
Aston Walter,Rice,0.09671306396
Justin Davis,USC,0.09663454272
Lamical Perine,Florida,0.09588212663
Jela Duncan,Duke,0.07983753604
Quinton Baker,Western Kentucky,0.07843304769
Van Edwards Jr.,Akron,0.07569662875
Zach Abey,Navy,0.07283412806
David Montgomery,Iowa State,0.06639777305
Tion Green,Cincinnati,0.05576055645
Andre Robinson,Penn State,0.05303219384
Rushel Shell,West Virginia,0.04966694547
Mark Thompson,Florida,0.04707238605
Ty Isaac,Michigan,0.04619717196
Keion Davis,Marshall,0.04390610531
JaMycal Hasty,Baylor,0.04324841872
Detrich Clark,Colorado State,0.03205956353
Markell Jones,Purdue,0.02326139755
Robert Washington,Charlotte,0.02221951297
Kam Martin,Auburn,0.01506562274
Bradrick Shaw,Wisconsin,0.01389577184
Anthony Jones,Florida International,0.01315818661
Matt Colburn,Wake Forest,0.00003955606762
Zamore Zigler,San Jose State,-0.01121650952
Patrick Taylor Jr.,Memphis,-0.01941658301
Shaun Wilson,Duke,-0.02025240059
Jalen Hurd,Tennessee,-0.02095805716
Miles Sanders,Penn State,-0.02777423052
Dillion Birden,Houston,-0.02978107291
Cade Carney,Wake Forest,-0.04725098381
Robert Martin,Rutgers,-0.05079273271
La Ramsby,Georgia Southern,-0.05461665907
Breck Turner,Eastern Michigan,-0.05620367126
Fabian Johnson,Western Michigan,-0.05700089867
Jojo Kemp,Kentucky,-0.05819543409
Calvin Cass Jr.,Navy,-0.06195554629
Johnston White,Arkansas State,-0.06597299356
Art Thompkins,Toledo,-0.06907377872
Maleek Irons,Ohio,-0.07218443236
Darik Dillard,Rice,-0.07855951854
Deontae Cooper,San Jose State,-0.08016609554
Justin Goodwin,Rutgers,-0.09506792658
Dontravious Wilson,UCF,-0.1009435364
Gerald Holmes,Michigan State,-0.1015305937
Shayne Davern,Air Force,-0.101584491
Malik Roberson,San Jose State,-0.1095077008
Dontel James,Fresno State,-0.1131628749
David Greene,UNLV,-0.1138093241
Jacques Patrick,Florida State,-0.1169962236
Justin Silmon,Kansas State,-0.1191903826
A.J. Turner,South Carolina,-0.1231490639
Tommy Stevens,Penn State,-0.1253120917
Demario Richard,Arizona State,-0.1341597288
Diquon Woodhouse,New Mexico,-0.1351770341
Cole Macek,Army,-0.1429557479
Kell Walker,Army,-0.147023394
Mike Warren,Iowa State,-0.1493594059
Stanton Truitt,Auburn,-0.1565302533
Dami Ayoola,South Alabama,-0.1591649567
Rennie Childs,Oklahoma State,-0.1610674125
Chris Warren III,Texas,-0.1643385068
Devante Mays,Utah State,-0.1690654474
Brian Lankford-Johnson,Purdue,-0.1725915604
Mike Boone,Cincinnati,-0.1754423951
Darius Tice,South Florida,-0.1876211701
Xavier Hall,New Mexico State,-0.1890295553
Zander Diamont,Indiana,-0.190544134
Brian Herrien,Georgia,-0.191474222
Soso Jamabo,UCLA,-0.1933144776
Kyle Evans,Colorado,-0.2173405213
Dontae Strickland,Syracuse,-0.2249881362
Jomon Dotson,Washington,-0.2259987859
Demarcus Felton,Texas Tech,-0.2416832022
Nick Wilson,Arizona,-0.2444423235
Kenneth Goins Jr.,Maryland,-0.2511828489
Armand Shyne,Utah,-0.251301628
D.J. Johnson,Air Force,-0.2515862611
Taj Griffin,Oregon,-0.2557095722
Alexander Mattison,Boise State,-0.2601383006
Kani Benoit,Oregon,-0.2644516177
George Payne,Southern Mississippi,-0.2706496407
Ben Luckett,Louisiana-Monroe,-0.2743475672
Tyreis Thomas,South Alabama,-0.2746907136
Darius Anderson,Texas Christian,-0.2759348763
Jon Hilliman,Boston College,-0.2789691148
Ke'Shawn Vaughn,Illinois,-0.2837184749
Da'Leon Ward,Texas Tech,-0.2865227336
John Moten IV,Northwestern,-0.2884334146
J.J. Taylor,Arizona,-0.2931570857
Jaxson Kincaide,Nevada,-0.3082990913
Kobe McCrary,Minnesota,-0.3098116668
Josh Anderson,Troy,-0.3219991971
Taylor Martin,Kansas,-0.3225866511
Trevorris Johnson,Texas Christian,-0.3339645666
Zach Green,Arizona,-0.3353888605
Darrius Sims,Vanderbilt,-0.3440020774
Bolu Olorunfunmi,UCLA,-0.3440418087
Jawon Hamilton,UCF,-0.347818924
Aca'Cedric Ware,USC,-0.3496496731
Maurice Thomas,Miami (OH),-0.3657457296
Vic Enwere,California,-0.3674587572
Shaq Vann,Eastern Michigan,-0.3741935745
Moe Neal,Syracuse,-0.378327485
Damion Hobbs,Utah State,-0.3789022062
Chris Carter,Army,-0.3934273355
Matthew Jordan,Georgia Tech,-0.404015907
Tony Pittman,Marshall,-0.4150669914
Myles Willis,Boston College,-0.4276900001
C.J. Fuller,Clemson,-0.4353241801
Jowan Davis,Rice,-0.4432930959
Jabrill Peppers,Michigan,-0.44873491
Davon Jones,Boston College,-0.4534458284
Xzaviar Campbell,UNLV,-0.457574753
Austin Vaughn,Louisiana-Monroe,-0.4617857155
Zack Moss,Utah,-0.4621984654
Blake Banham,Eastern Michigan,-0.4627197994
Tim Cook,Oregon State,-0.4643093841
Davon Tucker,Western Michigan,-0.465506882
Tyrone Swoopes,Texas,-0.4673153109
KJ Hall,Brigham Young,-0.4695349092
Eugene Brazley,Ole Miss,-0.4697777613
Darius Anderson,East Carolina,-0.4822540749
