Name,School,Score
Cam Newton,Auburn,3.621842106
Kellen Moore,Boise State,2.92360846
Dan Persa,Northwestern,2.65604494
Colin Kaepernick,Nevada,2.610272502
Greg McElroy,Alabama,2.290091376
Andy Dalton,Texas Christian,2.251036148
Austin Davis,Southern Mississippi,2.189842598
Chandler Harnish,Northern Illinois,2.15847784
Tyrod Taylor,Virginia Tech,2.055831595
Andrew Luck,Stanford,1.982384533
Robert Griffin III,Baylor,1.932771026
Ricky Stanzi,Iowa,1.912223951
Scott Tolzien,Wisconsin,1.639264171
Landry Jones,Oklahoma,1.481182682
G.J. Kinne,Tulsa,1.470397509
Taylor Potts,Texas Tech,1.431047293
Geno Smith,West Virginia,1.411853119
Brock Osweiler,Arizona State,1.409839223
Carson Coffman,Kansas State,1.245095257
Darron Thomas,Oregon,1.24239449
T.J. Yates,North Carolina,1.190544591
Tim Jefferson,Air Force,1.173305783
Ryan Mallett,Arkansas,1.164026754
Mike Hartline,Kentucky,1.140759668
Bryant Moniz,Hawaii,1.101243059
Adam Froman,Louisville,1.088617113
Ben Chappell,Indiana,1.073916469
Matt Scott,Arizona,1.052751442
Brandon Weeden,Oklahoma State,1.024762205
Matt Christian,New Mexico State,0.9529672722
Blaine Gabbert,Missouri,0.9505613294
Aaron Murray,Georgia,0.9178404431
Austin Boucher,Miami (OH),0.9124528211
Taylor Martinez,Nebraska,0.9022941255
Denard Robinson,Michigan,0.898956043
Ryan Aplin,Arkansas State,0.8965903611
Ryan Colburn,Fresno State,0.8647146404
Terrance Cain,Utah,0.8514507149
Chris Relf,Mississippi State,0.8130101934
Nick Foles,Arizona,0.8068353279
Alex Carder,Western Michigan,0.77127779
Jarrett Lee,LSU,0.7676240538
Riley Dodge,North Texas,0.7428702808
Ross Jenkins,Louisiana Tech,0.7404883163
Danny O'Brien,Maryland,0.6814381764
Ryan Tannehill,Texas A&amp;M,0.6657501607
Dayne Crist,Notre Dame,0.6622981891
Jeff Godfrey,UCF,0.6206069986
Cody Hawkins,Colorado,0.6079964793
Terrelle Pryor,Ohio State,0.5998254869
Christian Ponder,Florida State,0.5783845892
Dominique Davis,East Carolina,0.5678385251
Justin Burke,Louisville,0.560246726
Terrance Owens,Toledo,0.5567704725
Tino Sunseri,Pitt,0.5337237552
Matt Simms,Tennessee,0.5114361559
E.J. Manuel,Florida State,0.4845082234
Kirk Cousins,Michigan State,0.4784924587
Ryan Nassib,Syracuse,0.4728773044
Adam Weber,Minnesota,0.4547210897
Jerome Tiller,Iowa State,0.4469479214
Ryan Griffin,Tulane,0.4380530583
Kevin Riley,California,0.3995826381
Chris Masson,Louisiana,0.3904406496
Russell Wilson,North Carolina State,0.389384153
Jake Locker,Washington,0.3427550424
Nathan Scheelhaase,Illinois,0.3291867167
Kyle Padron,SMU,0.2822302988
Kawaun Jakes,Western Kentucky,0.2535776777
Tyler Hansen,Colorado,0.2128396162
Ryan Lindley,San Diego State,0.1630631581
Jordan Wynn,Utah,0.1071498083
Matt Barkley,USC,0.1069091371
Jake Heaps,Brigham Young,0.07761801188
Chas Dodd,Rutgers,0.07582016332
Austin Dantin,Toledo,0.007155061962
Larry Smith,Vanderbilt,-0.01277632318
Bryan Ellis,UAB,-0.03590122777
Tate Forcier,Michigan,-0.07025074856
Corey Robinson,Troy,-0.07144415039
Austyn Carta-Samuels,Wyoming,-0.09377990538
Zach Frazer,Connecticut,-0.1501836991
Jerrod Johnson,Texas A&amp;M,-0.15540763
Robert Marve,Purdue,-0.1857867366
Tom Savage,Rutgers,-0.1977279953
Ryan Katz,Oregon State,-0.1993096682
Jeff Tuel,Washington State,-0.2034567628
Kolton Browning,Louisiana-Monroe,-0.2501349527
Richard Brehaut,UCLA,-0.2681701681
Rob Bolden,Penn State,-0.277827812
Nick Fanuzzi,Rice,-0.2818159819
Omar Clayton,UNLV,-0.3196021093
Chester Stewart,Temple,-0.345291462
Tyler Bray,Tennessee,-0.3456815455
Ryan Williams,Memphis,-0.360290509
Zach Collaros,Cincinnati,-0.3770497854
Mike Gerardi,Temple,-0.3953208742
John Brantley,Florida,-0.4146285081
Matt McGloin,Penn State,-0.4608324175
Zac Dysert,Miami (OH),-0.4686438896
Stephen Garcia,South Carolina,-0.4731355882
Tanner Price,Wake Forest,-0.4842087361
Tommy Rees,Notre Dame,-0.520533573
Trevor Vittatoe,UTEP,-0.5651658071
Kyle Parker,Clemson,-0.577704106
Quinn Mecham,Kansas,-0.5797032242
Rob Henry,Purdue,-0.5872617205
Jeff Van Camp,Florida Atlantic,-0.5958062181
Austen Arnaud,Iowa State,-0.608905687
Spencer Keith,Kent State,-0.6450288989
David Piland,Houston,-0.6834759173
Jordan Webb,Kansas,-0.7263874838
Jordan Jefferson,LSU,-0.770365466
Brock Mansion,California,-0.7782597694
Tarean Austin,New Mexico,-0.8302725189
Wesley Carroll,Florida International,-0.8541317768
Colby Cameron,Louisiana Tech,-0.8791510749
Marc Verica,Virginia,-0.8824711681
Nathan Enderle,Idaho,-0.933563627
Jeremiah Masoli,Ole Miss,-0.9562613508
Blaine Gautier,Louisiana,-1.004755828
Stephen Morris,Miami (FL),-1.009453703
Jared Funk,Vanderbilt,-1.010859608
B.R. Holbrook,New Mexico,-1.046928225
Dave Shinskie,Boston College,-1.053596578
Diondre Borel,Utah State,-1.106641016
Andrew Manley,New Mexico State,-1.123287615
Chase Rettig,Boston College,-1.13661392
Ryan Radcliff,Central Michigan,-1.181609665
Kevin Prince,UCLA,-1.220945261
Sean Renfree,Duke,-1.267098174
Pete Thomas,Colorado State,-1.268458901
Jordan La Secla,San Jose State,-1.294438943
Brian Anderson,Marshall,-1.330680617
B.J. Daniels,South Florida,-1.364025651
Steven Threet,Arizona State,-1.368897
Matt Schilz,Bowling Green State,-1.383912379
Alex Gillett,Eastern Michigan,-1.442060398
Garrett Gilbert,Texas,-1.646187843
Alex Zordich,Buffalo,-1.662931384
Sean Robinson,Purdue,-1.697304955
Patrick Nicely,Akron,-1.742954621
Boo Jackson,Ohio,-1.863082667
Jacory Harris,Miami (FL),-1.99534314
Keith Wenning,Ball State,-2.108899095
Jerry Davis,Buffalo,-2.431181978
Dwight Dasher,Middle Tennessee State,-2.83492327
