Name,School,Score
LaMichael James,Oregon,3.780308894
Vai Taua,Nevada,3.483529212
Mikel Leshoure,Illinois,3.470687846
Alex Green,Hawaii,3.382707102
Lance Dunbar,North Texas,3.002805268
Marcus Lattimore,South Carolina,2.765977276
Bilal Powell,Louisville,2.622615276
Doug Martin,Boise State,2.607753515
Demarco Murray,Oklahoma,2.58266179
Ronnie Hillman,San Diego State,2.55697058
Daniel Thomas,Kansas State,2.530540314
Brandon Bolden,Ole Miss,2.518516856
Chad Spann,Northern Illinois,2.483052202
Onterio McCalebb,Auburn,2.301417578
Bobby Rainey,Western Kentucky,2.300715763
Kendall Hunter,Oklahoma State,2.299321134
Shane Vereen,California,2.287544985
Knile Davis,Arkansas,2.231962321
Zach Line,SMU,2.151324976
Montee Ball,Wisconsin,2.143082852
Adonis Thomas,Toledo,2.141543941
Edwin Baker,Michigan State,2.132349069
Jordan Todman,Connecticut,2.122821737
Vick Ballard,Mississippi State,2.122120576
Jacquizz Rodgers,Oregon State,2.073817966
Dan Herron,Ohio State,2.060725803
Anthony Allen,Georgia Tech,2.031986028
Stepfan Taylor,Stanford,2.025846787
James White,Wisconsin,1.981052881
Mark Ingram,Alabama,1.932991399
Jay Finley,Baylor,1.862053976
Roy Helu Jr.,Nebraska,1.861861611
Trent Richardson,Alabama,1.848417097
Cyrus Gray,Texas A&amp;M,1.822091827
Rodney Stewart,Colorado,1.81513604
Chris Polk,Washington,1.7806464
Johnathan Warzeka,Air Force,1.737136176
Phillip Tanner,Middle Tennessee State,1.728999426
Robbie Rouse,Fresno State,1.718254161
Ray Graham,Pitt,1.697500761
David Wilson,Virginia Tech,1.688284157
Keith Payne,Virginia,1.679577407
Ladarius Perkins,Mississippi State,1.675888428
Darriet Perry,Florida International,1.65881653
Ed Wesley,Texas Christian,1.651854052
Lennon Creer,Louisiana Tech,1.602074363
Dion Lewis,Pitt,1.578492756
Allen Bradford,USC,1.571904061
John Clay,Wisconsin,1.543740527
Stevan Ridley,LSU,1.531520049
Pat Shed,UAB,1.528964583
Adam Robinson,Iowa,1.482051325
Orwin Smith,Georgia Tech,1.47590523
Da'Rel Scott,Maryland,1.475311831
Tauren Poole,Tennessee,1.474228939
Jared Hassin,Army,1.464030334
Latavius Murray,UCF,1.449779677
Jon Williams,East Carolina,1.44871065
Derrick Locke,Kentucky,1.440474743
Isaiah Pead,Cincinnati,1.428906772
Alexander Teich,Navy,1.40982437
JJ Di Luigi,Brigham Young,1.38683898
Sam McGuffie,Rice,1.382984707
Darren Evans,Virginia Tech,1.379854527
Delone Carter,Syracuse,1.375941434
Eddie Wide,Utah,1.341821154
Thomas Merriweather,Miami (OH),1.337446069
Orleans Darkwa,Tulane,1.327675727
Cameron Marshall,Arizona State,1.289315284
Bryce Beall,Houston,1.275312799
Deantre Lewis,Arizona State,1.264759565
Montel Harris,Boston College,1.24175802
Andre Ellington,Clemson,1.223705881
Marc Tyler,USC,1.221580303
Washaun Ealey,Georgia,1.195320533
Chris Thompson,Florida State,1.194168252
Rex Burkhead,Nebraska,1.188908982
Johnathan Franklin,UCLA,1.172476509
Alvester Alexander,Wyoming,1.172118167
Johnny White,North Carolina,1.170957461
Alexander Robinson,Iowa State,1.14868154
Kendrick Hardy,Southern Mississippi,1.139053982
Gee Gee Greene,Navy,1.13889899
Shawn Southward,Troy,1.13885066
Michael Dyer,Auburn,1.135313448
Jamie Harper,Clemson,1.130608609
Jeremy Avery,Boise State,1.083284494
Eric Williams,Ball State,1.0700232
Evan Royster,Penn State,1.062667662
Baron Batch,Texas Tech,1.057902453
Bernard Pierce,Temple,1.054450364
Michael Hayes,Houston,1.05174845
Kenjon Barner,Oregon,1.040751808
Ronnie Weaver,UCF,1.023490355
Mario Fannin,Auburn,0.9824597132
Asher Clark,Air Force,0.9373321811
Le'Veon Bell,Michigan State,0.9362740221
Noel Devine,West Virginia,0.880355635
Aaron Santiago,Navy,0.8789085283
Keola Antolin,Arizona,0.8764056622
Alfred Morris,Florida Atlantic,0.8696042441
Eric Stephens,Texas Tech,0.863533843
Jordan Lynch,Northern Illinois,0.8509912647
Waymon James,Texas Christian,0.8475105468
Tevin Drake,Western Michigan,0.8357403238
Alex Allen,Akron,0.8290945325
Desmond Johnson,Southern Mississippi,0.8288102245
Damien Berry,Miami (FL),0.8210393446
James Sims,Kansas,0.7980389243
Josh Harris,Wake Forest,0.794408009
Chris Rainey,Florida,0.7939493816
Jacquise Terry,Kent State,0.7939025646
Malcolm Brown,Army,0.7662106446
Derrvin Speight,Utah State,0.7633175603
Joe Banyard,UTEP,0.7532339304
Brandon Saine,Ohio State,0.7407595751
Matt Brown,Temple,0.7398711928
Lamar Miller,Miami (FL),0.7329747526
Jermaine Thomas,Florida State,0.7254558798
Matthew Tucker,Texas Christian,0.7144005218
Demetris Murray,South Florida,0.7071149308
Roddy Jones,Georgia Tech,0.7056991688
Jeremy Eddington,Rice,0.7011557879
