Name,School,Score
Kapri Bibbs,Colorado State,3.650342398
Tre Mason,Auburn,3.51425523
Bishop Sankey,Washington,3.348583795
Carlos Hyde,Ohio State,3.336565876
Antonio Andrews,Western Kentucky,3.240584288
Andre Williams,Boston College,3.104226194
Ka'Deem Carey,Arizona,2.902161851
Todd Gurley,Georgia,2.868154025
Elijah McGuire,Louisiana,2.806693738
Robert Godhigh,Georgia Tech,2.773724336
Marion Grice,Arizona State,2.769980305
Tyler Gaffney,Stanford,2.728561102
Jeremy Hill,LSU,2.71998536
Jay Ajayi,Boise State,2.702086093
James White,Wisconsin,2.653828693
Melvin Gordon,Wisconsin,2.541392334
Ameer Abdullah,Nebraska,2.534552942
Travis Greene,Bowling Green State,2.462275516
Storm Johnson,UCF,2.381792007
Henry Josey,Missouri,2.296354405
Charles Ross,Rice,2.279332035
Devonta Freeman,Florida State,2.213095462
Jeremy Langford,Michigan State,2.191211339
Branden Oliver,Buffalo,2.187357646
Terry Baggett,Army,2.180252218
T.J. Yeldon,Alabama,2.138235992
Charles Sims,West Virginia,2.132492676
Tevin Coleman,Indiana,2.066568044
Byron Marshall,Oregon,2.065008167
Vintavious Cooper,East Carolina,2.03052063
Dri Archer,Kent State,2.021124978
Mike Davis,South Carolina,2.021038547
Joey Demartino,Utah State,1.985993476
David Sims,Georgia Tech,1.939078632
Lache Seastrunk,Baylor,1.927271797
Trey Watts,Tulsa,1.901605121
Javorius Allen,USC,1.898044191
David Fluellen,Toledo,1.882758759
Josh Ferguson,Illinois,1.874434353
Desmond Roland,Oklahoma State,1.844955653
Derrick Henry,Alabama,1.785769286
Tim Cornett,UNLV,1.785482773
Michael Gordon,Arkansas State,1.758155519
Kasey Carrier,New Mexico,1.752832047
Darrin Reaves,UAB,1.745831086
Adam Muema,San Diego State,1.685226665
Essray Taliaferro,Marshall,1.634834593
Karlos Williams,Florida State,1.586147539
Donnel Pumphrey,San Diego State,1.568964149
Jahwan Edwards,Ball State,1.566785234
Shaun Wick,Wyoming,1.554206866
John Hubert,Kansas State,1.546345776
Kenyan Drake,Alabama,1.539821277
Kevin Parks,Virginia,1.483526326
Steward Butler,Marshall,1.479119548
Brandin Byrd,North Texas,1.47374754
James Baker,Idaho,1.460211752
Tre Madden,USC,1.454136337
Robert Lowe,Texas State,1.4497506
D.J. Foster,Arizona State,1.435802096
Rajion Neal,Tennessee,1.427347746
Malcolm Brown,Texas,1.418854952
David Cobb,Minnesota,1.395937797
Jamaal Williams,Brigham Young,1.3798961
Bronson Hill,Eastern Michigan,1.379370768
Jonathan Williams,Arkansas,1.325288519
Corey Grant,Auburn,1.316700933
Jerome Smith,Syracuse,1.312074187
Alonzo Harris,Louisiana,1.280221655
Roderick McDowell,Clemson,1.270960958
Cameron Stingily,Northern Illinois,1.263948606
Duke Johnson,Miami (FL),1.252371373
De'Anthony Thomas,Oregon,1.248581711
Shock Linwood,Baylor,1.234922172
Paul James,Rutgers,1.226728794
Thomas Tyner,Oregon,1.202403629
Zach Zwinak,Penn State,1.166496222
Dominique Brown,Louisville,1.16433705
Bill Belton,Penn State,1.143326909
Jordan Howard,UAB,1.137587163
Dwayne Washington,Washington,1.112919815
Marcus Murphy,Missouri,1.106678704
Kenneth Harper,Temple,1.101316099
Trey Edmunds,Virginia Tech,1.098672502
Ryan Jackson,Houston,1.078757859
James Sims,Kansas,1.077567679
Jerron Seymour,Vanderbilt,1.076438985
Cole Gautsche,New Mexico,1.054580129
Daniel Sams,Kansas State,1.05439563
Anthony Lacoste,Air Force,1.018321398
Terrence Magee,LSU,1.016927766
Orleans Darkwa,Tulane,1.015627863
Stephen Houston,Indiana,1.005906293
Jawon Chisholm,Akron,1.003127233
Fitzgerald Toussaint,Michigan,0.997356137
Corey Clement,Wisconsin,0.987016441
Ryan Brumfield,Eastern Michigan,0.9709450955
Geoffrey Whiteside,Navy,0.9562464983
Darius Staten,Navy,0.9468796087
Ben Malena,Texas A&amp;M,0.9364554372
Kareem Hunt,Toledo,0.9339168808
Zach Laskey,Georgia Tech,0.9296629102
Treyvon Green,Northwestern,0.9186121853
Jaylen Walton,Ole Miss,0.9170800518
Kenneth Dixon,Louisiana Tech,0.9072465356
Dallas Crawford,Miami (FL),0.9060817681
Brennan Clay,Oklahoma,0.8969365525
James Wilder Jr.,Florida State,0.8770843396
James Conner,Pitt,0.8403332399
Larry Dixon,Army,0.8373734649
Terron Ward,Oregon State,0.8310597744
Jarrod Lawson,San Jose State,0.8270001719
Joshua Quezada,Fresno State,0.8162762505
Jordan Hall,Ohio State,0.7802513862
Jhurell Pressley,New Mexico,0.7717249946
Senorise Perry,Louisville,0.7694897597
Brandon Hayes,Memphis,0.7672289178
Kendall Brock,Nevada,0.761777792
Alex Collins,Arkansas,0.7557894951
Mark Weisman,Iowa,0.7491202681
