Name,School,Score
Justin Blackmon,Oklahoma State,3.729232771
Greg Salas,Hawaii,3.346956592
Aldrick Robinson,SMU,2.899987735
Kris Adams,UTEP,2.723975444
Alshon Jeffery,South Carolina,2.651679537
Vincent Brown,San Diego State,2.611578142
Ryan Broyles,Oklahoma,2.57186657
Kealoha Pilares,Hawaii,2.49551508
Darvin Adams,Auburn,2.279334166
Leonard Hankerson,Miami (FL),2.219010616
Jordan White,Western Michigan,2.149946381
Patrick Edwards,Houston,2.129766375
Demarco Sampson,San Diego State,2.096034096
Titus Young,Boise State,2.067943241
Juron Criner,Arizona,2.060638113
Lyle Leong,Texas Tech,2.057976356
Denarius Moore,Tennessee,2.002046452
Torrey Smith,Maryland,1.944051858
Lance Lewis,East Carolina,1.886825751
Jermaine Kearse,Washington,1.883747943
Jeff Fuller,Texas A&amp;M,1.870416431
Jeff Maehl,Oregon,1.802271632
Dane Sanzenbacher,Ohio State,1.789467128
Armon Binns,Cincinnati,1.734758928
Michael Floyd,Notre Dame,1.622866805
Lester Jean,Florida Atlantic,1.620576902
Marquess Wilson,Washington State,1.570409176
Mark Harrison,Rutgers,1.562299058
Julio Jones,Alabama,1.502068735
Chris Matthews,Kentucky,1.413795364
Derek Moye,Penn State,1.39573338
Jeremy Ebert,Northwestern,1.38901822
Dwayne Harris,East Carolina,1.380071454
Austin Pettis,Boise State,1.373927926
D.J. Woods,Cincinnati,1.333464274
A.J. Green,Georgia,1.325039164
Marvin McNutt,Iowa,1.314612091
Derrell Johnson-Koulianos,Iowa,1.289771953
Juan Nunez,Western Michigan,1.275653119
Doug Baldwin,Stanford,1.266422884
Ladarius Green,Louisiana,1.257194086
Da'Jon McKnight,Minnesota,1.251667638
Cody Wilson,Central Michigan,1.241660587
Devier Posey,Ohio State,1.180046093
Eric Page,Toledo,1.180012581
Jarius Wright,Arkansas,1.125814732
Marcus Rucker,Memphis,1.110334487
Royce Pollard,Hawaii,1.089442041
Jarrett Boykin,Virginia Tech,1.085768669
Randall Cobb,Kentucky,1.06659659
Roy Roundtree,Michigan,1.055910281
Joe Adams,Arkansas,1.050899713
Cole Beasley,SMU,1.0488514
Josh Gordon,Baylor,1.024272405
Dwight Jones,North Carolina,1.004954509
Rishard Matthews,Nevada,0.9982643051
Kendall Wright,Baylor,0.9787051674
Mark Dell,Michigan State,0.974705877
Greg Jones,Navy,0.9726083014
Cobi Hamilton,Arkansas,0.9675579405
Armand Robinson,Miami (OH),0.9522240663
Josh Boyce,Texas Christian,0.9521221861
Tavon Austin,West Virginia,0.9474255346
Owen Spencer,North Carolina State,0.9420042856
Jamel Hamler,Fresno State,0.9397501119
T.J. Moe,Missouri,0.9340105541
Eric Greenwood,Idaho,0.9087902285
Jonathan Baldwin,Pitt,0.9080638571
Markeith Summers,Ole Miss,0.904780535
Nick Harwell,Miami (OH),0.9028753046
Kris Durham,Georgia,0.8968034973
Emory Blake,Auburn,0.8914745978
Damaris Johnson,Tulsa,0.883171268
Michael Campbell,Temple,0.8761605125
Jalal Beauchman,San Jose State,0.8736984151
Kamar Jorden,Bowling Green State,0.8695293303
Justin Hunter,Tennessee,0.8691108457
Justin Veltung,Idaho,0.8680268632
Conner Vernon,Duke,0.8543960237
T.Y. Hilton,Florida International,0.8464633962
Kelvin Bolden,Southern Mississippi,0.8392949291
Danny Coale,Virginia Tech,0.8386305615
James Cleveland,Houston,0.8265936964
Devonte Christopher,Utah,0.8237856422
Phillip Payne,UNLV,0.8114018881
B.J. Cunningham,Michigan State,0.8003872949
A.J. Jenkins,Illinois,0.7631523483
