Name,School,Score
Leonard Fournette,LSU,3.66059841
Kenneth Dixon,Louisiana Tech,3.634594841
Derrick Henry,Alabama,3.600299555
Christian McCaffrey,Stanford,3.515784191
Jeremy McNichols,Boise State,3.470313439
Royce Freeman,Oregon,3.45291685
Donnel Pumphrey,San Diego State,3.304495423
Dalvin Cook,Florida State,3.29586239
Ezekiel Elliott,Ohio State,3.219249237
Larry Rose III,New Mexico State,2.954498836
Timothy McVey,Air Force,2.82385898
Matt Breida,Georgia Southern,2.823185241
Deandre Washington,Texas Tech,2.699739664
Alex Collins,Arkansas,2.539023042
Elijah Hood,North Carolina,2.39397069
Travis Greene,Bowling Green State,2.386848352
Ito Smith,Southern Mississippi,2.364029043
Tyler Ervin,San Jose State,2.350505928
Jalen Richard,Southern Mississippi,2.20330025
Samaje Perine,Oklahoma,2.193868303
Wayne Gallman,Clemson,2.17547577
Clinton Lynch,Georgia Tech,2.172013468
Paul Perkins,UCLA,2.073435616
Marcus Cox,Appalachian State,2.045133374
Joe Mixon,Oklahoma,2.01811683
Elijah McGuire,Louisiana,2.016069934
Jahad Thomas,Temple,2.011759786
Darius Jackson,Eastern Michigan,2.000213122
C.J. Prosise,Notre Dame,1.978697625
Anthony Wales,Western Kentucky,1.967454673
Joel Bouagnon,Northern Illinois,1.941904883
Shock Linwood,Baylor,1.920101566
Jamauri Bogan,Western Michigan,1.893774246
Sony Michel,Georgia,1.840490205
Wendell Smallwood,West Virginia,1.838667592
Jalen Hurd,Tennessee,1.824530573
Myles Gaskin,Washington,1.779438206
Justin Stockton,Texas Tech,1.766589263
Marlon Mack,South Florida,1.752789341
Demario Richard,Arizona State,1.716237206
Michael Gordon,Arkansas State,1.713118553
James Butler,Nevada,1.689900631
Jordan Howard,Indiana,1.68077171
Jordan Canzeri,Iowa,1.617079364
Ray Lawry,Old Dominion,1.61688801
Elijhaa Penny,Idaho,1.607116463
Brian Hill,Wyoming,1.581408013
Aaron Green,Texas Christian,1.573037352
Devontae Booker,Utah,1.549318146
Doroland Dorceus,Memphis,1.533083632
Matt Dayes,North Carolina State,1.517267965
Alvin Kamara,Tennessee,1.496959588
Wesley Fields,Georgia Southern,1.49186325
Nick Chubb,Georgia,1.467921836
Robert Lowe,Texas State,1.417506291
Brandon Burks,Troy,1.41082963
Kenneth Farrow,Houston,1.40073492
Qadree Ollison,Pitt,1.397424881
Johnny Jefferson,Baylor,1.37990614
Ronald Jones,USC,1.376672629
Joseph Yearby,Miami (FL),1.362040452
Algernon Brown,Brigham Young,1.348270131
Xavier Johnson,South Alabama,1.31408471
Saquon Barkley,Penn State,1.300411043
Brandon Ross,Maryland,1.295663699
Jhurell Pressley,New Mexico,1.280029181
Johnston White,Arkansas State,1.276730388
Paul Harris,Hawaii,1.267391896
Kareem Hunt,Toledo,1.261113735
Zack Langer,Tulsa,1.259905493
