Name,School,Score
Darrell Henderson,Memphis,5.067507897
Travis Etienne,Clemson,4.060332863
Trayveon Williams,Texas A&amp;M,3.287325558
Jonathan Taylor,Wisconsin,3.279323039
Elijah Mitchell,Louisiana,3.003748575
Ke'Shawn Vaughn,Vanderbilt,2.938183994
Darwin Thompson,Utah State,2.853973163
Eno Benjamin,Arizona State,2.793891355
Greg McCrae,UCF,2.641307661
Michael Warren II,Cincinnati,2.596360377
Patrick Taylor Jr.,Memphis,2.447982831
A.J. Ouellette,Ohio,2.439888488
Devin Singletary,Florida Atlantic,2.374206651
D'Andre Swift,Georgia,2.296216491
Reggie Corbin,Illinois,2.192380699
Kennedy Brooks,Oklahoma,2.180853831
Gerold Bright,Utah State,2.155551511
Deandre Torrey,North Texas,2.136891988
Devine Ozigbo,Nebraska,2.056341584
Wesley Fields,Georgia Southern,2.054929096
Alexander Mattison,Boise State,2.05430058
Scottie Phillips,Ole Miss,2.043454111
Ben LeMay,Charlotte,2.028740914
Benjamin Snell Jr.,Kentucky,2.027506673
Pooka Williams,Kansas,2.018131586
Kerrith Whyte,Florida Atlantic,1.965570391
Ronnie Rivers,Fresno State,1.949651756
Reggie Gallaspy II,North Carolina State,1.943140037
Alex Barnes,Kansas State,1.933266982
Trey Sermon,Oklahoma,1.922953487
Malcolm Perry,Navy,1.917948596
Jermar Jefferson,Oregon State,1.888076618
Nico Evans,Wyoming,1.887053691
Trey Ragas,Louisiana,1.87316712
CJ Verdell,Oregon,1.873100167
Adrian Killins,UCF,1.860465715
Spencer Brown,UAB,1.83902167
Joshua Jacobs,Alabama,1.833623336
B.J. Smith,Troy,1.822812387
Dexter Williams,Notre Dame,1.822141404
Darrin Hall,Pitt,1.802482631
Joshua Kelley,UCLA,1.785401841
Johnny Ford,South Florida,1.763311084
Zack Moss,Utah,1.732897062
J.K. Dobbins,Ohio State,1.688296843
Tony Pollard,Memphis,1.687739002
Qadree Ollison,Pitt,1.674973093
Darrynton Evans,Appalachian State,1.61769639
Lexington Thomas,UNLV,1.617508669
James Williams,Washington State,1.607667385
David Montgomery,Iowa State,1.60032375
Jaret Patterson,Buffalo,1.587314951
Myles Gaskin,Washington,1.57680311
Raymond Calais,Louisiana,1.561447595
Bryant Koback,Toledo,1.557941091
Qua Searcy,Georgia Tech,1.557105214
Miles Sanders,Penn State,1.541142932
J.J. Taylor,Arizona,1.534462981
Kylin Hill,Mississippi State,1.521296419
Kawaan Baker,South Alabama,1.48490968
Larry Rountree III,Missouri,1.471134638
Ryquell Armstead,Temple,1.466265336
Marcel Murray,Arkansas State,1.457808923
Darius Bradwell,Tulane,1.44665933
Chuba Hubbard,Oklahoma State,1.434445685
LeVante Bellamy,Western Michigan,1.429102734
Lamical Perine,Florida,1.414637479
Anthony Schwartz,Auburn,1.392270653
Kennedy McKoy,West Virginia,1.39140625
Jordan Cronkrite,South Florida,1.380376901
Deon Jackson,Duke,1.372372837
C.J. Marable,Coastal Carolina,1.367717049
Anthony McFarland,Maryland,1.365155138
AJ Dillon,Boston College,1.364280492
Damien Harris,Alabama,1.347445691
Maleek Irons,Ohio,1.347079443
Stevie Scott,Indiana,1.339964815
Mohamed Ibrahim,Minnesota,1.339129281
Karan Higdon,Michigan,1.318956749
Tobias Oliver,Georgia Tech,1.294948691
JaTarvious Whitlow,Auburn,1.275576695
Nick Brossette,LSU,1.25353384
Patrick Laird,California,1.235369381
Jason Huntley,New Mexico State,1.225491942
Jamauri Bogan,Western Michigan,1.21295632
Darnell Woolfolk,Army,1.175393737
Elijah Holyfield,Georgia,1.175104861
D.J. Knox,Purdue,1.159828268
Ben Glines,Boston College,1.153000779
Jordan Ellis,Virginia,1.13295997
Justice Hill,Oklahoma State,1.129413727
Travon McMillian,Colorado,1.125905557
Max Borghi,Washington State,1.120764258
Zach Abey,Navy,1.117635284
Juwan Washington,San Diego State,1.117052797
Ty Chandler,Tennessee,1.109791397
Travis Homer,Miami (FL),1.092907245
Kevin Marks,Buffalo,1.087132395
Kenny Young,Miami (OH),1.084828062
Frankie Hickson,Liberty,1.062010074
Jaquis Dancy,Louisiana Tech,1.03863973
Cole Fagan,Air Force,1.016666458
Cade Carney,Wake Forest,1.002891806
Mekhi Sargent,Iowa,0.9934875239
Jordan Asberry,Army,0.9909254125
Jo-El Shaw,Kent State,0.9896772978
Marquis Young,Massachusetts,0.9727927386
Toa Taua,Nevada,0.9620418922
Corey Taylor II,Tulsa,0.9532662866
Kesean Strong,Old Dominion,0.952975676
Quadraiz Wadley,UTEP,0.9258671262
Tre Walker,Navy,0.9237762207
Martell Pettaway,West Virginia,0.9160757704
Aca'Cedric Ware,USC,0.9112674165
Corey Dauphine,Tulane,0.8955744637
Charles McClelland,Cincinnati,0.8857013248
Moe Neal,Syracuse,0.882043679
Mike Weber,Ohio State,0.8726999601
Lyn-J Dixon,Clemson,0.8702737453
Otis Anderson,UCF,0.8656257831
Steven Peoples,Virginia Tech,0.8473562522
Warren Wand,Arkansas State,0.8344527611
Alonzo Smith,Miami (OH),0.8173878102
Austin Walter,Rice,0.803339211
Wesley Kennedy III,Georgia Southern,0.7997489855
Salvon Ahmed,Washington,0.7917515653
Tre Watson,Texas,0.7667074758
Adam Choice,Clemson,0.7657837132
Javon Leake,Maryland,0.7609065881
Andrew Clair,Bowling Green State,0.7557984008
Jordan Mims,Fresno State,0.7435710848
Kevin Mensah,Connecticut,0.7215072876
Tre Harbison,Northern Illinois,0.7192628839
Jordan Scarlett,Florida,0.7176906194
Cam Akers,Florida State,0.7162355927
Clinton Lynch,Georgia Tech,0.7115552357
Najee Harris,Alabama,0.7035982634
Jordan Mason,Georgia Tech,0.7015455567
Damarea Crockett,Missouri,0.6930198951
Patrick Carr,Houston,0.6882829328
Taj McGowan,UCF,0.6718308829
Brittain Brown,Duke,0.6668094817
Tra Minter,South Alabama,0.6597826342
Art Thompkins,Toledo,0.6360534963
Christian Gibson,New Mexico State,0.6203463349
Shamari Brooks,Tulsa,0.6161069932
Isaiah Bowser,Northwestern,0.6079714237
Rico Dowdle,South Carolina,0.6009032843
Keaontay Ingram,Texas,0.5977787283
Art Pierce,Oregon State,0.5925760449
Tony Jones Jr.,Notre Dame,0.5864381335
Braeden West,SMU,0.5850826764
Asim Rose,Kentucky,0.5817136474
Taiwan Deal,Wisconsin,0.5769567023
Napoleon Maxwell,Florida International,0.5708690178
John Lovett,Baylor,0.5688851902
Deejay Dallas,Miami (FL),0.5680745294
Marcus Outlow,Coastal Carolina,0.5561401372
Brenden Knox,Marshall,0.5550413973
Lopini Katoa,Brigham Young,0.5548255584
Matt Colburn,Wake Forest,0.5504204822
D'Vonte Price,Florida International,0.5459002876
Aeris Williams,Mississippi State,0.5363049826
Jafar Armstrong,Notre Dame,0.5328926559
Travis Dye,Oregon,0.5213303489
Marcus Williams Jr.,Appalachian State,0.5125097735
Anthony Jones,Florida International,0.4963349522
Leddie Brown,West Virginia,0.4947905869
Trestan Ebner,Baylor,0.4894132176
Michael Carter,North Carolina,0.4856819633
Vavae Malepeai,USC,0.4829513682
Clyde Edwards-Helaire,LSU,0.4829106606
Rakeem Boyd,Arkansas,0.4805544237
Kadin Remsberg,Air Force,0.4471933501
Chaton Mobley,Middle Tennessee State,0.4443979161
Khari Blasingame,Vanderbilt,0.4441282277
Jabir Frye,Troy,0.442813407
Raheem Blackshear,Rutgers,0.4384667171
Toren Young,Iowa,0.4338129251
Tyler King,Marshall,0.4196951839
Maurice Washington,Nebraska,0.4110695734
Ty Johnson,Maryland,0.4107243762
Shakif Seymour,Toledo,0.4041535605
Alec Ingold,Wisconsin,0.4034463317
Justin Rankin,Kent State,0.3980734244
Derrick Gore,Louisiana-Monroe,0.3972812178
Kentory Matthews,Liberty,0.3818150112
Antonio Williams,North Carolina,0.3802377767
Matt Hadley,Brigham Young,0.3621190927
Tra Barnett,Georgia State,0.3598990672
Markell Jones,Purdue,0.357883436
Cameron Scarlett,Stanford,0.355918618
Malik Cunningham,Louisville,0.352081906
Bryce Love,Stanford,0.3501535463
Tyrone Owens,New Mexico,0.3497585087
James Gilbert,Ball State,0.3397934669
