Name,School,Score
Stedman Bailey,West Virginia,3.72332529
Terrance Williams,Baylor,3.411361488
Deandre Hopkins,Clemson,3.123001763
Marqise Lee,USC,2.950222406
Austin Hill,Arizona,2.421863274
Tavarres King,Georgia,2.367441366
Quinton Patton,Louisiana Tech,2.271536239
Davante Adams,Fresno State,2.19120465
Amari Cooper,Alabama,2.149882823
Noel Grigsby,San Jose State,2.067523761
Austin Franklin,New Mexico State,2.062233707
Martel Moore,Northern Illinois,1.942690398
Markus Wheaton,Oregon State,1.915654611
Jordan Matthews,Vanderbilt,1.803254162
Tavon Austin,West Virginia,1.799339468
Cody Hoffman,Brigham Young,1.78957617
Alex Neutz,Buffalo,1.77023599
Chad Bumphis,Mississippi State,1.740848548
Tevin Reese,Baylor,1.711085888
Alex Amidon,Boston College,1.697232592
Eric Ward,Texas Tech,1.644463097
Cobi Hamilton,Arkansas,1.633474797
Justin Hunter,Tennessee,1.616970101
Titus Davis,Central Michigan,1.607088205
Justin Hardy,East Carolina,1.596550711
Brandin Cooks,Oregon State,1.590103301
Jordan Leslie,UTEP,1.55555001
Donte Moncrief,Ole Miss,1.548832758
Allen Robinson,Penn State,1.540870972
Darrin Moore,Texas Tech,1.530897998
Willie Snead,Ball State,1.511987284
Ryan Grant,Tulane,1.472273688
Devante Parker,Louisville,1.469991949
Jamison Crowder,Duke,1.440487078
Chip Reeves,Troy,1.419033188
Alec Lemon,Syracuse,1.415886228
Marcus Davis,Virginia Tech,1.396500171
Kenny Bell,Nebraska,1.391981403
Anthony Amos,Middle Tennessee State,1.373104563
Mike Davis,Texas,1.359470044
Brent Leonard,Louisiana-Monroe,1.319038068
Josh Stewart,Oklahoma State,1.314989405
Kenny Stills,Oklahoma,1.295871587
Robert Herron,Wyoming,1.295096227
Conner Vernon,Duke,1.283724711
Mike Shanahan,Pitt,1.282106242
Brandon Coleman,Rutgers,1.280272873
Alonzo Russell,Toledo,1.271121782
Corey Fuller,Virginia Tech,1.261262849
Willis Wright,Florida International,1.234429017
Mike Edwards,UTEP,1.218156879
Bernard Reedy,Toledo,1.156990535
Mike Evans,Texas A&amp;M,1.141510956
Robert Woods,USC,1.115030242
Marcus Sales,Syracuse,1.110401123
Joseph Fauria,UCLA,1.107730979
Dawan Scott,Miami (OH),1.073907538
Je'Ron Hamm,Louisiana-Monroe,1.067774458
William Dukes,Florida Atlantic,1.059612909
Jared Abbrederis,Wisconsin,1.053107737
Ryan Swope,Texas A&amp;M,1.049294974
Travis Kelce,Cincinnati,1.046407787
Stefon Diggs,Maryland,1.044654374
Jamal Robinson,Louisiana,1.037309427
Keyarris Garrett,Tulsa,1.034314948
Chandler Jones,San Jose State,1.006870055
Josh Boyce,Texas Christian,1.002572963
Nick Harwell,Miami (OH),0.9953605857
Devin Smith,Ohio State,0.9918234957
Isaiah Burse,Fresno State,0.9793033188
Cody Latimer,Indiana,0.978646622
Bryan Underwood,North Carolina State,0.9420375527
Cordarrelle Patterson,Tennessee,0.9336503067
Jeremy Gallon,Michigan,0.9311544211
Tommy Shuler,Marshall,0.9303282322
Devin Street,Pitt,0.9299024549
A.J. Barker,Minnesota,0.9081833585
Marquess Wilson,Washington State,0.8842974065
Zach Ertz,Stanford,0.8703769817
Tobias Palmer,North Carolina State,0.8203076079
Austin Seferian-Jenkins,Washington,0.8129399248
Chris Boyd,Vanderbilt,0.8032447748
Phillip Dorsett,Miami (FL),0.7354269252
Uzoma Nwachukwu,Texas A&amp;M,0.7332211048
Shaquelle Evans,UCLA,0.7076852688
Devante Davis,UNLV,0.7059526345
Matt Austin,Utah State,0.6991705285
Antavious Wilson,Marshall,0.690602382
Rashad Ross,Arizona State,0.6842309452
Chris Harper,Kansas State,0.6837704123
Ryan Otten,San Jose State,0.6777134294
Kasen Williams,Washington,0.6738115309
Emory Blake,Auburn,0.6646862625
Rannell Hall,UCF,0.6490564797
Bruce Ellington,South Carolina,0.6486140429
Justin Brown,Oklahoma,0.6462094284
Brandon Carter,Texas Christian,0.6385199787
Blake Jackson,Oklahoma State,0.6246981451
J.D. McKissic,Arkansas State,0.6236891869
Harry Peoples,Louisiana,0.6223003426
Rashad Greene,Florida State,0.6196198659
Chris Gallon,Bowling Green State,0.6160515972
Jordan Taylor,Rice,0.6101043101
Jaime Wilson,Western Michigan,0.5860427416
Zach Sudfeld,Nevada,0.5804976441
Quintin Payton,North Carolina State,0.5726763217
Kemonte Bateman,New Mexico State,0.5690634457
Myles White,Louisiana Tech,0.565482325
Jaxon Shipley,Texas,0.5650890501
Tyler Lockett,Kansas State,0.5635039948
Quinshad Davis,North Carolina,0.5522834542
Dan Buckner,Arizona,0.5426915727
Eric Monette,Western Michigan,0.5322994699
Darius Johnson,SMU,0.5283974854
Keenan Allen,California,0.5257002678
Eric Thomas,Troy,0.5167587898
Javone Lawson,Louisiana,0.5129240121
Donte Foster,Ohio,0.5123777852
Antavian Edison,Purdue,0.5084932564
Jalen Saunders,Oklahoma,0.5074433023
Shaun Joplin,Bowling Green State,0.5042257034
Brandon Wimberly,Nevada,0.5001522836
Odell Beckham Jr.,LSU,0.4999493713
Roy Roundtree,Michigan,0.4980539534
Charlie Moore,Oklahoma State,0.4785328017
Josh Huff,Oregon,0.477651201
Zach Rogers,Tennessee,0.4693218666
