Name,School,Score
James Washington,Oklahoma State,3.310339954
Anthony Miller,Memphis,3.047079943
Anthony Johnson,Buffalo,2.79428672
Tre'Quan Smith,UCF,2.573438059
Diontae Johnson,Toledo,2.528362678
Cedric Wilson,Boise State,2.483978549
David Sills,West Virginia,2.394745611
Keke Coutee,Texas Tech,2.320807214
A.J. Brown,Ole Miss,2.258051436
Jordan Lasley,UCLA,2.256371913
Marcell Ateman,Oklahoma State,2.097201938
Courtland Sutton,SMU,2.003511478
James Gardner,Miami (OH),1.95258696
Michael Gallup,Colorado State,1.914651399
Ka'Raun White,West Virginia,1.913333091
Korey Robertson,Southern Mississippi,1.9051298
J'Mon Moore,Missouri,1.883864012
Marquise Brown,Oklahoma,1.868936963
Emanuel Hall,Missouri,1.822670773
Denzel Mims,Baylor,1.820635923
Trey Quinn,SMU,1.794075163
Trevon Brown,East Carolina,1.700630015
Andy Isabella,Massachusetts,1.693027214
Stanley Morgan Jr.,Nebraska,1.67798876
Steve Ishmael,Syracuse,1.655446934
Penny Hart,Georgia State,1.62967701
Jaleel Scott,New Mexico State,1.557857448
N'Keal Harry,Arizona State,1.541734064
Deontay Burnett,USC,1.487001598
Jaylen Smith,Louisville,1.412424686
Byron Pringle,Kansas State,1.410341326
Sergio Bailey,Eastern Michigan,1.408693923
Wyatt Demps,Nevada,1.401081226
Mark Andrews,Oklahoma,1.385507642
DaeSean Hamilton,Penn State,1.364045452
James Proche,SMU,1.350042645
Tyre Brady,Marshall,1.334715005
Allen Lazard,Iowa State,1.333989582
Kwadarrius Smith,Akron,1.319796296
D.J. Chark,LSU,1.317320033
Damion Ratley,Texas A&amp;M,1.279119753
Christian Kirk,Texas A&amp;M,1.268524437
D.J. Moore,Maryland,1.264109213
KeeSean Johnson,Fresno State,1.256817201
Malcolm Williams,Coastal Carolina,1.246128389
JJ Arcega-Whiteside,Stanford,1.236131343
CeeDee Lamb,Oklahoma,1.202520623
Jalen Guyton,North Texas,1.188494994
Andre Levrone,Virginia,1.168200653
Marquez Valdes-Scantling,South Florida,1.164457643
Aaron Cephus,Rice,1.131177516
Cam Phillips,Virginia Tech,1.127147233
Calvin Ridley,Alabama,1.117575029
Darren Carrington,Utah,1.102837119
Kalib Woods,Florida Atlantic,1.094238211
Adonis Jennings,Temple,1.088215876
Tyler Johnson,Minnesota,1.080080933
Tyree McCants,South Florida,1.078612957
Kelvin Harmon,North Carolina State,1.053452586
Felton Davis III,Michigan State,1.046223279
Thomas Owens,Florida International,1.041540341
Anthony Mahoungou,Purdue,1.04094594
Davon Grayson,East Carolina,1.038256854
Teddy Veal,Louisiana Tech,1.031118535
Dez Fitzpatrick,Louisville,1.027905811
Darren Andrews,UCLA,1.025535914
Alfonso Onunwor,Idaho,1.02149777
Darius Slayton,Auburn,1.015086867
Steven Dunbar,Houston,0.9854716984
Johnathon Johnson,Missouri,0.9603774766
DaMarkus Lodge,Ole Miss,0.9541168399
Hakeem Butler,Iowa State,0.9503261014
RJ Turner,Louisiana-Monroe,0.9422012894
Corey Willis,Central Michigan,0.9204637762
Javon Wims,Georgia,0.9161285528
Tavares Martin Jr.,Washington State,0.9129992164
Greg Dortch,Wake Forest,0.9109986919
Mark Chapman,Central Michigan,0.9091829171
Ike Lewis,Appalachian State,0.8998761863
Dredrick Snelson,UCF,0.8925268247
Noah Fant,Iowa,0.8893752012
Chris Murray,Arkansas State,0.8851552037
Steven Sims Jr.,Kansas,0.883932952
Terren Encalade,Tulane,0.8695166995
Ricky Jeune,Georgia Tech,0.8515902476
Marcus Simms,West Virginia,0.8396802468
Kalija Lipscomb,Vanderbilt,0.8364406597
Jalen Reagor,Texas Christian,0.8352505051
D.K. Metcalf,Ole Miss,0.8181910802
Simmie Cobbs,Indiana,0.8166525791
Marcus Green,Louisiana-Monroe,0.8159247995
Justin McInnis,Arkansas State,0.8123558996
Johnnie Dixon,Ohio State,0.8023139641
Anthony Ratliff-Williams,North Carolina,0.7964359214
Ty Lee,Middle Tennessee State,0.7773526138
Keith Kirkwood,Temple,0.7374394898
Tyler Vaughns,USC,0.7349570386
Vic Wharton,California,0.7297851176
Terry Godwin,Georgia,0.7285741953
McLane Mannix,Nevada,0.725933658
Braxton Berrios,Miami (FL),0.7254452272
Rico Bussey Jr.,North Texas,0.7070082228
Auden Tate,Florida State,0.7059294239
Jon'Vea Johnson,Toledo,0.7009127702
Dylan Cantrell,Texas Tech,0.6794212057
Turner Smiley,North Texas,0.6737588857
Jester Weah,Pitt,0.6733325773
T.J. Vasher,Texas Tech,0.6681062211
Justin Hobbs,Tulsa,0.6653750372
Teo Redding,Bowling Green State,0.6628650238
C.J. Johnson,Wyoming,0.6617747131
Dante Pettis,Washington,0.6464642348
Jamarius Way,South Alabama,0.6371823836
Deon Yelder,Western Kentucky,0.6269013323
Trent Sherfield,Vanderbilt,0.6256411027
Kyle Williams,Arizona State,0.5998143088
Albert Okwuegbunam,Missouri,0.5963770564
Kanawai Noa,California,0.5919196034
Tabari Hines,Wake Forest,0.587942923
Hergy Mayala,Connecticut,0.5846196938
Chris Jones,Coastal Carolina,0.5763094286
JD Spielman,Nebraska,0.5711311438
Linell Bonner,Houston,0.569359808
Michael Lawrence,North Texas,0.5664670292
Jamire Jordan,Fresno State,0.5591644826
Deon Cain,Clemson,0.559005394
Gary Jennings,West Virginia,0.5490123129
Chris Platt,Baylor,0.5445951591
Bryan Edwards,South Carolina,0.5390935917
Cam Serigne,Wake Forest,0.5387672032
Will Hastings,Auburn,0.5234973343
Olamide Zaccheaus,Virginia,0.5172523239
Darnell Mooney,Tulane,0.5154926395
Scotty Washington,Wake Forest,0.5044505004
Tony Ellison,Arizona,0.5018789021
Ryheem Malone,Louisiana,0.4965111382
Cody Thompson,Toledo,0.4864892866
Papi White,Ohio,0.4812764064
John Ursua,Hawaii,0.4784333808
Devonte Boyd,UNLV,0.4762854729
Blake Mack,Arkansas State,0.4725634507
Steven Mitchell,USC,0.4620593969
Elijah King,Texas State,0.459197808
Andre Wilson,UAB,0.4495593986
Ben Skowronek,Northwestern,0.445523865
Quintez Cephus,Wisconsin,0.4349276346
Nyqwan Murray,Florida State,0.4324120239
Seth Dawkins,Louisville,0.4243401143
Thomas Hennigan,Appalachian State,0.4238219508
Brendan O'Leary-Orange,Nevada,0.421370563
Isaiah Wright,Temple,0.4112811899
Kahlil Lewis,Cincinnati,0.410455092
Ervin Phillips,Syracuse,0.3972586783
Datrin Guyton,Bowling Green State,0.3858805454
Collin Johnson,Texas,0.3677417178
Demornay Pierson-El,Nebraska,0.3674807043
Adam Breneman,Massachusetts,0.3501868777
Jakobi Meyers,North Carolina State,0.345616496
Willie Wright,Florida Atlantic,0.341861226
Doni Dowling,Virginia,0.3345220179
Shun Brown,Arizona,0.3298981604
Dimitri Flowers,Oklahoma,0.328584448
Jalen McCleskey,Oklahoma State,0.3274215525
Dillon Stoner,Oklahoma State,0.3162475368
Darnell Salomon,South Florida,0.3123560201
Dalton Schoen,Kansas State,0.309413449
Mike Gesicki,Penn State,0.3080336774
Ryan Davis,Auburn,0.3020192757
Rhashid Bonnette,Louisiana Tech,0.2890040305
Brian Williams,Louisiana-Monroe,0.2806512521
John Diarse,Texas Christian,0.2805959309
Ron'Quavion Tarver,Utah State,0.2776211907
Jonathan Nance,Arkansas,0.2630286576
Bryce Bobo,Colorado,0.2533572202
Lucky Jackson,Western Kentucky,0.2515899189
Shay Fields,Colorado,0.2440458457
Damion Willis,Troy,0.2413089262
T.J. Rahming,Duke,0.2391306063
Scott Miller,Bowling Green State,0.2324237049
Jordan Akins,UCF,0.2266639055
Kaden Smith,Stanford,0.2192647202
Brandon Presley,UNLV,0.2174544751
Ryan Yurachek,Marshall,0.2165321735
Deondre Douglas,Troy,0.2140018502
Equanimeous St. Brown,Notre Dame,0.1915697982
A.J. Taylor,Wisconsin,0.1864520399
Terry McLaurin,Ohio State,0.1844716862
Tony Pollard,Memphis,0.1819783838
Tyler Conklin,Central Michigan,0.1801428363
D'Wayne Eskridge,Western Michigan,0.1627923499
Raelon Singleton,Utah,0.1612382137
Parris Campbell,Ohio State,0.1569416442
Justin Hall,Ball State,0.1482046379
Marcus Bennett,Air Force,0.1478954161
Stephen Louis,North Carolina State,0.1478221713
Jordan Veasy,California,0.1430777153
Marquez Callaway,Tennessee,0.1356396039
Kevin Stepherson,Notre Dame,0.1294420095
