Name,School,Score
Zach Terrell,Western Michigan,3.04021456
Mason Rudolph,Oklahoma State,2.834663118
Baker Mayfield,Oklahoma,2.400249979
Mike White,Western Kentucky,2.396717416
Patrick Mahomes,Texas Tech,2.383240643
Ryan Higgins,Louisiana Tech,2.218435104
Mitch Trubisky,North Carolina,2.160135775
Quinton Flowers,South Florida,2.096968563
Lamar Jackson,Louisville,2.069950177
Gus Ragland,Miami (OH),2.002316596
Logan Woodside,Toledo,1.93994539
Jerod Evans,Virginia Tech,1.864249995
David Washington,Old Dominion,1.693121517
Justin Thomas,Georgia Tech,1.496470972
Trace McSorley,Penn State,1.447955345
Brad Kaaya,Miami (FL),1.410209221
Brent Stockstill,Middle Tennessee State,1.365920927
Jake Browning,Washington,1.320240389
Joel Lanning,Iowa State,1.299593777
Jesse Ertz,Kansas State,1.249991011
Justin Herbert,Oregon,1.240864388
Dakota Prukop,Oregon,1.198484129
Brett Rypien,Boise State,1.177148231
Deondre Francois,Florida State,1.160843496
Sean White,Auburn,1.151233747
Luke Falk,Washington State,1.146022302
Nathan Peterman,Pitt,1.126878933
Nick Stevens,Colorado State,1.107565556
J.T. Barrett,Ohio State,1.106848994
Jalen Hurts,Alabama,1.016588006
Sefo Liufau,Colorado,0.9566609573
Hasaan Klugh,Charlotte,0.9298255435
Collin Hill,Colorado State,0.9257650874
Skyler Howard,West Virginia,0.9067721378
Sam Darnold,USC,0.8910420785
Eric Dungey,Syracuse,0.8730473906
Bart Houston,Wisconsin,0.8647493347
Riley Ferguson,Memphis,0.8645726196
Trevor Knight,Texas A&amp;M,0.8056951376
Davis Webb,California,0.7983828538
DeShone Kizer,Notre Dame,0.753517938
Danny Etling,LSU,0.7298574773
Perry Hills,Maryland,0.7215812691
Ryan Metz,UTEP,0.7107221742
Jake Hubenak,Texas A&amp;M,0.6837861685
Tommy Woodson,Akron,0.675257569
Tyler Stewart,Nevada,0.6723728
Chad Kelly,Ole Miss,0.672188853
Keller Chryst,Stanford,0.6701828056
Jake Bentley,South Carolina,0.6588651509
Dru Brown,Hawaii,0.6552372256
Christian Chapman,San Diego State,0.6510080694
Dalton Sturm,UTSA,0.6169547054
Wilton Speight,Michigan,0.6093578354
Josh Rosen,UCLA,0.5993535888
Brogan Roback,Eastern Michigan,0.5830066692
Ryan Finley,North Carolina State,0.5568069036
Jacob Park,Iowa State,0.5501941789
Wes Lunt,Illinois,0.5312855206
Philip Nelson,East Carolina,0.4767279109
Taylor Lamb,Appalachian State,0.4759545559
Clayton Thorson,Northwestern,0.4424289529
Nick Fitzgerald,Mississippi State,0.42913436
Daniel Jones,Duke,0.373366843
Joshua Dobbs,Tennessee,0.3669077132
Justice Hansen,Arkansas State,0.3643445625
Gardner Minshew,East Carolina,0.3514115303
Gunner Kiel,Cincinnati,0.3209392866
Seth Russell,Baylor,0.3076644375
Stephen Johnson,Kentucky,0.2901849371
Brandon McIlwain,South Carolina,0.2872854528
Kurt Palandech,UNLV,0.2754993723
Perry Orth,South Carolina,0.2683744697
Anthony Maddie,Northern Illinois,0.2596428333
Billy Bahl,Miami (OH),0.2579019183
Ryker Fyfe,Nebraska,0.2512214824
Quinton Maxwell,Ohio,0.2479899727
Greg Ward Jr.,Houston,0.2219381931
Chase Litton,Marshall,0.2133603709
Austin Apodaca,New Mexico,0.2024742919
Nate Romine,Air Force,0.1908837577
Nick Mullens,Southern Mississippi,0.1890181218
Troy Williams,Utah,0.1857076844
Matt Linehan,Idaho,0.1734556808
Bryant Shirreffs,Connecticut,0.1710709619
Favian Upshaw,Georgia Southern,0.1657967704
Drew Lock,Missouri,0.1428423475
Brandon Dawkins,Arizona,0.1255713363
Shea Patterson,Ole Miss,0.1236179541
Grant Rohach,Buffalo,0.1191465023
Mason Fine,North Texas,0.1188651905
Tyler Stehling,Rice,0.11559008
Marcus McMaryion,Oregon State,0.1032052574
Chris Laviano,Rutgers,0.08284673488
Zack Mahoney,Syracuse,0.06693530239
Deshaun Watson,Clemson,0.06585046982
Kent Myers,Utah State,0.06065564773
Tommy Armstrong Jr,Nebraska,0.05262814715
Max Browne,USC,0.04562056214
Dane Evans,Tulsa,0.003560349716
Dalton Sneed,UNLV,-0.008212947475
Jacob Eason,Georgia,-0.04965380678
Steven Montez,Colorado,-0.11290864
Kevin Olsen,Charlotte,-0.1179609479
Manny Wilkins,Arizona State,-0.1211939016
McKenzie Milton,UCF,-0.1474836835
Zack Greenlee,UTEP,-0.1938124616
Brandon Silvers,Troy,-0.2418047505
Hayden Moore,Cincinnati,-0.2440211188
Zach Smith,Baylor,-0.2519640956
Shane Buechele,Texas,-0.2694870556
Kenny Hill,Texas Christian,-0.2783350447
Kenny Potter,San Jose State,-0.2911666018
Justin Holman,UCF,-0.3003919451
Ty Gangi,Nevada,-0.3521270641
Patrick Towles,Boston College,-0.3988201587
Austin Appleby,Florida,-0.4028339309
Greg Windham,Ohio,-0.4617734826
Tyler O'Connor,Michigan State,-0.4778865541
Taysom Hill,Brigham Young,-0.6199400732
P.J. Walker,Temple,-0.6414823958
Alex Hornibrook,Wisconsin,-0.6495436223
Giovanni Rescigno,Rutgers,-0.6670924101
Riley Neal,Ball State,-0.6785489538
Kurt Benkert,Virginia,-0.6823000196
Garrett Smith,Louisiana-Monroe,-0.7003802089
Carter Stanley,Kansas,-0.7126415533
Darell Garretson,Oregon State,-0.7790842552
Ryan Burns,Stanford,-0.8218747274
Alec Morris,North Texas,-0.8472195884
Kyle Shurmur,Vanderbilt,-0.850344755
Jason Driskel,Florida Atlantic,-0.8628835661
C.J. Beathard,Iowa,-0.8842342761
Josh Allen,Wyoming,-0.8892397887
Tyree Jackson,Buffalo,-0.918493414
Austin Allen,Arkansas,-0.9570248935
Tra'Von Chapman,Akron,-0.9612109873
Luke Del Rio,Florida,-0.9668512143
Mitch Leidner,Minnesota,-1.021766524
Tyler Rogers,New Mexico State,-1.053066286
Dallas Davis,South Alabama,-1.062416283
John Wolford,Wake Forest,-1.071965389
Chason Virgil,Fresno State,-1.073454997
Ryan Graham,Northern Illinois,-1.088898625
Caleb Evans,Louisiana-Monroe,-1.090698129
