Name,School,Score
Patrick Edwards,Houston,3.871322874
Jordan White,Western Michigan,3.19756891
Kendall Wright,Baylor,2.838342134
Justin Blackmon,Oklahoma State,2.651347724
Marquess Wilson,Washington State,2.454503119
Stedman Bailey,West Virginia,2.374428041
Jalen Saunders,Fresno State,2.333535435
B.J. Cunningham,Michigan State,2.296219929
Marvin McNutt,Iowa,2.260154976
Gerell Robinson,Arizona State,2.188596396
Tyler Shoemaker,Boise State,2.115183631
Chris Givens,Wake Forest,2.036678144
Nick Harwell,Miami (OH),2.030963541
Jarius Wright,Arkansas,2.028741214
Sammy Watkins,Clemson,2.004573855
Robert Woods,USC,2.001142909
Justin Johnson,Houston,1.942676334
Quinton Patton,Louisiana Tech,1.932866483
Lavon Brazill,Ohio,1.930616777
Rishard Matthews,Nevada,1.895407236
Dwight Jones,North Carolina,1.890537908
Marqise Lee,USC,1.88996854
Stephen Hill,Georgia Tech,1.889267823
Taveon Rogers,New Mexico State,1.773491596
Ryan Swope,Texas A&amp;M,1.769494149
Kamar Jorden,Bowling Green State,1.727771418
Javone Lawson,Louisiana,1.722664955
A.J. Jenkins,Illinois,1.683254185
Nelson Rosario,UCLA,1.662425514
Terrance Williams,Baylor,1.659053852
Ryan Broyles,Oklahoma,1.655267374
Jeremy Ebert,Northwestern,1.619248873
Josh Boyce,Texas Christian,1.568829061
Keenan Allen,California,1.560199722
Da'Rick Rogers,Tennessee,1.55614295
Cody Hoffman,Brigham Young,1.48532928
Colin Lockett,San Diego State,1.473548358
Darius Johnson,SMU,1.453200446
Brandon Coleman,Rutgers,1.439133195
Rueben Randle,LSU,1.437668943
Jared Abbrederis,Wisconsin,1.434774387
Bernard Reedy,Toledo,1.425567033
T.Y. Hilton,Florida International,1.372765644
Nick Toon,Wisconsin,1.368260715
Aaron Dobson,Marshall,1.34682708
Coby Fleener,Stanford,1.334002785
Juron Criner,Arizona,1.330929244
Royce Pollard,Hawaii,1.304005142
Michael Floyd,Notre Dame,1.289110118
Tavon Austin,West Virginia,1.288810277
Tommy Streeter,Miami (FL),1.28544692
Bryan Burnham,Tulsa,1.278311642
Tevin Reese,Baylor,1.278193736
Titus Davis,Central Michigan,1.266744478
Eric Page,Toledo,1.179609913
Dwayne Frampton,Arkansas State,1.140432668
Jordan Matthews,Vanderbilt,1.122929663
Mohamed Sanu,Rutgers,1.084745476
Eric Thomas,Troy,1.071509186
Alshon Jeffery,South Carolina,1.031786163
Kenny Stills,Oklahoma,1.026919574
T.J. Graham,North Carolina State,1.011938064
Willie Carter,Tulsa,0.9988499834
Conner Vernon,Duke,0.9731037871
Junior Hemingway,Michigan,0.9671682001
Chleb Ravenell,Western Michigan,0.96577091
Ryan Balentine,Southern Mississippi,0.964178974
Gavin Escobar,San Diego State,0.9531440265
Taylor Stockemer,Arkansas State,0.9517123084
Martel Moore,Northern Illinois,0.9379455793
Deandre Hopkins,Clemson,0.9319461746
Toney Clemons,Colorado,0.913403659
Deon Long,New Mexico,0.9090630561
Tavarres King,Georgia,0.890411172
Darius Reynolds,Iowa State,0.8800585513
Eugene Cooper,Bowling Green State,0.8747185059
Zack Kauth,Air Force,0.8483882762
Jaz Reynolds,Oklahoma,0.8444272388
Danny Coale,Virginia Tech,0.7891016873
Jermaine Kearse,Washington,0.7816358524
Eric Ward,Texas Tech,0.7756421259
Nathan Palmer,Northern Illinois,0.7677408174
Lavasier Tuinei,Oregon,0.6847998409
Kris Burd,Virginia,0.6832724409
Alec Lemon,Syracuse,0.669192959
Rashad Greene,Florida State,0.6653740119
Da'Jon McKnight,Minnesota,0.6228050561
Emory Blake,Auburn,0.621327203
Darryl Surgent,Louisiana,0.6197228939
Devonte Christopher,Utah,0.6173173589
Jeff Fuller,Texas A&amp;M,0.6163773996
Ryan Otten,San Jose State,0.6143912459
La'Rod King,Kentucky,0.6126766937
Cole Beasley,SMU,0.6076246805
Erik Highsmith,North Carolina,0.5948640154
Markus Wheaton,Oregon State,0.5895925191
Anthony McClung,Cincinnati,0.5862448406
Tyler Eifert,Notre Dame,0.580503722
Matt Miller,Boise State,0.5769103541
Aaron Pflugrad,Arizona State,0.5657296313
Marvin Jones,California,0.558610527
Billy Ray Stutzmann,Hawaii,0.5447765074
Devin Aguilar,Washington,0.5422720385
Tyron Carrier,Houston,0.516300563
Chris Boyd,Vanderbilt,0.4944686687
Jarrett Boykin,Virginia Tech,0.4887747966
Ladarius Green,Louisiana,0.4861468172
Keenan Davis,Iowa,0.4860182091
Tracy Moore,Oklahoma State,0.4736665384
Derek Moye,Penn State,0.4697822152
Griff Whalen,Stanford,0.4652451173
Dwayne Allen,Clemson,0.4559875658
Malcolm Mitchell,Georgia,0.4481146754
Kelvin Bolden,Southern Mississippi,0.4429706437
Darrin Moore,Texas Tech,0.4292257448
Kashif Moore,Connecticut,0.4258221163
Alex Neutz,Buffalo,0.4163806743
Ross Apo,Brigham Young,0.4148943448
Marcus Davis,Virginia Tech,0.4146494123
Jared Karstetter,Washington State,0.4062693219
Riley Dunlop,Ohio,0.3949735624
Keith Sconiers,Akron,0.3921421639
Devin Street,Pitt,0.3737056414
Tim Smith,Virginia,0.3569981466
Keshawn Martin,Michigan State,0.3549603224
Isiah Barton,Washington State,0.340236392
Rodney Smith,Florida State,0.3224903777
Austin Seferian-Jenkins,Washington,0.3191048739
Cobi Hamilton,Arkansas,0.3127545451
Chris Givens,Miami (OH),0.2996755707
Paul Richardson,Colorado,0.2969569128
Lance Lewis,East Carolina,0.2770078696
Marcus Lucas,Missouri,0.2689835507
Josh Jarboe,Arkansas State,0.2673661857
Travis Benjamin,Miami (FL),0.2634403631
Todd Lee,New Mexico State,0.2585524777
Chris Harper,Kansas State,0.2379728549
Rod Streater,Temple,0.2364804827
Brent Leonard,Louisiana-Monroe,0.2255112776
Michael Campanaro,Wake Forest,0.2243683581
Courtney Williams,Central Michigan,0.2193953472
Dawan Scott,Miami (OH),0.216989146
Orson Charles,Georgia,0.2089152158
Clay Sears,Tulsa,0.2069749039
Justin Hardy,East Carolina,0.2068916746
J.J. Nelson,UAB,0.2041120004
Mike Edwards,UTEP,0.2000927382
Robert Arnheim,Western Michigan,0.1940486429
Jeremiah Ostrowski,Hawaii,0.1877471539
Phillip Payne,UNLV,0.1854517452
Matt Austin,Utah State,0.1811989149
T.J. Moe,Missouri,0.1759674962
Jaxon Shipley,Texas,0.1706901511
