Name,School,Score
Joe Burrow,LSU,3.857523737
Justin Fields,Ohio State,3.419568349
Jalen Hurts,Oklahoma,3.016155002
Tua Tagovailoa,Alabama,2.678225363
Dustin Crum,Kent State,2.477106001
Tyler Huntley,Utah,2.233988098
Nathan Rourke,Ohio,2.09676734
Jayden Daniels,Arizona State,2.069645136
Jake Luton,Oregon State,1.898005689
Trevor Lawrence,Clemson,1.830959368
Levi Lewis,Louisiana,1.799936688
Justin Herbert,Oregon,1.729981965
Charlie Brewer,Baylor,1.562335711
Hendon Hooker,Virginia Tech,1.541231971
Chris Robison,Florida Atlantic,1.439891764
Sam Howell,North Carolina,1.432223613
Jack Coan,Wisconsin,1.396538566
Skylar Thompson,Kansas State,1.379090463
Grant Gunnell,Arizona,1.367747486
Malik Cunningham,Louisville,1.361169035
Peyton Ramsey,Indiana,1.35396055
J'mar Smith,Louisiana Tech,1.34548829
Ian Book,Notre Dame,1.334437147
Brock Purdy,Iowa State,1.310981106
Tanner Morgan,Minnesota,1.302257067
Dillon Gabriel,UCF,1.298757022
Zac Thomas,Appalachian State,1.267798849
Mac Jones,Alabama,1.258601826
Jake Fromm,Georgia,1.209543217
Jett Duffey,Texas Tech,1.185102265
Kyle Vantrease,Buffalo,1.156074666
Chase Garbers,California,1.078464623
Stephen Calvert,Liberty,1.071272392
Logan Bonner,Arkansas State,1.064169763
Mitchell Guadagni,Toledo,1.043727828
Kyle Trask,Florida,1.020537129
Dru Brown,Oklahoma State,0.9979422378
Drew Plitt,Ball State,0.9643276288
Anthony Brown,Boston College,0.9556288397
Jaylon Henderson,Boise State,0.8989026357
Kedon Slovis,USC,0.8892075965
Tommy Devito,Syracuse,0.876504141
Josh Love,San Jose State,0.8629252477
Alex Hornibrook,Florida State,0.8421656719
Sam Ehlinger,Texas,0.833614253
Matt McKay,North Carolina State,0.824569497
Ty Storey,Western Kentucky,0.822298607
Bo Nix,Auburn,0.8039673341
James Morgan,Florida International,0.727213425
Collin Hill,Colorado State,0.7196286044
Sean Clifford,Penn State,0.6812786232
Asher O'Hara,Middle Tennessee State,0.6776368114
Bryce Carpenter,Coastal Carolina,0.6721263392
Tom Stewart,Rice,0.6670610402
Michael Penix Jr.,Indiana,0.5859070766
Kaleb Barker,Troy,0.5814620803
Shane Buechele,SMU,0.5761366325
Davis Mills,Stanford,0.5612268013
Brady White,Memphis,0.5477612835
Jacob Eason,Washington,0.5360318188
Caleb Evans,Louisiana-Monroe,0.5345292021
Baylor Romney,Brigham Young,0.5259814483
Desmond Trotter,South Alabama,0.4981207465
Matt Corral,Ole Miss,0.4976022493
Sean Chambers,Wyoming,0.4969803281
Shea Patterson,Michigan,0.4946912047
Ryan Agnew,San Diego State,0.4685309902
Elijah Sindelar,Purdue,0.4577980188
Ryan Hilinski,South Carolina,0.4527294048
Chase Brice,Clemson,0.4500302586
Nathan Stanley,Iowa,0.4078292268
Kellen Mond,Texas A&amp;M,0.3956788731
D'Eriq King,Houston,0.3878779425
Kelly Bryant,Missouri,0.3832523425
Patrick O'Brien,Colorado State,0.3746970823
Dan Ellington,Georgia State,0.3668756975
Sam Hartman,Wake Forest,0.3545127191
Alan Bowman,Texas Tech,0.3407646895
Jon Wassink,Western Michigan,0.3018938492
Mason Fine,North Texas,0.3006986828
K.J. Costello,Stanford,0.2339874716
Mike Glass III,Eastern Michigan,0.2320590081
Anthony Gordon,Washington State,0.2204756732
Bryce Perkins,Virginia,0.2165923811
Jarret Doege,West Virginia,0.1918359273
Chevan Cordeiro,Hawaii,0.1868187164
Holton Ahlers,East Carolina,0.1747438727
Jarren Williams,Miami (FL),0.1616962003
Frank Harris,UTSA,0.1418851612
N'Kosi Perry,Miami (FL),0.1355447992
Wiley Green,Rice,0.08930950845
Layne Hatcher,Arkansas State,0.08377028404
Hank Bachmeier,Boise State,0.07197949888
Aidan O'Connell,Purdue,0.06025522425
Eli Peters,Toledo,0.05683529904
Justin McMillan,Tulane,0.05505975722
Carson Strong,Nevada,0.01226257014
Zach Smith,Tulsa,0.01128992961
Dennis Grosel,Boston College,-0.01313513763
Riley Neal,Vanderbilt,-0.02904679286
Garrett Shrader,Mississippi State,-0.04220183415
Chase Cord,Boise State,-0.04343093877
Cole McDonald,Hawaii,-0.07375326585
Mike Beaudry,Connecticut,-0.07631268702
Tommy Stevens,Mississippi State,-0.09367476854
Kai Locksley,UTEP,-0.09728337678
David Moore,Central Michigan,-0.1173148054
Ben Hicks,Arkansas,-0.1476992277
Kenny Pickett,Pitt,-0.1587680774
Kato Nelson,Akron,-0.2259587804
Marcus Childers,Northern Illinois,-0.2351852213
Darius Wade,Bowling Green State,-0.2369197551
Jamie Newman,Wake Forest,-0.2428475291
Hayden Wolff,Old Dominion,-0.257902911
Jarrett Guarantano,Tennessee,-0.2892870496
Lowell Narcisse,UTSA,-0.3447976728
Brett Gabbert,Miami (OH),-0.4084041814
Steven Duncan,Western Kentucky,-0.4358196376
Steven Montez,Colorado,-0.4388142305
Quinten Dormady,Central Michigan,-0.4404808476
Brandon Jones,UTEP,-0.4451818469
Chris Reynolds,Charlotte,-0.4543888872
Ryan Willis,Virginia Tech,-0.4605480775
Carter Bradley,Toledo,-0.4723014669
Fred Payton,Coastal Carolina,-0.5282001594
Zach Wilson,Brigham Young,-0.5430034076
Desmond Ridder,Cincinnati,-0.5468862626
Gresch Jensen,Texas State,-0.561974735
Brandon Peters,Illinois,-0.5675445934
Adrian Martinez,Nebraska,-0.5712526713
Devin Leary,North Carolina State,-0.5723590619
Tevaka Tuioti,New Mexico,-0.5885758761
Ross Bowers,Northern Illinois,-0.6311315702
