Name,School,Score
Najee Harris,Alabama,4.983601546
Javonte Williams,North Carolina,4.295145755
Breece Hall,Iowa State,4.046014192
Michael Carter,North Carolina,3.334752308
C.J. Marable,Coastal Carolina,3.294872305
Jaret Patterson,Buffalo,3.187981127
Khalil Herbert,Virginia Tech,3.077626276
Tyler Allgeier,Brigham Young,3.073678067
Travis Etienne,Clemson,2.932531606
Kevin Harris,South Carolina,2.85241693
Sincere McCormick,UTSA,2.661902635
Kyren Williams,Notre Dame,2.587601713
Camerun Peoples,Appalachian State,2.360926118
Travis Dye,Oregon,2.360462571
Trey Ragas,Louisiana,2.257225256
Mohamed Ibrahim,Minnesota,2.25199129
Cameron Carroll,Tulane,2.176952061
Calvin Turner,Hawaii,2.167834095
Bijan Robinson,Texas,2.132052559
Deuce Vaughn,Kansas State,2.086679833
Ulysses Bentley IV,SMU,2.029265879
Leddie Brown,West Virginia,2.025869225
Isaiah Spiller,Texas A&amp;M,1.993763087
Rachaad White,Arizona State,1.931726157
Mataeo Durant,Duke,1.929356798
Ainias Smith,Texas A&amp;M,1.913238489
Larry Rountree III,Missouri,1.911794301
Elijah Mitchell,Louisiana,1.796261465
Christopher Rodriguez Jr.,Kentucky,1.772405779
Brenden Knox,Marshall,1.770299329
Gerrid Doaks,Cincinnati,1.730439777
Javian Hawkins,Louisville,1.664825903
Jerrion Ealy,Ole Miss,1.624256885
Rhamondre Stevenson,Oklahoma,1.612763177
Zonovan Knight,North Carolina State,1.566497942
Trey Sermon,Ohio State,1.518956499
Jermar Jefferson,Oregon State,1.506223701
Lopini Katoa,Brigham Young,1.500340845
Zamir White,Georgia,1.483046318
Demetric Felton,UCLA,1.438572889
Cam'ron Harris,Miami (FL),1.428384946
Jahmyr Gibbs,Georgia Tech,1.389502682
Ty Jordan,Utah,1.38781314
Greg McCrae,UCF,1.383304011
Spencer Brown,UAB,1.379029203
Devon Achane,Texas A&amp;M,1.376491666
Wesley Kennedy III,Georgia Southern,1.372175347
Ronnie Rivers,Fresno State,1.351501344
Tyler Goodson,Iowa,1.345169568
Eric Gray,Tennessee,1.324578623
Kevin Marks,Buffalo,1.307594604
Kenneth Walker III,Wake Forest,1.287527328
Logan Wright,Georgia Southern,1.285758671
Greg Bell,San Diego State,1.269937666
Bobby Cole,New Mexico,1.269554765
Tyrell Robinson,Army,1.226815583
Tank Bigsby,Auburn,1.225402311
Brittain Brown,UCLA,1.215183486
Jarek Broussard,Colorado,1.197482019
Keytaon Thompson,Virginia,1.168652073
Stephon Huderson,Tulane,1.155969068
D'Vonte Price,Florida International,1.123591947
Jake Funk,Maryland,1.120205134
SaRodorick Thompson,Texas Tech,1.086589005
Trelon Smith,Arkansas,1.086033306
James Cook,Georgia,1.082728819
Toa Taua,Nevada,1.070392068
Lew Nichols,Central Michigan,1.045244467
Frank Gore Jr.,Southern Mississippi,1.025310168
Jerome Ford,Cincinnati,1.01989903
Darius Pinnix,East Carolina,0.9676572464
Tyler Nevens,San Jose State,0.959385465
DeWayne McBride,UAB,0.9579753057
Teon Dollard,Akron,0.9482413863
Seth McGowan,Oklahoma,0.9317584532
Austin Jones,Stanford,0.9181771952
Nelson Smith,Navy,0.917110242
Deion Hankins,UTEP,0.9090813455
Joshua Mack,Liberty,0.9036930488
Deandre Torrey,North Texas,0.9028165657
Destin Coates,Georgia State,0.8992929622
Daetrich Harrington,Appalachian State,0.8721300591
Bryant Koback,Toledo,0.8591542651
De'Montre Tuggle,Ohio,0.8420742058
Brock Sturges,Texas State,0.836762134
Vincent Davis,Pitt,0.8237130501
Lawrance Toafili,Florida State,0.7951177408
Christian Beal,Wake Forest,0.7755450503
Zach Evans,Texas Christian,0.7674486732
Chuba Hubbard,Oklahoma State,0.7552700122
Brad Roberts,Air Force,0.7545607899
Rahjai Harris,East Carolina,0.7493032966
Master Teague,Ohio State,0.7370809915
Tyler Badie,Missouri,0.7343355829
Asim Rose,Kentucky,0.7241975396
Sean Tucker,Syracuse,0.7226542833
Stevie Scott,Indiana,0.718477721
Otis Anderson,UCF,0.7115522013
La'darius Jefferson,Western Michigan,0.7021554469
Chris Tyree,Notre Dame,0.6978892026
Calvin Hill,Texas State,0.6781749623
Reese White,Coastal Carolina,0.6750263002
Peytton Pickett,Liberty,0.6747946982
David Bailey,Boston College,0.6742614063
