Name,School,Score
Rashard Higgins,Colorado State,3.712428017
Amari Cooper,Alabama,3.128827664
Corey Davis,Western Michigan,3.0105946
Devin Smith,Ohio State,2.661328421
Tyler Lockett,Kansas State,2.428804379
Tony Lippett,Michigan State,2.35942917
Leonte Carroo,Rutgers,2.196070356
William Fuller,Notre Dame,2.192398551
Vince Mayle,Washington State,2.169080024
Corey Coleman,Baylor,2.148453206
Kevin White,West Virginia,2.128087353
Phillip Dorsett,Miami (FL),2.125941966
Breshad Perriman,UCF,2.124870978
Justin Hardy,East Carolina,2.087644593
Nelson Agholor,USC,2.047413083
Titus Davis,Central Michigan,1.986291454
Tyler Boyd,Pitt,1.974514022
Antonio Vaughan,Old Dominion,1.964793151
Pharoh Cooper,South Carolina,1.899139966
Joshua McCain,Idaho,1.827380396
Josh Doctson,Texas Christian,1.824143196
Jaelen Strong,Arizona State,1.816818428
Tajae Sharpe,Massachusetts,1.802949161
Rashad Greene,Florida State,1.792655565
Josh Reynolds,Texas A&amp;M,1.774570803
Keevan Lucas,Tulsa,1.760926213
K.D. Cannon,Baylor,1.751144863
Nelson Spruce,Colorado,1.737262238
Bud Sasser,Missouri,1.644067484
Mario Alford,West Virginia,1.607054996
Mike Williams,Clemson,1.593448041
Isiah Myers,Washington State,1.541772382
Roger Lewis,Bowling Green State,1.505785254
Tommy Shuler,Marshall,1.491722244
John Harris,Texas,1.482956474
Sterling Shepard,Oklahoma,1.478535234
Cayleb Jones,Arizona,1.477298894
Da'Ron Brown,Northern Illinois,1.431025873
Chris Moore,Cincinnati,1.43010766
Cam Worthy,East Carolina,1.419600409
Travin Dural,LSU,1.383247412
Devante Parker,Louisville,1.339093442
Deandre Smelter,Georgia Tech,1.294177076
Josh Harper,Fresno State,1.224097854
Jordan Payton,UCLA,1.212780521
Ron Willoughby,Buffalo,1.211201941
Michael Thomas,Ohio State,1.205245983
Mitch Mathews,Brigham Young,1.198512955
Hunter Sharp,Utah State,1.187827468
David Frazier,Miami (OH),1.185233568
Jared Dangerfield,Western Kentucky,1.179349043
Artavis Scott,Clemson,1.174539578
Mike Dudek,Illinois,1.174510455
Sammie Coates,Auburn,1.16492543
Jakeem Grant,Texas Tech,1.164619063
Jordan Taylor,Rice,1.152731711
Donovan Harden,Georgia State,1.149276394
Ajalen Holley,Louisiana-Monroe,1.148169141
Taywan Taylor,Western Kentucky,1.142715552
Bradley Marquez,Texas Tech,1.141398503
Mario Hull,Rice,1.13134314
Byron Marshall,Oregon,1.127534486
Chris Conley,Georgia,1.124544115
Mekale McKay,Cincinnati,1.119493117
Curry Sexton,Kansas State,1.104153817
Trent Taylor,Louisiana Tech,1.10228136
Alonzo Russell,Toledo,1.085542983
Demarcus Robinson,Florida,1.071872081
Jalen Robinette,Air Force,1.063129951
Kenny Bell,Nebraska,1.061548489
Jamison Crowder,Duke,1.060043759
Devonte Boyd,UNLV,1.047544512
Brandon Sheperd,Oklahoma State,1.038467474
Jimmie Hunt,Missouri,1.015598234
Dom Williams,Washington State,1.000199482
Mack Hollins,North Carolina,0.9884977747
De'Runnya Wilson,Mississippi State,0.9788540229
Vince Sanders,Ole Miss,0.9768553133
Thomas Sperbeck,Boise State,0.9685939747
Devon Allen,Oregon,0.9637752151
Devin Lauderdale,Texas Tech,0.9431186469
Shavarez Smith,South Alabama,0.9416311355
Kolby Listenbee,Texas Christian,0.9327286188
Teldrick Morgan,New Mexico State,0.9175544634
Daniel Braverman,Western Michigan,0.9165087935
Jordan Westerkamp,Nebraska,0.9077586089
Davonte Allen,Marshall,0.903204448
Darren Carrington,Oregon,0.8880663753
Kenny Lawler,California,0.8873488354
Antwan Goodley,Baylor,0.878347892
Angelo Jean-Louis,Marshall,0.8759044835
Samajie Grant,Arizona,0.8703741447
Clive Walford,Miami (FL),0.8463424313
Deante' Gray,Texas Christian,0.834571067
Jordan Leslie,Brigham Young,0.8238960377
D'Haquille Williams,Auburn,0.8155713635
Maxx Williams,Minnesota,0.7843090719
Rokeem Williams,Miami (OH),0.7820684601
Andre Davis,South Florida,0.7815823406
River Cracraft,Washington State,0.7778086077
J.J. Nelson,UAB,0.7667965865
Zach Pascal,Old Dominion,0.7212842299
Jordan Williams,Ball State,0.7162891485
Jalen Fitzpatrick,Temple,0.7070476925
Jean Sifrin,Massachusetts,0.6900336729
Deontay Greenberry,Houston,0.6886762905
Jonnu Smith,Florida International,0.6793993492
Jay Lee,Baylor,0.6750711126
Corey Jones,Toledo,0.6615433943
Jordan Villamin,Oregon State,0.6518006654
Carlos Henderson,Louisiana Tech,0.6496163942
Keyarris Garrett,Tulsa,0.6447569585
Dwayne Stanford,Oregon,0.6401990127
Dijon Paschal,Arkansas State,0.6396404482
Willie McNeal,Western Kentucky,0.6337854574
Stefon Diggs,Maryland,0.6189733607
Devon Cajuste,Stanford,0.6012638585
Ian Hamilton,UTEP,0.6009786647
Devante Davis,UNLV,0.573455423
Isaiah Ford,Virginia Tech,0.5724737212
JuJu Smith-Schuster,USC,0.5646548696
Marcus Kemp,Hawaii,0.5643449312
Thomas Duarte,UCLA,0.5637838606
Javess Blue,Kentucky,0.5529640931
Nick O'Leary,Florida State,0.5407881638
Stephen Anderson,California,0.5387678365
Cameron Smith,Arizona State,0.5366674302
Alex Erickson,Wisconsin,0.5035127647
Danny Anthrop,Purdue,0.5020136912
Carlos Harris,North Texas,0.4926650703
Evan Engram,Ole Miss,0.4865080544
Kenzee Jackson,Louisiana-Monroe,0.4570907367
Garrett Brown,Air Force,0.4482681948
Geronimo Allison,Illinois,0.4424032746
Kevonn Mabon,Ball State,0.4382365477
Jesse Kroll,Central Michigan,0.4323040857
Ryan Switzer,North Carolina,0.4276065645
Joshua Reese,UCF,0.4263592652
Zay Jones,East Carolina,0.4256790615
Michael Thomas,Southern Mississippi,0.4197171028
Ronnie Moore,Bowling Green State,0.4094191054
Chris Harper,California,0.4063332939
Darren Waller,Georgia Tech,0.4054848226
Rashon Ceaser,Louisiana-Monroe,0.4054210111
Markeith Ambles,Houston,0.3950714778
Cody Core,Ole Miss,0.3945231077
James Washington,Oklahoma State,0.3900336257
Robert Davis,Georgia State,0.3870705476
Laquon Treadwell,Ole Miss,0.3860083095
Glenn Coleman,Florida International,0.3644191686
Issac Blakeney,Duke,0.3578861476
Rodney Mills,Massachusetts,0.356293079
Fred Ross,Mississippi State,0.356293079
Tres Houston,Arkansas State,0.354330391
Shaq Washington,Cincinnati,0.3494758774
Keith Mumphery,Michigan State,0.3465382874
Pharaoh Brown,Oregon,0.3452188089
Keon Hatcher,Arkansas,0.3434176361
Malachi Jones,Appalachian State,0.3429437521
Canaan Severin,Virginia,0.3397999627
Devin Funchess,Michigan,0.3324311414
Geno Lewis,Penn State,0.3322004059
Chris Humphrey,Kent State,0.3288236626
Darius Jennings,Virginia,0.3230267364
Jared Murphy,Miami (OH),0.3197017576
Chaz Anderson,Boise State,0.3168754698
Deon-Tay McManus,Marshall,0.3144426579
