Name,School,Score
Kyler Murray,Oklahoma,3.393628794
Tua Tagovailoa,Alabama,2.949183052
Sam Ehlinger,Texas,2.85620052
D'Eriq King,Houston,2.650884198
Dwayne Haskins,Ohio State,2.610504852
Marcus McMaryion,Fresno State,2.577319221
Trevor Lawrence,Clemson,2.289307251
Jordan Love,Utah State,2.27551475
Mason Fine,North Texas,2.100273162
Gardner Minshew,Washington State,1.863351928
Will Grier,West Virginia,1.772420284
McKenzie Milton,UCF,1.700424396
Brett Rypien,Boise State,1.669542822
Ross Comis,Massachusetts,1.660110926
Manny Wilkins,Arizona State,1.592980842
Mike Glass III,Eastern Michigan,1.590663864
Jake Fromm,Georgia,1.56739368
Joe Burrow,LSU,1.467281868
Jordan Ta'amu,Ole Miss,1.395008684
Gus Ragland,Miami (OH),1.3701603
Nathan Rourke,Ohio,1.356399412
Drew Lock,Missouri,1.353745335
Kyle Shurmur,Vanderbilt,1.341782107
Desmond Ridder,Cincinnati,1.321682486
Zac Thomas,Appalachian State,1.300444265
Jarrett Guarantano,Tennessee,1.275161059
Jarrett Stidham,Auburn,1.245037537
Tyler Wiegers,Eastern Michigan,1.244638372
Zach Wilson,Brigham Young,1.238069594
Kaleb Barker,Troy,1.207931308
Feleipe Franks,Florida,1.198694055
Eric Dungey,Syracuse,1.073015642
Justice Hansen,Arkansas State,1.037832459
James Morgan,Florida International,1.030889675
Peyton Bender,Kansas,1.003733864
Chris Reynolds,Charlotte,0.991317687
Holton Ahlers,East Carolina,0.9782512078
Trace McSorley,Penn State,0.9713322606
Ian Book,Notre Dame,0.9120883341
Conor Blount,Oregon State,0.8896459788
Drew Eckels,Western Kentucky,0.8672795003
Christian Chapman,San Diego State,0.8507386696
Justin Herbert,Oregon,0.8209429842
Riley Neal,Ball State,0.8202341736
Cole McDonald,Hawaii,0.8201478805
Alan Bowman,Texas Tech,0.8181623053
William Brown,SMU,0.811583448
Shea Patterson,Michigan,0.8005630276
Jon Wassink,Western Michigan,0.7951946371
Zeb Noland,Iowa State,0.7891016769
Dan Ellington,Georgia State,0.7850443331
Brock Purdy,Iowa State,0.7616754461
Bryce Perkins,Virginia,0.7453728328
Brent Stockstill,Middle Tennessee State,0.7409808683
Jake Luton,Oregon State,0.722659481
Adrian Martinez,Nebraska,0.7223129569
Davis Shanley,Western Kentucky,0.714366114
Michael Collins,Texas Christian,0.7101464679
Mitchell Guadagni,Toledo,0.6712483682
Willie Jones III,Texas State,0.6622012181
Brady White,Memphis,0.6618699759
Charlie Brewer,Baylor,0.617573172
David Blough,Purdue,0.6149522935
Darriel Mack Jr.,UCF,0.6026995172
Kellen Mond,Texas A&amp;M,0.5852015925
Jonathan Banks,Tulane,0.5738806701
Skylar Thompson,Kansas State,0.5011469841
Ryan Finley,North Carolina State,0.4852041999
Kaleb Eleby,Western Michigan,0.4711025268
Taylor Cornelius,Oklahoma State,0.4697455853
Justin McMillan,Tulane,0.4306262053
Kilton Anderson,Coastal Carolina,0.4071961267
Ben Hicks,SMU,0.3857248311
Khalil Tate,Arizona,0.3687899023
K.J. Costello,Stanford,0.3641283626
Clayton Tune,Houston,0.3419169615
Tyler Huntley,Utah,0.3328965097
Evan Orth,South Alabama,0.3128785963
Steven Montez,Colorado,0.2604139254
Jamie Newman,Wake Forest,0.2601975053
Andrew Ford,Massachusetts,0.2218156207
Dorian Thompson-Robinson,UCLA,0.2183336178
Sawyer Smith,Troy,0.2053910783
Seth Boomer,Tulsa,0.1724767656
Kenny Pickett,Pitt,0.164031382
Ryan Willis,Virginia Tech,0.1622908708
Jake Browning,Washington,0.1497428476
Daniel Jones,Duke,0.05002625109
Tanner Mangum,Brigham Young,0.03580085592
Blake LaRussa,Old Dominion,-0.005098116732
Nathan Stanley,Iowa,-0.04532752872
Cordale Grundy,UTSA,-0.06496397917
Eli Peters,Toledo,-0.1032777428
Kasim Hill,Maryland,-0.1298707831
Tyree Jackson,Buffalo,-0.1401444053
Rhett Rodriguez,Arizona,-0.1481655354
Jett Duffey,Texas Tech,-0.1502953872
Tyler Vander Waal,Wyoming,-0.1534509665
Tanner Morgan,Minnesota,-0.1717899292
Nick Fitzgerald,Mississippi State,-0.1874536741
Wilton Speight,UCLA,-0.2026347168
K.J. Carta-Samuels,Colorado State,-0.2126973802
Terry Wilson,Kentucky,-0.2145844426
Ryan Agnew,San Diego State,-0.2159752205
Steven Williams,Old Dominion,-0.2215330975
Woody Barrett,Kent State,-0.2436387077
Caleb Evans,Louisiana-Monroe,-0.2476562536
Jack Abraham,Southern Mississippi,-0.2524711783
J'mar Smith,Louisiana Tech,-0.2590510045
Kato Nelson,Akron,-0.2821942138
Jack Coan,Wisconsin,-0.3065070824
Armani Rogers,UNLV,-0.3291966156
Blake Barnett,South Florida,-0.3303038359
Sam Hartman,Wake Forest,-0.3760970021
Josh Adkins,New Mexico State,-0.389518127
Jalan McClendon,Baylor,-0.4305060164
A.J. Erdely,UAB,-0.434801441
