Name,School,Score
Austin Aune,North Texas,-1.238153963
Andrew Marty,Northwestern,-1.270285679
Jason Brown,South Carolina,-1.284344919
McKenzie Milton,Florida State,-1.290919194
Max Bortenschlager,Florida International,-1.291347131
Jace Ruder,North Texas,-1.299444154
Brady Olson,Massachusetts,-1.337114515
Emory Jones,Florida,-1.337489728
Sean Chambers,Wyoming,-1.342005074
Darriel Mack Jr.,Old Dominion,-1.348064212
Cornelious Brown,Georgia State,-1.356929962
Gavin Hardison,UTEP,-1.391643153
Will Plummer,Arizona,-1.436418386
Dylan Morris,Washington,-1.499109701
Ken Seals,Vanderbilt,-1.530617635
Michael Penix Jr.,Indiana,-1.534526495
Graham Mertz,Wisconsin,-1.542423997
Jack Tuttle,Indiana,-1.63846256
Brady McBride,Texas State,-1.658189608
Layne Hatcher,Arkansas State,-1.787926392
Cameron Friel,UNLV,-1.843801033
Jack Zergiotis,Connecticut,-1.927985649
Steven Krajewski,Connecticut,-2.221195932
Davis Brin,Tulsa,-2.231950765
Justin Tomlin,Georgia Southern,-2.376824335
