Name,School,Score
Jonathan Taylor,Wisconsin,4.535976563
Travis Etienne,Clemson,4.399867985
J.K. Dobbins,Ohio State,4.11164803
Chuba Hubbard,Oklahoma State,3.685221297
Najee Harris,Alabama,3.532649376
Jaret Patterson,Buffalo,3.497687217
Kenny Gainwell,Memphis,3.258500349
Darrynton Evans,Appalachian State,3.241184039
Lynn Bowden Jr.,Kentucky,3.191618572
Zack Moss,Utah,3.154033713
Clyde Edwards-Helaire,LSU,2.876693884
Xavier Jones,SMU,2.834242878
AJ Dillon,Boston College,2.818935307
LeVante Bellamy,Western Michigan,2.747074883
Jamale Carothers,Navy,2.668733382
Ben LeMay,Charlotte,2.497866677
Cam Akers,Florida State,2.481503168
Jonathan Ward,Central Michigan,2.405136399
Max Borghi,Washington State,2.392812042
Bryant Koback,Toledo,2.297023701
Elijah Mitchell,Louisiana,2.161908785
Michael Warren II,Cincinnati,2.141096644
Xazavian Valladay,Wyoming,2.141092384
Justin Henderson,Louisiana Tech,2.109863395
C.J. Marable,Coastal Carolina,2.107353794
Josh Johnson,Louisiana-Monroe,2.086749428
Ronnie Rivers,Fresno State,2.068720908
Kylin Hill,Mississippi State,2.034415229
Journey Brown,Penn State,1.970436152
Jason Huntley,New Mexico State,1.958112346
Tra Barnett,Georgia State,1.953117542
Javian Hawkins,Louisville,1.896202516
Brenden Knox,Marshall,1.838307569
Trey Ragas,Louisiana,1.8153576
D'Andre Swift,Georgia,1.789251201
Kobe Lewis,Central Michigan,1.76569438
Frankie Hickson,Liberty,1.757868269
Otis Anderson,UCF,1.727067773
Charles Williams,UNLV,1.713738014
Keaontay Ingram,Texas,1.702756805
George Holani,Boise State,1.695182159
CJ Verdell,Oregon,1.68111823
Wesley Kennedy III,Georgia Southern,1.638175202
Christopher Brooks,California,1.637863107
Eno Benjamin,Arizona State,1.611270137
Rakeem Boyd,Arkansas,1.607091202
Re'Mahn Davis,Temple,1.589073227
Caleb Huntley,Ball State,1.587474003
Ke'Shawn Vaughn,Vanderbilt,1.572052019
Anthony Jones,Florida International,1.520233955
Deejay Dallas,Miami (FL),1.486328711
Lamical Perine,Florida,1.480942473
Adrian Killins,UCF,1.48043191
Marvin Kinsey,Colorado State,1.448001976
De'Montre Tuggle,Ohio,1.426335056
Raymond Calais,Louisiana,1.423723162
Breece Hall,Iowa State,1.403387834
Sincere McCormick,UTSA,1.401649409
Joshua Kelley,UCLA,1.396806387
Isaiah Spiller,Texas A&amp;M,1.378048615
DK Billingsley,Troy,1.346585162
Salvon Ahmed,Washington,1.337494884
Walter Fletcher,Ball State,1.310556482
Joshua Mack,Liberty,1.29226642
Cordarrian Richardson,Texas A&amp;M,1.26437294
Gaej Walker,Western Kentucky,1.264217516
Rodney Smith,Minnesota,1.261007776
Jerrion Ealy,Ole Miss,1.251077422
Kennedy Brooks,Oklahoma,1.243725058
Stevie Scott,Indiana,1.241647193
Aston Walter,Rice,1.234347118
JaTarvious Whitlow,Auburn,1.234325873
Gerold Bright,Utah State,1.231818229
Malcolm Davidson,Florida Atlantic,1.222372818
Javonte Williams,North Carolina,1.205802995
Kadin Remsberg,Air Force,1.20111603
Pooka Williams,Kansas,1.200373164
Michael Carter,North Carolina,1.184914773
David Bailey,Boston College,1.182258361
Javon Leake,Maryland,1.170523429
Jermar Jefferson,Oregon State,1.162861622
Art Pierce,Oregon State,1.154614112
DeJon Packer,San Jose State,1.13222461
Kevin Mensah,Connecticut,1.122907439
Ahmari Davis,New Mexico,1.105284486
Dedrick Mills,Nebraska,1.087371806
Tyler Badie,Missouri,1.084632218
CJ Williams,Navy,1.077726743
Tony Jones Jr.,Notre Dame,1.069463673
Tra Minter,South Alabama,1.065018016
De'Michael Harris,Southern Mississippi,1.0540525
Jaylon Bester,Miami (OH),1.031970313
Corey Dauphine,Tulane,1.026206752
SaRodorick Thompson,Texas Tech,1.006509175
Moe Neal,Syracuse,1.005804768
O'Shaan Allison,Ohio,0.9959532958
Richard Newton,Washington,0.9800855804
Rhamondre Stevenson,Oklahoma,0.9796254529
Bentavious Thompson,UCF,0.9558483576
Bryson Denley,Bowling Green State,0.9508912944
Shamari Brooks,Tulsa,0.9270744345
Miles Reed,Hawaii,0.9104998123
Zach Charbonnet,Michigan,0.898399316
Marcus Crowley,Ohio State,0.8945874523
Anthony McFarland,Maryland,0.8878515309
Kevin Marks,Buffalo,0.8772236301
Cameron Scarlett,Stanford,0.8659531505
Napoleon Maxwell,Florida International,0.8607184849
Amare Jones,Tulane,0.8445518763
JaMycal Hasty,Baylor,0.8440868827
Tre Harbison,Northern Illinois,0.8321545604
Jordan Mason,Georgia Tech,0.8180512667
Lyn-J Dixon,Clemson,0.8158214821
Roschon Johnson,Texas,0.8021471942
Darius Anderson,Texas Christian,0.7843741079
Destin Coates,Georgia State,0.7832910206
Xavier Williams,Kent State,0.7801749266
Christopher Rodriguez Jr.,Kentucky,0.7761046685
Zay Flowers,Boston College,0.7716696519
Tre Siggers,North Texas,0.7714562537
