Name,School,Score
Bryce Petty,Baylor,4.304488276
Marcus Mariota,Oregon,3.295671818
Teddy Bridgewater,Louisville,3.120558709
Connor Shaw,South Carolina,3.111654567
Derek Carr,Fresno State,2.719033334
Cody Fajardo,Nevada,2.457864051
Keith Wenning,Ball State,2.353349861
Jordan Lynch,Northern Illinois,2.333254139
Shane Carden,East Carolina,1.962303998
Chuckie Keeton,Utah State,1.877566017
Matt Johnson,Bowling Green State,1.837722657
Caleb Herring,UNLV,1.782120797
Keith Price,Washington,1.767441212
Jameis Winston,Florida State,1.761074571
Garrett Gilbert,SMU,1.717723268
Rakeem Cato,Marshall,1.679904257
A.J. McCarron,Alabama,1.649005274
Tajh Boyd,Clemson,1.606761245
Maxwell Smith,Kentucky,1.557604045
Braxton Miller,Ohio State,1.511344794
Blake Bortles,UCF,1.501413449
Brett Hundley,UCLA,1.474371325
B.J. Denker,Arizona,1.426633674
Kenny Guiton,Ohio State,1.426619839
Grant Hedrick,Boise State,1.40412383
Ross Metheny,South Alabama,1.367439308
Nick Marshall,Auburn,1.349855641
Aaron Murray,Georgia,1.280806906
Cody Kessler,USC,1.253095378
Connor Cook,Michigan State,1.241438183
Johnny Manziel,Texas A&amp;M,1.228103838
Zach Mettenberger,LSU,1.226784587
James Franklin,Missouri,1.166146628
C.J. Brown,Maryland,1.156861808
Maty Mauk,Missouri,1.088673713
Adam Kennedy,Arkansas State,1.070498433
Joe Southwick,Boise State,1.04554867
Brandon Connette,Duke,1.026740934
Tre Roberson,Indiana,0.9281386512
David Ash,Texas,0.9247834228
Clayton Mitchem,New Mexico,0.9165383339
Dak Prescott,Mississippi State,0.9141178548
Nate Romine,Air Force,0.861684217
Bryn Renner,North Carolina,0.857393329
Taylor Martinez,Nebraska,0.8315818987
Corey Robinson,Troy,0.822714538
Casey Cochran,Connecticut,0.8062138828
Chad Chalich,Idaho,0.804775926
Joe Licata,Buffalo,0.7152631443
Austin Brown,UAB,0.7031194182
Hutson Mason,Georgia,0.694070712
Marquise Williams,North Carolina,0.6897569624
Bo Wallace,Ole Miss,0.6802139748
Taylor Kelly,Arizona State,0.6782352539
Jameill Showers,UTEP,0.6737064969
Blake Bell,Oklahoma,0.6656741035
Tyler Russell,Mississippi State,0.650037479
Devin Gardner,Michigan,0.5826427128
Ron Kellogg III,Nebraska,0.5547066681
Tom Savage,Pitt,0.536965474
Jake Waters,Kansas State,0.5104457381
Clint Chelf,Oklahoma State,0.4861417354
Dylan Thompson,South Carolina,0.4797440648
David Fales,San Jose State,0.4777381486
Quinn Kaehler,San Diego State,0.4727397759
Brett Smith,Wyoming,0.4708067631
Garrett Grayson,Colorado State,0.4236737573
Davis Webb,Texas Tech,0.4147706341
John O'Korn,Houston,0.3997127249
Scotty Young,Louisiana Tech,0.3954082454
Caleb Rowe,Maryland,0.3803365808
Connor Reilly,Temple,0.3662951231
Jared Goff,California,0.3615184318
Jaquez Johnson,Florida Atlantic,0.357698582
P.J. Walker,Temple,0.3408508625
J.W. Walsh,Oklahoma State,0.3340599145
Brendon Kay,Cincinnati,0.3107647338
Nate Sudfeld,Indiana,0.2890723978
Sean Mannion,Oregon State,0.2633255528
Taylor McHargue,Rice,0.2492280454
Christian Hackenberg,Penn State,0.2469549515
Austyn Carta-Samuels,Vanderbilt,0.2301024731
Kolton Browning,Louisiana-Monroe,0.2067488898
Tyler Jones,Texas State,0.1971293377
Jalen Whitlow,Kentucky,0.1941117932
Chase Rettig,Boston College,0.1722238844
Tyler Murphy,Florida,0.1475182759
Kevin Hogan,Stanford,0.1040407501
Philip Nelson,Minnesota,-0.00342861772
Terrance Owens,Toledo,-0.02010694787
Baker Mayfield,Texas Tech,-0.04177871978
Jonathan Perry,UAB,-0.04629195071
Terrel Hunt,Syracuse,-0.05608388662
Eric Soza,UTSA,-0.09697369012
E.J. Hilliard,Florida International,-0.1157339449
Danny Etling,Purdue,-0.1373643612
Darell Garretson,Utah State,-0.1866404136
Trevor Knight,Oklahoma,-0.1954802208
Sefo Liufau,Colorado,-0.2053331086
Trevone Boykin,Texas Christian,-0.2118733552
Nathan Scheelhaase,Illinois,-0.2333737696
Bobby Eveld,South Florida,-0.2404375658
Terrance Broadway,Louisiana,-0.2561313089
Trevor Siemian,Northwestern,-0.2748474135
Andrew McDonald,New Mexico State,-0.296039711
Adam Schulz,Utah,-0.3190580513
Stephen Morris,Miami (FL),-0.32993217
Greg Hankerson,Florida Atlantic,-0.3396991571
Clint Trickett,West Virginia,-0.3409492404
Sam B. Richardson,Iowa State,-0.3434223396
Tyler Tettleton,Ohio,-0.3681542657
Patton Robinette,Vanderbilt,-0.3936533395
Paul Millard,West Virginia,-0.401770602
Colin Reardon,Kent State,-0.4319029326
Brandon Mitchell,North Carolina State,-0.4334077808
Neal Burcham,SMU,-0.4368834654
Kyle Pohl,Akron,-0.4509037948
Tommy Rees,Notre Dame,-0.4697122152
Tanner Price,Wake Forest,-0.5102185029
Grant Rohach,Iowa State,-0.5373960891
Devin Powell,Tulane,-0.6020072232
Zach Terrell,Western Michigan,-0.6409890952
Chandler Whitmer,Connecticut,-0.6664946965
Sean Schroeder,Hawaii,-0.6838067534
Taylor Davis,Idaho,-0.703192403
Derek Thompson,North Texas,-0.7156969679
Taysom Hill,Brigham Young,-0.7161407242
Connor Wood,Colorado,-0.7193950181
Zach Kline,California,-0.7213751723
Ronnie Bell,Georgia State,-0.7613881078
Paxton Lynch,Memphis,-0.7746673919
Chas Dodd,Rutgers,-0.7782456153
Tyler Arndt,Texas State,-0.7947255003
Tyler Benz,Eastern Michigan,-0.8091020729
Justin Worley,Tennessee,-0.820810297
Cody Green,Tulsa,-0.826821843
Pete Thomas,North Carolina State,-0.8309416286
Rob Henry,Purdue,-0.8320286233
Joel Stave,Wisconsin,-0.8666099719
Jake Medlock,Florida International,-0.8686442724
Logan Thomas,Virginia Tech,-0.9137854107
Joshua Dobbs,Tennessee,-0.9436623163
Brogan Roback,Eastern Michigan,-0.9646088097
Jake Rudock,Iowa,-0.9794489471
Nick Montana,Tulane,-0.9964468381
Brandon Doughty,Western Kentucky,-1.044567473
Logan Kilgore,Middle Tennessee State,-1.066009272
Anthony Boone,Duke,-1.072781166
Brayle Brown,Louisiana-Monroe,-1.211366657
Tommy Armstrong Jr,Nebraska,-1.217564835
Taylor Graham,Hawaii,-1.226861206
Brandon Allen,Arkansas,-1.246797059
Austin Boucher,Miami (OH),-1.296373358
Casey Pachall,Texas Christian,-1.359575222
Jake Heaps,Kansas,-1.529798909
Mike White,South Florida,-1.595338752
Mike Wegzyn,Massachusetts,-1.664492236
Case McCoy,Texas,-1.6913111
Gary Nova,Rutgers,-1.716717612
Connor Halliday,Washington State,-1.850742993
A.J. Doyle,Massachusetts,-1.899708146
Cooper Rush,Central Michigan,-1.900750975
Ryan Higgins,Louisiana Tech,-1.998643295
Allan Bridgford,Southern Mississippi,-2.063255856
Tim Boyle,Connecticut,-2.143637506
Drew Allen,Syracuse,-2.144208792
David Watford,Virginia,-2.174313743
Tyler Van Tubbergen,Western Michigan,-2.252525915
Nick Mullens,Southern Mississippi,-2.303994169
Dane Evans,Tulsa,-2.314151267
Travis Wilson,Utah,-2.47550993
