Name,School,Score
Ean Days,Georgia Southern,0.3922524347
D.J. May,Wyoming,0.3851795002
Geoffrey Whiteside,Navy,0.3823764715
Wayne Gallman,Clemson,0.379945196
Thomas Tyner,Oregon,0.3798223875
Chase Price,San Diego State,0.3725089062
Rod Smith,Ohio State,0.3724577517
Terris Jones-Grigsby,Arizona,0.346499838
Bill Belton,Penn State,0.342245677
Johnathan Gray,Texas,0.340013027
Centarius Donald,Louisiana-Monroe,0.3382088768
Damion Jones-Moore,Toledo,0.3267539081
Ralph Webb,Vanderbilt,0.3249728596
Terrence Magee,LSU,0.3207594329
Antoinne Jimmerson,North Texas,0.312878771
Joey Iosefa,Hawaii,0.302288297
Shayne Davern,Air Force,0.3008928785
Andre Givens,Bowling Green State,0.2892979508
Johnny Jefferson,Baylor,0.2710482755
Treyous Jarrells,Colorado State,0.2683699336
Tyreek Hill,Oklahoma State,0.2576997299
Kelvin Taylor,Florida,0.2415235764
R.J. Shelton,Michigan State,0.2368463189
Corey Grant,Auburn,0.2299771678
Khalek Shepherd,Virginia,0.2250421979
Shaquille Powell,Duke,0.2239860502
Tra Carson,Texas A&amp;M,0.2127786378
Robert Martin,Rutgers,0.2076384628
K.J. Maye,Minnesota,0.2055060262
Devin Chafin,Baylor,0.2010274917
Chris Hairston,East Carolina,0.1982807871
Bronson Hill,Eastern Michigan,0.1841828313
De'Veon Smith,Michigan,0.1790460692
Dreamius Smith,West Virginia,0.1767590251
Raheem Mostert,Purdue,0.1734700165
Malcolm Brown,Texas,0.1707128991
Terrance Timmons,South Alabama,0.1706208915
James Butler,Nevada,0.1672160298
Zack Langer,Tulsa,0.1656655539
Akeel Lynch,Penn State,0.1574372323
Gus Edwards,Miami (FL),0.156800901
Joshua Quezada,Fresno State,0.1561241967
Terrence Upshaw,Appalachian State,0.1535849885
Dontrell Hilliard,Tulane,0.1477370878
Ryan Williams-Jenkins,Navy,0.146719165
Nathan Jeffery,UTEP,0.1441950443
Tony Giovannelli,Army,0.1406870416
Kenny Hilliard,LSU,0.1321439073
Terry Baggett,Army,0.1262234122
Jordan Canzeri,Iowa,0.1242531437
Jordan Chunn,Troy,0.1237614097
Kendall Houston,South Alabama,0.1202461158
Raymond Maples,Army,0.1172028226
Lajuan Hunt,Utah State,0.1136143047
D'Angelo Roberts,Indiana,0.1111685646
Jordan Parker,Middle Tennessee State,0.1092111424
Thomas Sirk,Duke,0.1055988531
Anthon Samuel,Florida International,0.08491231133
Jerrel Brown,Idaho,0.08333155992
Ricky Fergerson,Appalachian State,0.0830369865
T.J. Logan,North Carolina,0.07425210574
Desmon Peoples,Rutgers,0.06473941462
Nick Holley,Kent State,0.05652658321
Devin Campbell,Buffalo,0.05485946649
Demarcus Robinson,Kansas State,0.054491943
Jasen Oden,Colorado State,0.05393111401
A.J. Schurr,Army,0.04899944334
Lazedrick Thompson,Tulane,0.04776781914
Derrick Green,Michigan,0.04660565437
Delton Williams,Michigan State,0.04196770525
Drake Johnson,Michigan,0.03623507474
Cole Gautsche,New Mexico,0.03117468847
George Payne,Southern Mississippi,0.02845513652
Josh Hicks,Rutgers,0.02363677422
Akeem Daniels,Northern Illinois,0.01914858773
Christian Powell,Colorado,0.01912843507
Erick Evans,North Texas,0.01026947374
Wes Brown,Maryland,0.007504938278
Mark Dodson,Ole Miss,0.004591311114
Jamaal Williams,Brigham Young,0.003851556384
D.J. Johnson,Air Force,0.001467728202
Imani Cross,Nebraska,0.001084523361
Napoleon Maxwell,Florida International,-0.0068075007
Khary Franklin,Troy,-0.008515609945
J.C. Coleman,Virginia Tech,-0.01650126587
Tony Creecy,North Carolina State,-0.02275366473
Michael Dyer,Louisville,-0.03083100948
Chris James,Pitt,-0.03977532374
Isaac Bennett,Pitt,-0.04569829532
Keith Whitely,UNLV,-0.04685105658
David Glasco II,UTSA,-0.05655873275
Darius Jackson,Eastern Michigan,-0.05933775929
Lorenzo Woodley,Massachusetts,-0.07736466815
