Name,School,Score
Cornelius Johnson,Michigan,0.2094678935
Sam Crawford Jr.,Tulsa,0.2074950584
Tre Harris,Louisiana Tech,0.2042446115
Quian Williams,Buffalo,0.2012450795
Justin Garrett,UTEP,0.1953434618
Billy Kemp,Virginia,0.1952323026
Jaden Walley,Mississippi State,0.1951563539
Malachi Corley,Western Kentucky,0.1895516319
Dontay Demus,Maryland,0.1781374132
Jesse Matthews,San Diego State,0.1746086705
Cameron Latu,Alabama,0.1608837673
Brennan Presley,Oklahoma State,0.1565256631
Je'Quan Burton,Florida Atlantic,0.152796078
Jeff Foreman,Arkansas State,0.1352906907
Jordan Watkins,Louisville,0.1340192102
Ontaria Wilson,Florida State,0.1254914111
Jarrin Pierce,Middle Tennessee State,0.1167498333
Winston Wright,West Virginia,0.1164864823
Jalon Calhoun,Duke,0.1131080074
J.C. Santana,Tulsa,0.1023934384
Tayvion Robinson,Virginia Tech,0.09609854028
Ladd McConkey,Georgia,0.09242875034
Terrell Bynum,Washington,0.089110048
Tez Johnson,Troy,0.08770437409
Keric Wheatfall,Fresno State,0.08376986621
Devin Maddox,Toledo,0.08260994582
Josh Ali,Kentucky,0.08253010495
Michael Mathison,Akron,0.0750867015
Corey Gammage,Marshall,0.07275604273
Will Sheppard,Vanderbilt,0.06352196367
Marcell Barbee,Texas State,0.06267797881
Neil Pau'u,Brigham Young,0.05275173131
Austin Allen,Nebraska,0.05189071115
Kobe Hudson,Auburn,0.04778524206
Elijah Spencer,Charlotte,0.03380501118
Jake Herslow,Houston,0.02923879614
Sam Laporta,Iowa,0.02202872752
Jimmy Marshall,Middle Tennessee State,0.02045935125
Taysir Mack,Pitt,0.01606639607
Rico Arnold,Massachusetts,0.01606639607
LaJohntay Wester,Florida Atlantic,0.0127314909
Broc Thompson,Purdue,0.01163194674
Tre Mosley,Michigan State,-0.0009524689827
Keandre Lambert-Smith,Penn State,-0.002845435017
August Pitre III,Rice,-0.005025556325
Ahmari Huggins-Bruce,Louisville,-0.005294452106
Austin Williams,Mississippi State,-0.01244217561
Cole Tucker,Northern Illinois,-0.01330326799
Lucas Krull,Pitt,-0.01413072223
Jake Bailey,Rice,-0.01525340266
Trae Barry,Boston College,-0.01763221499
Malik Knowles,Kansas State,-0.01847295247
Jared Wyatt,New Mexico State,-0.02563120411
Ainias Smith,Texas A&amp;M,-0.02903314835
Kyle Williams,UNLV,-0.0399111195
Bryce Ford-Wheaton,West Virginia,-0.0409212866
Sam James,West Virginia,-0.04668344751
Ricky Pearsall,Arizona State,-0.04924131203
Malik Heath,Mississippi State,-0.05865366539
Kyren Lacy,Louisiana,-0.06431313379
Jackson Anthrop,Purdue,-0.06861850575
Justin McGriff,Utah State,-0.0709149202
Boogie Knight,Louisiana-Monroe,-0.07195861232
Justin Hall,Ball State,-0.07642334457
Taye Barber,Texas Christian,-0.08089003395
Jalen Wydermyer,Texas A&amp;M,-0.08221928655
Roman Wilson,Michigan,-0.08291985762
Malik Nabers,LSU,-0.08467414208
Stephan Robinson,Northwestern,-0.08899476389
Demetris Robertson,Auburn,-0.09564237592
Justin Shorter,Florida,-0.105450742
Josh Whyle,Cincinnati,-0.1083609716
Tyrick James,Tulane,-0.1156266553
Brandon Robinson,Florida Atlantic,-0.1266835611
Peyton Hendershot,Indiana,-0.1291601249
Payne Durham,Purdue,-0.1309135494
Joel Wilson,Central Michigan,-0.1373128593
Eddie Lewis,Memphis,-0.1375681908
Stefan Cobbs,Boise State,-0.1436967134
Yo'Heinz Tyler,Ball State,-0.1462306848
Kwamie Lassiter II,Kansas,-0.1473606396
Ryan Jones,East Carolina,-0.1490439471
Victor Tucker,Charlotte,-0.1551688391
Nykeim Johnson,Kent State,-0.1601031487
Ben Sims,Baylor,-0.1627829862
Jake Bobo,Duke,-0.166944188
Dante Wright,Colorado State,-0.182056445
Sean Ryan,West Virginia,-0.1825177797
Avery Davis,Notre Dame,-0.184463363
Bo Melton,Rutgers,-0.1854226052
Joseph Ngata,Clemson,-0.1912582022
Malik Washington,Northwestern,-0.1978127006
Kemore Gamble,Florida,-0.2090171205
Isaiah Williams,Illinois,-0.2157970562
Grant Calcaterra,SMU,-0.2165717628
De'Zhaun Stribling,Washington State,-0.217126915
Jamari Thrash,Georgia State,-0.2179415301
Chris Pierce,Vanderbilt,-0.2235810468
Jalen Wayne,South Alabama,-0.2253557494
Mike Harley,Miami (FL),-0.2268139075
Elijah Higgins,Stanford,-0.2298464115
Jadon Haselwood,Oklahoma,-0.2384111323
Danny Davis,Wisconsin,-0.2437161502
Ke'Shawn Williams,Wake Forest,-0.2437199995
Carlos Carriere,Maryland,-0.2454812204
Keke Chism,Missouri,-0.2492008014
Gary Williams,Colorado State,-0.2540597058
Myles Price,Texas Tech,-0.2583283801
R.J. Sneed,Baylor,-0.2700910952
Jason Ivory,Memphis,-0.2797682592
Jalen Walker,Miami (OH),-0.2854275012
Audie Omotosho,East Carolina,-0.2871977789
Luke Grimm,Kansas,-0.2882239809
Jared Smart,Hawaii,-0.2989958076
Jonathan Mingo,Ole Miss,-0.3034277491
Chritauskie Dove,Missouri,-0.3036896838
Aubry Payne,Georgia State,-0.3057552091
Travis Koontz,Texas Tech,-0.3083732294
C.J. Johnson,East Carolina,-0.3115074106
Jaylin Lane,Middle Tennessee State,-0.3133167159
Jordan Whittington,Texas,-0.3280197847
Tre'Shaun Harrison,Oregon State,-0.3324822607
Justyn Ross,Clemson,-0.340195426
Derius Davis,Texas Christian,-0.3410703695
Jeremiah Hunter,California,-0.3415187045
Samson Nacua,Brigham Young,-0.3419195377
Phillip Brooks,Kansas State,-0.3425005569
Jaetavian Toles,Tulane,-0.343971131
Jalen McMillan,Washington,-0.3514403934
Ty McCullouch,Colorado State,-0.3520316893
Shadeed Ahmed,Marshall,-0.3522486378
Malachi Carter,Georgia Tech,-0.3535731593
Randle Jones,Temple,-0.3539872454
Yusuf Ali,Middle Tennessee State,-0.3579796259
Kendric Pryor,Wisconsin,-0.3683013713
Adonai Mitchell,Georgia,-0.3713343693
Justin Lockhart,Nevada,-0.3713676091
Ezra Naylor II,Tulsa,-0.3724780335
Charlie Jones,Iowa,-0.3730703606
Beaux Collins,Clemson,-0.3743423962
Xavier Gaines,Marshall,-0.3759931798
Jack Bech,LSU,-0.3770856941
Steve Jenkins,UNLV,-0.3790480249
Isaiah Winstead,Toledo,-0.3900648725
Dominic Johnson,Buffalo,-0.3940820567
Isiah Cox,Ohio,-0.3941155419
Stanley Berryhill III,Arizona,-0.3982990309
Melquan Stovall,Nevada,-0.4065955118
Xavier Restrepo,Miami (FL),-0.4089561349
Rajae' Johnson-Sanders,UAB,-0.4091604905
Marshon Ford,Louisville,-0.4120914322
Shedrick Jackson,Auburn,-0.416160826
Mike Brown-Stephens,Minnesota,-0.41906514
D.J. Stubbs,Liberty,-0.4273838842
Devaughn Vele,Utah,-0.4339221142
Jermaine Braddock,San Jose State,-0.4488216301
Kaylon Geiger,Texas Tech,-0.4503975894
Tahj Washington,USC,-0.4516107722
Chigoziem Okonkwo,Maryland,-0.4525331396
Bub Means,Louisiana Tech,-0.4527016472
Kris Hutson,Oregon,-0.45901227
Tyrice Richie,Northern Illinois,-0.4627130725
Will Mallory,Miami (FL),-0.4632354856
Britain Covey,Utah,-0.4683506967
Mario Williams,Oklahoma,-0.4685564269
Rome Odunze,Washington,-0.477646696
Isaiah Hamilton,San Jose State,-0.4802373758
Gavin Bartholomew,Pitt,-0.4917109894
Brenden Rice,Colorado,-0.4976736525
Omar Manning,Nebraska,-0.4989558468
Adonicas Sanders,Georgia Tech,-0.5038027654
Tre Tucker,Cincinnati,-0.5196217943
LV Bunkley-Shelton,Arizona State,-0.5238657756
Keyshawn Smith,Miami (FL),-0.537154383
Luke Whittemore,Troy,-0.5439242564
Shae Wyatt,Tulane,-0.5633687902
Jeremiah Hall,Oklahoma,-0.5764198375
Jake Ferguson,Wisconsin,-0.576822059
Erick All,Michigan,-0.5798091255
TJ Sheffield,Purdue,-0.5805499288
Cameron Odom,Ohio,-0.5871100333
Andrew Parchment,Florida State,-0.5881907044
Octavius Evans,Boise State,-0.5884661665
Kekoa Crawford,California,-0.5946415102
Ja'Cyais Credle,Georgia State,-0.6015097291
Ty Fryfogle,Indiana,-0.6041625346
Jimmy Horn Jr.,South Florida,-0.6106524099
Deshon Stoudemire,Troy,-0.6122555972
Courtney Jackson,Syracuse,-0.6126225822
Trey Palmer,LSU,-0.6131039157
Mike Sainristil,Michigan,-0.6194806259
Brian Thomas Jr.,LSU,-0.6236089398
Darryl Jones,Maryland,-0.6320648961
Tyson Morris,Arkansas,-0.6370172209
Braden Lenzy,Notre Dame,-0.6439610802
Jeremy Ruckert,Ohio State,-0.6440453999
Lawrence Arnold,Kansas,-0.6447937331
Jose Barbon,Temple,-0.6487218349
Michael Young,Cincinnati,-0.6504465341
Mike Woods,Oklahoma,-0.6507073085
Tyler Walton,Ohio,-0.6530290513
Cam Johnson,Vanderbilt,-0.6564234037
Austin Osborne,Bowling Green State,-0.6592463871
Slade Bolden,Alabama,-0.6633866132
Jahcour Pearson,Ole Miss,-0.6871016632
Will Derrick,Louisiana-Monroe,-0.6900300481
Lorenzo Styles Jr.,Notre Dame,-0.6959682957
Christian Trahan,Houston,-0.7066666406
Trevor Wilson,Kansas,-0.7086151334
Kamari Morales,North Carolina,-0.7105222656
Christian Sims,Bowling Green State,-0.7173898101
Daniel Bellinger,San Diego State,-0.7222035812
Lincoln Victor,Washington State,-0.7226834442
Blaine Green,Oklahoma State,-0.7257121878
Khaleb Hood,Georgia Southern,-0.745065713
Brian Cobbs,Maryland,-0.7469431465
Leonard Taylor,Cincinnati,-0.7511410678
Dontae Fleming,Louisiana,-0.7587422424
Peter LeBlanc,Louisiana,-0.7619092175
Justin Marshall,Louisville,-0.7657278715
DJ England-Chisolm,Middle Tennessee State,-0.770124253
Charles Ross,San Jose State,-0.7730097456
Isaiah Esdale,West Virginia,-0.7803947054
Donald Stewart,Wake Forest,-0.7803998886
Jabre Barber,Troy,-0.7818644264
Joshua Moore,Texas,-0.7855962991
Drew Estrada,Baylor,-0.7876484528
Zachari Jackson,Louisiana-Monroe,-0.7919807784
Jake Tonges,California,-0.7987022853
Tristian Brank,Akron,-0.7990763448
John Samuel Shenker,Auburn,-0.8107945292
Elijah Kothe,San Diego State,-0.8137217861
Rick Wells,Florida,-0.8146613644
Luke Musgrave,Oregon State,-0.8175920842
Nico Ragaini,Iowa,-0.8276640927
KeSean Carter,Houston,-0.8276640927
Taj Davis,Washington,-0.8369589637
Boobie Curry,Arizona,-0.8403327052
Amad Anderson Jr.,Temple,-0.8449321148
Andre Bodison,New Mexico State,-0.8533381385
Jason Pirtle,North Texas,-0.8574539706
John Humphreys,Stanford,-0.8866581064
Johnny Johnson III,Oregon,-0.8892258923
Brevyn Spann-Ford,Minnesota,-0.8944883147
Izaiah Gathings,Middle Tennessee State,-0.899423753
Ja'Shaun Poke,Kent State,-0.902023061
Chase Allen,Iowa State,-0.9031624249
Neal Johnson,Louisiana,-0.9037467707
Griffin Hebert,Louisiana Tech,-0.9091448925
Jayden Harrison,Marshall,-0.9127506006
Lincoln Sefcik,South Alabama,-0.9140148337
Reginald Todd,Troy,-0.9192499384
Miles Marshall,Indiana,-0.9327724151
Connor Heyward,Michigan State,-0.9460092764
Tanner Knue,Eastern Michigan,-0.9461100558
Ayden Eberhardt,Wyoming,-0.9617388454
Xzavier Henderson,Florida,-0.9638367653
Jared Sparks,Louisiana-Monroe,-0.9648937105
Donovan Ollie,Washington State,-0.9670871582
Casey Washington,Illinois,-0.9825060607
Sam Pinckney,Georgia State,-1.004266642
Jalin Hyatt,Tennessee,-1.029633128
Porter Rooks,North Carolina State,-1.033103615
Brian Casteel,Arizona,-1.035320749
Camren McDonald,Florida State,-1.038699217
Brady Russell,Colorado,-1.052869621
Jaelen Gill,Boston College,-1.059281612
Jay Rose,Connecticut,-1.077785275
Daniel Jackson,Minnesota,-1.097907253
Solomon Enis,Utah,-1.101395757
Terrell Warner,New Mexico State,-1.10216287
CJ Windham,Middle Tennessee State,-1.12623933
Jamire Calvin,Mississippi State,-1.127585116
Shocky Jacques-Louis,Pitt,-1.135849318
Emmanual Stevenson,Arkansas State,-1.138661009
Ashtyn Hawkins,Texas State,-1.153785549
Shameen Jones,Rutgers,-1.156306955
Davis Allen,Clemson,-1.159269371
Cade Brewer,Texas,-1.182991758
Josh Cobbs,Wyoming,-1.202247933
Devin Boddie Jr.,Vanderbilt,-1.215285217
Cade Otton,Washington,-1.25091093
Lideatrick Griffin,Mississippi State,-1.258736232
Dakereon Joyner,South Carolina,-1.310483593
Nikko Remigio,California,-1.311969751
Chance Luper,Missouri,-1.31238602
Cole Harrity,New Mexico State,-1.344538442
Arland Bruce IV,Iowa,-1.372987228
John Paul Richardson,Oklahoma State,-1.379865931
Hayden Pittman,UAB,-1.385199431
Barrett Banister,Missouri,-1.413911479
Caullin Lacy,South Alabama,-1.436299789
Devaughn Cooper,Syracuse,-1.475727424
Jaylin Noel,Iowa State,-1.492351486
Isiah Paige,Old Dominion,-1.498671932
Errol Rogers Jr.,Louisiana,-1.50969775
Omarion Dollison,South Florida,-1.515327364
Shaun Shivers,Auburn,-1.53216919
Aaron Turner,Connecticut,-1.569373189
Jadan Blue,Temple,-1.573338204
Amari Johnson,UCF,-1.676955623
Dominic Lovett,Missouri,-1.697884735
