Name,School,Score
DeVonta Smith,Alabama,4.644362607
Jaelon Darden,North Texas,3.296927166
Dyami Brown,North Carolina,2.343606239
Calvin Austin III,Memphis,2.278450756
Dax Milne,Brigham Young,2.20267268
Jonathan Adams Jr.,Arkansas State,2.190559451
Kyle Pitts,Florida,2.049753455
Romeo Doubs,Nevada,2.024124913
Jalen Tolbert,South Alabama,2.022801348
D'Wayne Eskridge,Western Michigan,2.019137042
Jaivon Heiligh,Coastal Carolina,1.932566568
Marlon Williams,UCF,1.923316405
Elijah Moore,Ole Miss,1.883007042
Kadarius Toney,Florida,1.770658005
Zay Flowers,Boston College,1.700622973
Jaylon Robinson,UCF,1.689697641
Jahan Dotson,Penn State,1.675851176
Jaquarii Roberson,Wake Forest,1.544946427
Cornell Powell,Clemson,1.52119786
Ty Fryfogle,Indiana,1.480760425
Terrace Marshall Jr.,LSU,1.47668972
John Metchie,Alabama,1.46766808
Sam Pinckney,Georgia State,1.46558094
Amari Rodgers,Clemson,1.420346429
Tylan Wallace,Oklahoma State,1.380700565
Treylon Burks,Arkansas,1.35694858
Marvin Mims,Oklahoma,1.269548154
Tahj Washington,Memphis,1.205290039
Dez Fitzpatrick,Louisville,1.189886088
Marcell Barbee,Texas State,1.173864517
Jacob Harris,UCF,1.142157081
Trevon Grimes,Florida,1.14204927
Garrett Wilson,Ohio State,1.12667598
Erik Ezukanma,Texas Tech,1.123739319
Mike Harley,Miami (FL),1.120785137
Chris Olave,Ohio State,1.05292986
Isaiah Likely,Coastal Carolina,1.02229766
Mike Woods,Arkansas,1.006060755
Kayshon Boutte,LSU,0.9846073439
Joshua Moore,Texas,0.9665984731
Bailey Gaither,San Jose State,0.9573679222
Kenny Yeboah,Ole Miss,0.953075825
Gunner Romney,Brigham Young,0.9519697417
Zakhari Franklin,UTSA,0.951508911
Yo'Heinz Tyler,Ball State,0.9487310749
Jaylen Waddle,Alabama,0.9436061832
Emeka Emezie,North Carolina State,0.9343836021
Seth Williams,Auburn,0.8972483446
Isaac Rex,Brigham Young,0.8916512254
Kawaan Baker,South Alabama,0.8882911984
Jason Brownlee,Southern Mississippi,0.8761336865
Cole Turner,Nevada,0.8594464385
Reggie Roberson Jr.,SMU,0.857584828
Khalil Shakir,Boise State,0.845727054
Brevin Jordan,Miami (FL),0.8334892805
Greg Dulcich,UCLA,0.8331747702
Chatarius Atwell,Louisville,0.7756542068
Javon McKinley,Notre Dame,0.7666149226
Deonte Simpson,North Texas,0.7475700119
David Bell,Purdue,0.7173724386
Charlie Kolar,Iowa State,0.7015514791
Duece Watts,Tulane,0.6995873289
Rashee Rice,SMU,0.6993272966
Jacob Cowing,UTEP,0.696152956
Jalen Nailor,Michigan State,0.6811503052
Dazz Newsome,North Carolina,0.6724320907
Dontario Drummond,Ole Miss,0.6710103458
Dahu Green,Arkansas State,0.658766569
Bo Melton,Rutgers,0.6505423358
Taj Harris,Syracuse,0.6414966253
Sean Dykes,Memphis,0.5819373323
Isaiah McKoy,Kent State,0.5764449264
Donavon Greene,Wake Forest,0.5727906018
Jha'Quan Jackson,Tulane,0.570775532
Xavier Hutchinson,Iowa State,0.5398405918
Brandon Bowling,Arkansas State,0.5148817069
Kylen Granson,SMU,0.5146269718
George Pickens,Georgia,0.5101294241
Hunter Long,Boston College,0.4961834556
Brennan Eagles,Texas,0.4959197248
Justin Hall,Ball State,0.4872319655
Quentin Johnston,Texas Christian,0.4786584263
J.C. Santana,Tulsa,0.4556258842
CJ Lewis,Boston College,0.4526470849
Tre Walker,San Jose State,0.4471501915
Parker Washington,Penn State,0.4077320934
Kevin Shaa,Liberty,0.4072601915
Cary Angeline,North Carolina State,0.4050351885
Thayer Thomas,North Carolina State,0.3911719249
Tayvion Robinson,Virginia Tech,0.3911056127
Josh Johnson,Tulsa,0.3859019074
DJ Turner,Pitt,0.3795860179
Jalen Cropper,Fresno State,0.3777313774
Jaden Walley,Mississippi State,0.3735674116
Reginald Todd,Troy,0.3680503077
Kaylon Geiger,Troy,0.3657546123
Keylon Stokes,Tulsa,0.3645447459
Neil Pau'u,Brigham Young,0.354734403
Simi Fehoko,Stanford,0.3488418687
Amon-Ra St. Brown,USC,0.339049153
Tim Jones,Southern Mississippi,0.3234057221
Dillon Stoner,Oklahoma State,0.318325464
Ben Skowronek,Notre Dame,0.3091002476
Theo Wease,Oklahoma,0.2916773205
Jacob Copeland,Florida,0.2903731143
James Mitchell,Virginia Tech,0.282474306
Antonio Nunn,Buffalo,0.2627878118
Jordan Addison,Pitt,0.2601575887
Tre Turner,Virginia Tech,0.2586349395
T.J. Simmons,West Virginia,0.258129777
Thomas Hennigan,Appalachian State,0.2332548013
Ramaud Chiaokhiao-Bowman,Northwestern,0.2102938322
Blake Proehl,East Carolina,0.2061937283
Shi Smith,South Carolina,0.2012355641
Jalen Wydermyer,Texas A&amp;M,0.2010440166
Josh Palmer,Tennessee,0.1872808251
Drake London,USC,0.1749232328
Isaiah Winstead,Toledo,0.1568074398
Anthony Schwartz,Auburn,0.1538321399
Tyrice Richie,Northern Illinois,0.1507948518
Chris Pierce,Vanderbilt,0.1497878382
Jalen Camp,Georgia Tech,0.1486395346
Cornelius McCoy,Georgia State,0.1323886837
Tanner Knue,Eastern Michigan,0.1290666548
Kearis Jackson,Georgia,0.1269243889
D.J. Stubbs,Liberty,0.1040388168
Josh Whyle,Cincinnati,0.07708169307
Devin Carter,North Carolina State,0.07639573251
Austin Stogner,Oklahoma,0.07563189106
Khalil McClain,Troy,0.07517322982
Malik Williams,Appalachian State,0.07350433571
Danny Gray,SMU,0.06726711462
Justin Garrett,UTEP,0.04995376829
Xavier Gaines,Marshall,0.04449688759
Adrian Hardy,Louisiana Tech,0.03170749671
Tyler Snead,East Carolina,0.02742119336
Chris Autman-Bell,Minnesota,0.02077871476
Myron Mitchell,UAB,0.02001608235
Tony Poljan,Virginia,0.01978773291
Bryce Ford-Wheaton,West Virginia,0.003315437809
Joshua Cephus,UTSA,0.0007434015937
Austin Watkins,UAB,-0.008708752884
Nathaniel Dell,Houston,-0.01780447911
Marshon Ford,Louisville,-0.02133724724
Dontay Demus,Maryland,-0.02447614774
R.J. Sneed,Baylor,-0.03156593739
Skyy Moore,Western Michigan,-0.05144185324
Jermaine Burton,Georgia,-0.05540320181
Jaray Jenkins,LSU,-0.05825413965
Osirus Mitchell,Mississippi State,-0.06569661248
Will Mallory,Miami (FL),-0.07602706006
Jarrin Pierce,Middle Tennessee State,-0.1157729805
Trey McBride,Colorado State,-0.1174509448
Winston Wright,West Virginia,-0.1248621086
Ihmir Smith-Marsette,Iowa,-0.1260611687
Jason Ivory,Memphis,-0.1275265621
Kyren Lacy,Louisiana,-0.1478259564
Corey Gammage,Marshall,-0.1646108066
Briley Moore,Kansas State,-0.1771076392
Jonathan Mingo,Ole Miss,-0.177733701
Rashod Bateman,Minnesota,-0.1814281366
Ja'Shaun Poke,Kent State,-0.1945284855
Cam Johnson,Vanderbilt,-0.2027313465
Taylor Morin,Wake Forest,-0.2262396725
Chase Lane,Texas A&amp;M,-0.24507904
Jayden Reed,Michigan State,-0.24734723
Tyler Vaughns,USC,-0.2517921822
Billy Kemp,Virginia,-0.2548675949
Jaelen Gill,Boston College,-0.2596129425
Yusuf Ali,Middle Tennessee State,-0.2721758016
Jeremiah Haydel,Texas State,-0.2940169346
Jadan Blue,Temple,-0.2998763276
Ronnie Bell,Michigan,-0.3131356889
Victor Tucker,Charlotte,-0.3208622582
Amir Abdur-Rahman,Vanderbilt,-0.3264785156
DeVontres Dukes,South Florida,-0.3322046684
Tray Eafford,Troy,-0.3330273305
Artie Henry III,Marshall,-0.339289063
Nick Muse,South Carolina,-0.3406596235
Keke Chism,Missouri,-0.3433115691
Whop Philyor,Indiana,-0.34705091
Kyle Williams,UNLV,-0.3514761141
Roger Carter,Georgia State,-0.3554950643
Braden Galloway,Clemson,-0.3670967776
Keric Wheatfall,Fresno State,-0.3857219163
Hassan Beydoun,Eastern Michigan,-0.3895990763
T.J. Chase,Florida Atlantic,-0.3915159069
Mark Pope,Miami (FL),-0.3974983417
Josh Imatorbhebhe,Illinois,-0.398755585
Shameen Jones,Rutgers,-0.4031502662
Ontaria Wilson,Florida State,-0.4045862467
Kwamie Lassiter II,Kansas,-0.4071832632
Dee Wiggins,Miami (FL),-0.4099250466
Antwan Davis,Ball State,-0.4116662269
Joshua Simon,Western Kentucky,-0.4118104628
Christian Trahan,Houston,-0.4149737274
Demario Douglas,Liberty,-0.4156728651
Michael Mayer,Notre Dame,-0.4180211534
Charleston Rambo,Oklahoma,-0.437464933
Jake Smith,Texas,-0.4554984601
Ben Bresnahan,Vanderbilt,-0.4555425067
Austin Ogumakin,North Texas,-0.4597800868
Jalen Wayne,South Alabama,-0.4631953609
Tyler Page,SMU,-0.466198767
Perry Carter,Louisiana-Monroe,-0.4673998794
Damon Hazelton Jr,Missouri,-0.4708969388
Michael Young,Cincinnati,-0.4716512167
Mitchell Tinsley,Western Kentucky,-0.4794587246
Randle Jones,Temple,-0.4897581542
Jake Ferguson,Wisconsin,-0.4905774989
Velus Jones Jr.,Tennessee,-0.4906583919
Avery Davis,Notre Dame,-0.4939460592
Quian Williams,Eastern Michigan,-0.4939460592
Jared Wayne,Pitt,-0.4985743715
Sam Crawford Jr.,Tulsa,-0.5164398927
Terrell Jana,Virginia,-0.5196465502
Josh Kelly,Fresno State,-0.5198260313
CJ Windham,Middle Tennessee State,-0.5335584804
Peter LeBlanc,Louisiana,-0.5391281266
Taysir Mack,Pitt,-0.5449221172
KeSean Carter,Texas Tech,-0.5603474892
Travell Harris,Washington State,-0.5712813826
E.J. Williams,Clemson,-0.5768449295
Branden Mack,Temple,-0.5772000575
Milton Wright,Purdue,-0.5820261089
Keith Corbin,Houston,-0.5907123939
Jah'Marae Sheread,Texas State,-0.5996468037
Arik Gilbert,LSU,-0.6022266471
Bryce Miller,South Florida,-0.6029434091
Anthony Queeley,Syracuse,-0.604948443
Jesse Matthews,San Diego State,-0.6188567795
Austin Williams,Mississippi State,-0.6221679788
Braden Smith,Louisville,-0.6430653113
Wan'Dale Robinson,Nebraska,-0.6568476072
Josh Ali,Kentucky,-0.65726059
Kyle Philips,UCLA,-0.6597380706
Justin Shorter,Florida,-0.6609519793
Jayson Jackson,Cincinnati,-0.6641106934
Pat Freiermuth,Penn State,-0.6660849903
Xavier Lane,Western Kentucky,-0.6744170182
Eli Stove,Auburn,-0.690145871
Renard Bell,Washington State,-0.6908651895
Jake Bailey,Rice,-0.6983283275
Smoke Harris,Louisiana Tech,-0.6985828479
Jake Bobo,Duke,-0.7053176442
Micaleous Elder,Charlotte,-0.7268901575
Taye Barber,Texas Christian,-0.7278669897
T.J. Graham,Texas State,-0.7581862083
Jalon Calhoun,Duke,-0.7662750021
Camren McDonald,Florida State,-0.7670966287
Malik Heath,Mississippi State,-0.775845413
Tamorrion Terry,Florida State,-0.7771722461
Chritauskie Dove,Missouri,-0.7859955273
Jalen Virgil,Appalachian State,-0.7879910022
Kalil Pimpleton,Central Michigan,-0.7890259225
Omarion Dollison,South Florida,-0.7972240856
Josh Pederson,Louisiana-Monroe,-0.7982714214
Stanley Berryhill III,Arizona,-0.8099197046
Sam James,West Virginia,-0.8102892789
Shocky Jacques-Louis,Pitt,-0.8239685532
Noah Gray,Duke,-0.8312977427
Kyric McGowan,Northwestern,-0.8494945456
Malik Jackson,Louisiana-Monroe,-0.8633225191
Malik Murray,Georgia Southern,-0.8635906888
Brennon Dingle,UTSA,-0.8710984343
Reed Tyler,Arkansas State,-0.8712191163
Myles Price,Texas Tech,-0.8722371541
Bru McCoy,USC,-0.8782594864
Jaylon Redd,Oregon,-0.8824986749
Ja'lynn Polk,Texas Tech,-0.9064294979
Slade Bolden,Alabama,-0.9090028255
Brandon Smith,Iowa,-0.936372447
John Raine,Northwestern,-0.9550710252
Jared Smart,Hawaii,-0.9591017609
Miller Forristall,Alabama,-0.9676075416
Sam Laporta,Iowa,-0.9870632113
Justin Lockhart,Nevada,-0.9934289335
Porter Rooks,North Carolina State,-1.023551187
Latrell Williams,South Florida,-1.04798436
Kylin Hill,Mississippi State,-1.052245451
Jalen Knox,Missouri,-1.056956799
Eli Pancol,Duke,-1.059257028
Demarcus Jones,Southern Mississippi,-1.063299874
Rico Bussey Jr.,Hawaii,-1.064124997
Peyton Hendershot,Indiana,-1.064337553
Trevon Bradford,Oregon State,-1.069619387
Jack Dunn,Wisconsin,-1.088600354
