Name,School,Score
Taywan Taylor,Western Kentucky,3.28788361
Carlos Henderson,Louisiana Tech,3.26419646
Dede Westbrook,Oklahoma,3.126989659
Corey Davis,Western Michigan,2.896650676
Tanner Gentry,Wyoming,2.542720854
Richie James,Middle Tennessee State,2.526535022
Amba Etta-Tawo,Syracuse,2.513271333
Trent Taylor,Louisiana Tech,2.511409683
Nicholas Norris,Western Kentucky,2.43149685
James Washington,Oklahoma State,2.411887178
Anthony Miller,Memphis,2.375744749
Cody Thompson,Toledo,2.34907645
Michael Gallup,Colorado State,2.306156856
Cedric Wilson,Boise State,2.149720802
John Ross,Washington,2.124013099
Jonathan Giles,Texas Tech,2.060222395
Keevan Lucas,Tulsa,2.042458771
Jalen Robinette,Air Force,2.012601936
Courtland Sutton,SMU,1.918401315
Mike Williams,Clemson,1.906745286
Jester Weah,Pitt,1.90013134
K.D. Cannon,Baylor,1.870472715
Zay Jones,East Carolina,1.847377389
Thomas Sperbeck,Boise State,1.828727516
Josh Malone,Tennessee,1.827626812
Austin Carr,Northwestern,1.823622782
Josh Reynolds,Texas A&amp;M,1.818476639
Shelton Gibson,West Virginia,1.763313992
Allen Staggers,Southern Mississippi,1.753073877
Chad Hansen,California,1.716171255
Deangelo Yancey,Purdue,1.710552639
Chris Godwin,Penn State,1.613919611
Dante Pettis,Washington,1.591314188
Corey Willis,Central Michigan,1.48378947
Equanimeous St. Brown,Notre Dame,1.411461819
Marcus Kemp,Hawaii,1.407702435
J'Mon Moore,Missouri,1.389841549
Nick Westbrook,Indiana,1.38797731
Jon'Vea Johnson,Toledo,1.387357809
Kenny Golladay,Northern Illinois,1.308765185
Jerome Lane,Akron,1.245591761
Fred Ross,Mississippi State,1.238176983
Jimmy Williams,East Carolina,1.221941466
Shay Fields,Colorado,1.215295097
Zach Pascal,Old Dominion,1.205251707
Deon Cain,Clemson,1.196378292
Joshua Atkinson,Tulsa,1.194578402
Isaiah Ford,Virginia Tech,1.19426295
Scott Miller,Bowling Green State,1.179602005
Allen Lazard,Iowa State,1.169687211
Ardarius Stewart,Alabama,1.12159512
Ahmmon Richards,Miami (FL),1.099073041
Keke Coutee,Texas Tech,1.097625429
JuJu Smith-Schuster,USC,1.097521958
Bruce Natson,Akron,1.085864015
Evan Engram,Ole Miss,1.062124113
Bug Howard,North Carolina,1.026386265
Gabe Marks,Washington State,1.010393733
Keon Hatcher,Arkansas,0.9881404982
Amara Darboh,Michigan,0.957783726
Michael Roberts,Toledo,0.9346053102
Jonathan Duhart,Old Dominion,0.9325892238
Travis Rudolph,Florida State,0.9110177329
Sergio Bailey,Eastern Michigan,0.9077702757
Jaylen Smith,Louisville,0.9062368738
Robert Davis,Georgia State,0.8961130529
Ryan Switzer,North Carolina,0.8951526229
Ventell Bryant,Temple,0.8929685535
James Quick,Louisville,0.8841183478
Sebastian Smith,Ohio,0.8824218933
Josh Magee,South Alabama,0.8682403409
Jeff Badet,Kentucky,0.8682100197
David Njoku,Miami (FL),0.8575217751
