Name,School,Score
Case Keenum,Houston,3.779692942
Robert Griffin III,Baylor,3.567877098
Russell Wilson,Wisconsin,3.187413292
Chandler Harnish,Northern Illinois,2.430002083
Geno Smith,West Virginia,2.065541253
Bryant Moniz,Hawaii,1.992574605
Matt Barkley,USC,1.976727442
Terrance Owens,Toledo,1.967915008
Tyler Wilson,Arkansas,1.939715546
Kellen Moore,Boise State,1.870784786
Blaine Gautier,Louisiana,1.499821731
A.J. McCarron,Alabama,1.451314235
Jeff Godfrey,UCF,1.413397014
Darron Thomas,Oregon,1.370031764
Wesley Carroll,Florida International,1.364119022
Tyler Tettleton,Ohio,1.336290142
Casey Pachall,Texas Christian,1.312040013
Chuckie Keeton,Utah State,1.294218519
Andrew Luck,Stanford,1.240200056
Tanner Price,Wake Forest,1.200082891
Seth Doege,Texas Tech,1.170123999
Cody Fajardo,Nevada,1.165283918
Colby Cameron,Louisiana Tech,1.112398422
James Vandenberg,Iowa,1.10837442
Jarrett Lee,LSU,1.091854327
Richard Brehaut,UCLA,1.078441513
James Franklin,Missouri,1.037412304
Brandon Weeden,Oklahoma State,0.9951074327
Derek Carr,Fresno State,0.993408185
Dan Persa,Northwestern,0.9364520101
Logan Thomas,Virginia Tech,0.9173908582
Austin Dantin,Toledo,0.9101460668
Tim Jefferson,Air Force,0.9042885101
David Graves,Hawaii,0.8527491362
Will Stein,Louisville,0.8445763812
B.J. Daniels,South Florida,0.8342889241
Connor Shaw,South Carolina,0.8290213428
E.J. Manuel,Florida State,0.8144435076
Nick Fanuzzi,Rice,0.8119622341
Blake Bortles,UCF,0.732860055
Jordan Jefferson,LSU,0.6759737001
Chester Stewart,Temple,0.6667374581
Tyler Bray,Tennessee,0.6534281186
Taylor Reed,Memphis,0.6329807307
Ryan Lindley,San Diego State,0.6093231503
Adam Kennedy,Utah State,0.5965655185
Tajh Boyd,Clemson,0.5692310198
Kirk Cousins,Michigan State,0.560872466
Keith Price,Washington,0.5583154899
Tarean Austin,New Mexico,0.5544304941
Zac Dysert,Miami (OH),0.5163433589
Austin Davis,Southern Mississippi,0.5063011338
Marshall Lobbestael,Washington State,0.4784190285
Jordan Wynn,Utah,0.4656253109
Taylor Martinez,Nebraska,0.4650221496
Caleb Terbush,Purdue,0.46189661
Andrew Manley,New Mexico State,0.4005374989
Nathan Scheelhaase,Illinois,0.3723909348
Jacory Harris,Miami (FL),0.3222322264
Brett Smith,Wyoming,0.322214818
Clint Moseley,Auburn,0.3143178883
Connor Halliday,Washington State,0.3007051948
Joe Bauserman,Ohio State,0.2964145815
Ryan Nassib,Syracuse,0.2959161868
Kolton Browning,Louisiana-Monroe,0.2957093097
John Brantley,Florida,0.2698141979
Case McCoy,Texas,0.2631220824
Derek Thompson,North Texas,0.254335908
Tyler Lantrip,Nevada,0.2462421206
Riley Nelson,Brigham Young,0.2242073458
Matt McGloin,Penn State,0.2094043597
Nick Foles,Arizona,0.2002635807
Tyler Russell,Mississippi State,0.1793322342
Matt Christian,New Mexico State,0.1730918904
Brock Osweiler,Arizona State,0.1574573724
Chazz Anderson,Buffalo,0.1527718335
Dusty Kiel,Indiana,0.139596567
Jeff Murphy,Middle Tennessee State,0.1338084488
Edward Wright-Baker,Indiana,0.1028547027
Alex Carder,Western Michigan,0.09260909525
A.J. Graham,Marshall,0.009790400669
G.J. Kinne,Tulsa,0.005201888285
Mike Glennon,North Carolina State,-0.06313607086
Zach Collaros,Cincinnati,-0.07367379122
Sean Renfree,Duke,-0.09698280644
Landry Jones,Oklahoma,-0.1238671561
Taylor McHargue,Rice,-0.1257365957
Jonathan Perry,UAB,-0.1682044028
Alex Gillett,Eastern Michigan,-0.1714926106
Bryn Renner,North Carolina,-0.1718837989
Keith Wenning,Ball State,-0.1799226637
Justin Worley,Tennessee,-0.2040095442
Randall Mackey,Ole Miss,-0.2452505346
Kevin Prince,UCLA,-0.2582959578
Maxwell Smith,Kentucky,-0.2602743263
Barrett Trotter,Auburn,-0.2603507831
Andy Summerlin,Memphis,-0.2796712935
Tyler Hansen,Colorado,-0.2821375823
Chas Dodd,Rutgers,-0.2838677515
Johnny McEntee,Connecticut,-0.3125680814
Nick Isham,Louisiana Tech,-0.3730206284
Ryan Aplin,Arkansas State,-0.3880347814
Shane Austin,Hawaii,-0.3939414673
Ryan Tannehill,Texas A&amp;M,-0.396995129
Munchie Legaux,Cincinnati,-0.4181055521
Tino Sunseri,Pitt,-0.4192805294
Zach Maynard,California,-0.42571752
B.R. Holbrook,New Mexico,-0.4525275612
Matt Schilz,Bowling Green State,-0.4661463301
Pete Thomas,Colorado State,-0.4692320709
Aaron Murray,Georgia,-0.4720841728
Ryan Griffin,Tulane,-0.5098705689
Marqueis Gray,Minnesota,-0.5213898848
Jared Barnett,Iowa State,-0.5902244718
Caleb Herring,UNLV,-0.6032905047
Spencer Keith,Kent State,-0.6090341921
Jon Hays,Utah,-0.6095353466
Chase Rettig,Boston College,-0.6329314679
Carson Meger,UTEP,-0.6429583207
Matt Faulkner,San Jose State,-0.6456985402
Denard Robinson,Michigan,-0.6541295717
C.J. Brown,Maryland,-0.6635982119
Jake Heaps,Brigham Young,-0.7161266952
Tre Roberson,Indiana,-0.7317210166
