Name,School,Score
Davante Adams,Fresno State,3.391558356
Brandin Cooks,Oregon State,2.814776127
Mike Evans,Texas A&amp;M,2.691355701
Chandler Jones,San Jose State,2.60990828
Antwan Goodley,Baylor,2.573596311
Willie Snead,Ball State,2.54412601
Sammy Watkins,Clemson,2.247423014
Kelvin Benjamin,Florida State,2.23021066
Devante Davis,UNLV,2.213099534
Josh Huff,Oregon,2.152956275
Paul Richardson,Colorado,2.084574208
Tyler Lockett,Kansas State,1.995763555
Jeremy Gallon,Michigan,1.968574769
Odell Beckham Jr.,LSU,1.935917848
Alex Neutz,Buffalo,1.842877364
Deontay Greenberry,Houston,1.822191959
Jarvis Landry,LSU,1.805038511
Gator Hoskins,Marshall,1.760622455
Titus Davis,Central Michigan,1.75388653
Allen Robinson,Penn State,1.730513749
Allen Hurns,Miami (FL),1.718309886
Albert Wilson,Georgia State,1.713912696
Jordan Matthews,Vanderbilt,1.705679793
Tevin Reese,Baylor,1.69959665
Matt Miller,Boise State,1.652612919
Eric Thomas,Troy,1.646323572
T.J. Jones,Notre Dame,1.627954065
Sammie Coates,Auburn,1.588141215
Devante Parker,Louisville,1.573915219
Jamison Crowder,Duke,1.568012879
Rashad Greene,Florida State,1.564541759
Dres Anderson,Utah,1.560450065
L'Damian Washington,Missouri,1.554449844
Josh Harper,Fresno State,1.54856622
Cody Latimer,Indiana,1.534671829
Keenan Holman,SMU,1.491047287
Jace Amaro,Texas Tech,1.490216089
Chris Gant,Hawaii,1.483509597
Ty Montgomery,Stanford,1.479425674
Dorial Green-Beckham,Missouri,1.477590716
J.J. Nelson,UAB,1.475652127
Jordan Williams,Ball State,1.427578963
Jaelen Strong,Arizona State,1.395261541
Steve Hull,Illinois,1.371521353
Shavarez Smith,South Alabama,1.365077163
Tyler Boyd,Pitt,1.356570548
Martavis Bryant,Clemson,1.328330672
Justin Hardy,East Carolina,1.319027168
Robby Anderson,Temple,1.308152905
Ryan Grant,Tulane,1.30762381
Tommy Shuler,Marshall,1.304346115
Quincy Enunwa,Nebraska,1.264590554
Ezell Ruffin,San Diego State,1.238502972
Jared Abbrederis,Wisconsin,1.229080746
Kenny Shaw,Florida State,1.228109314
Donte Foster,Ohio,1.222897686
Jamal Robinson,Louisiana,1.178786377
Mekale McKay,Cincinnati,1.156391868
Devin Street,Pitt,1.142783599
Nelson Agholor,USC,1.128865096
Breshad Perriman,UCF,1.123999775
Da'Ron Brown,Northern Illinois,1.120370364
Donte Moncrief,Ole Miss,1.117459505
Jordan Taylor,Rice,1.111084653
Robert Herron,Wyoming,1.10273064
Quinshad Davis,North Carolina,1.085406424
Dominic Rufran,Wyoming,1.053880095
Jamill Smith,Ball State,1.045300787
Bruce Ellington,South Carolina,1.027567919
Geremy Davis,Connecticut,1.024827759
Devon Cajuste,Stanford,1.017121553
Bralon Addison,Oregon,1.015592536
Rashon Ceaser,Louisiana-Monroe,0.9735654079
Corey Davis,Western Michigan,0.9542054787
Shaquelle Evans,UCLA,0.9523261908
Levi Norwood,Baylor,0.941630906
Cody Hoffman,Brigham Young,0.9414688266
Alex Amidon,Boston College,0.9382971963
Bernard Reedy,Toledo,0.935795012
Rannell Hall,UCF,0.9164787298
Shane Wynn,Indiana,0.9096255579
Eric Ebron,North Carolina,0.8908593021
Shaun Joplin,Bowling Green State,0.8866855264
Eric Ward,Texas Tech,0.8831088788
Jameon Lewis,Mississippi State,0.8732504274
Kofi Hughes,Indiana,0.8719157161
Bryan Holmes,Troy,0.854448851
Derel Walker,Texas A&amp;M,0.8491852037
Davaris Daniels,Notre Dame,0.8400054515
Mike Davis,Texas,0.8237134618
Quenton Bundrage,Iowa State,0.8200698301
J.J. Worton,UCF,0.8117293978
Brandon Wimberly,Nevada,0.8112629093
Travis Reynolds,Utah State,0.8064982611
Tyler Winston,San Jose State,0.806105174
Chris Moore,Cincinnati,0.7902486356
Ronnie Moore,Bowling Green State,0.7856839659
Devin Smith,Ohio State,0.7750138977
Stacy Coley,Miami (FL),0.7698896847
Jeremy Johnson,SMU,0.7686787762
Anthony McClung,Cincinnati,0.7669000301
Devin Funchess,Michigan,0.7597561894
Daniel Spencer,Houston,0.750956613
Dom Williams,Washington State,0.7504540599
Chase Cochran,Ohio,0.7368617584
Bennie Fowler,Michigan State,0.694546143
Isaiah Burse,Fresno State,0.6912889333
Leonte Carroo,Rutgers,0.6829139328
Dezmon Epps,Idaho,0.6821602844
Tracy Moore,Oklahoma State,0.6775983043
Jakeem Grant,Texas Tech,0.6608497522
Amari Cooper,Alabama,0.64765194
Nick O'Leary,Florida State,0.6374153671
Rashard Higgins,Colorado State,0.6363051744
Nate Phillips,Arizona,0.6328579838
Jalen Saunders,Oklahoma,0.6263912131
Brelan Chancellor,North Texas,0.6238494859
Kevin Smith,Washington,0.609892637
Robert Davis,Georgia State,0.5886478119
Jonathan Krause,Vanderbilt,0.5702930734
Damian Copeland,Louisville,0.5643369425
Colin Lockett,San Diego State,0.5563238609
Michael Campanaro,Wake Forest,0.5555112586
Chris Harper,California,0.5545811003
Gabe Marks,Washington State,0.5474374624
Richard Mullaney,Oregon State,0.5449266332
Devon Smith,Marshall,0.5309936882
Marqise Lee,USC,0.5287173599
Austin Franklin,New Mexico State,0.5274988169
Kevin Norwood,Alabama,0.5225382504
Jordan Leslie,UTEP,0.518529035
Travis Labhart,Texas A&amp;M,0.5004759369
Alonzo Russell,Toledo,0.4763004468
Tramaine Thompson,Kansas State,0.4651557381
William Dukes,Florida Atlantic,0.4636022684
Mario Alford,West Virginia,0.4101730664
Damiere Byrd,South Carolina,0.397965162
Bradley Marquez,Texas Tech,0.3787282088
Kivon Cartwright,Colorado State,0.3740551877
Alex Bayer,Bowling Green State,0.3675779169
Quintin Payton,North Carolina State,0.3673266818
Markese Triplett,Southern Mississippi,0.3650634814
Stefon Diggs,Maryland,0.3542476315
Andre Davis,South Florida,0.3516923119
Chris Conley,Georgia,0.3492209109
Malcome Kennedy,Texas A&amp;M,0.3391039652
Richy Turner,Nevada,0.3364284852
Sterling Shepard,Oklahoma,0.332711894
Shaq Roland,South Carolina,0.3314180821
Juwan Brescacin,Northern Illinois,0.3166396599
Vince Mayle,Washington State,0.3136651728
Deandrew White,Alabama,0.3029539836
