Team,Rating,Rating Deviation
Florida State,2102.38,145.62
TCU,2070.44,137.96
Alabama,2064.53,131.3
Mississippi State,2061.8,139.61
Oregon,2053.47,132.92
Ohio State,2031.08,131.73
Marshall,2011.82,152.87
Baylor,1969.62,144.77
Arizona State,1950.15,130.99
Michigan State,1938.23,131.53
UCLA,1935.72,130.97
Wisconsin,1921.91,127.85
Kansas State,1919.9,138.51
Ole Miss,1919.45,137.63
Arizona,1914.18,136.11
Missouri,1901.03,131.58
Colorado State,1896.08,143.38
Georgia Tech,1893.49,124.44
Auburn,1893.15,129.26
Georgia,1891.07,129.23
Nebraska,1888.79,133.92
Utah,1886.81,129.53
LSU,1870.44,123.63
Clemson,1861.43,135.61
USC,1853.89,134.29
Duke,1850.14,140.94
Boise State,1846.04,135.44
Oklahoma,1846.04,134.49
Notre Dame,1836.35,136.31
Minnesota,1833.12,131.26
Air Force,1827.05,136.71
Texas A&M,1823.92,131.45
Iowa,1821.04,129.36
West Virginia,1817.79,132.28
Louisville,1811.09,129.85
Miami,1797.57,133.92
Utah State,1789.89,132.08
Maryland,1788.51,128.13
Texas,1787.76,128.43
Louisiana Tech,1777.18,133.87
Arkansas,1771.5,134.63
Northern Illinois,1754.76,137.92
Stanford,1754.31,130.76
Louisiana,1744.74,136.32
Washington,1743.57,127.41
Memphis,1740.54,134.85
Florida,1737.53,133.44
UCF,1735.51,153.61
Boston College,1733.03,130.82
Rutgers,1723.77,133.65
Tennessee,1703.32,135.75
North Carolina,1701.82,131.47
Nevada,1700.11,129.98
Georgia Southern,1696.53,134.91
California,1692.89,130.38
Cincinnati,1691.97,136.35
Bowling Green,1691.33,137.12
Rice,1690.8,140.31
Michigan,1690.39,137.57
Western Michigan,1688.28,134.26
BYU,1685.43,133.38
East Carolina,1683.73,151
Penn State,1682.63,136.24
Oklahoma State,1677.86,131.46
Virginia Tech,1670.67,130.87
South Carolina,1666.94,136.44
Northwestern,1666.04,136.59
Navy,1665.73,135.5
Yale,1664,267.8
Central Michigan,1663.55,127.98
NC State,1663.34,126.3
North Dakota State,1662.31,290.32
Kentucky,1660.27,124.36
UTEP,1653.21,129.04
Houston,1646.78,140.35
Northwestern State,1645.53,253.58
Oregon State,1642.47,132.64
Arkansas State,1633.23,132.35
Illinois,1633.13,132.73
Eastern Kentucky,1629.7,283.79
Toledo,1622.25,134.93
Middle Tennessee,1619.22,129.02
