Team,Rating,Rating Deviation
Virginia,1604.01,138.33
Western Kentucky,1603.18,127.37
UAB,1591.75,127.48
South Alabama,1587.99,129.75
Temple,1587.78,132.42
Pittsburgh,1580.42,130.21
Ohio,1577.87,132.42
San Diego State,1576.12,131.41
Indiana State,1574.49,246.19
Purdue,1563.7,142.54
Syracuse,1560.61,134.64
Washington State,1560.27,149.03
Texas State,1533.97,129.56
Appalachian State,1533.58,130.18
Wyoming,1530.46,132.38
Kansas,1519.03,137.37
Indiana,1511.6,130.11
Texas Tech,1510.81,135.37
Florida International,1510.07,131.09
Liberty,1503.51,233.67
Fresno State,1500.52,135.76
Abilene Christian,1498.96,242.37
South Florida,1493.43,136.76
Tulane,1491.68,145.1
Bethune-Cookman,1488.34,244.74
Old Dominion,1480.27,128.79
Iowa State,1468.92,147.25
Buffalo,1461.2,132.82
Vanderbilt,1459.96,148.69
Akron,1457.97,134.28
New Mexico,1454.35,137.2
Florida Atlantic,1444.93,133.58
UT San Antonio,1439.97,132.82
Hawai'i,1433.77,136.83
San José State,1421.63,128.29
Maine,1415.83,288.65
Colorado,1414.76,148.96
Ball State,1412.79,132.98
Louisiana Monroe,1411.25,136.32
McNeese,1407.26,290.41
The Citadel,1407.26,290.41
Sam Houston State,1407.26,290.41
Lamar,1407.26,290.41
Sacramento State,1407.26,290.41
Eastern Washington,1407.26,290.41
Rhode Island,1407.26,290.41
Southern Mississippi,1400.37,131.08
Wake Forest,1400.06,142.8
North Texas,1399,133.5
Army,1389.41,131.4
Furman,1389.02,271.06
Western Carolina,1383.36,286.93
James Madison,1383.36,286.93
Samford,1383.36,286.93
Colgate,1383.36,286.93
South Dakota,1383.36,286.93
Central Arkansas,1383.36,286.93
William & Mary,1383.36,286.93
Montana State,1383.36,286.93
South Dakota State,1383.36,286.93
Southern,1383.36,286.93
Villanova,1383.36,286.93
Arkansas-Pine Bluff,1383.36,286.93
Cal Poly,1383.36,286.93
New Hampshire,1383.36,286.93
Weber State,1383.36,286.93
Morgan State,1383.36,286.93
Wofford,1383.36,286.93
Stephen F. Austin,1383.36,286.93
Elon,1383.36,286.93
Youngstown State,1383.36,286.93
Southeast Missouri State,1383.36,286.93
Duquesne,1383.36,286.93
North Dakota,1383.36,286.93
Jacksonville State,1383.36,286.93
Hampton,1383.36,286.93
Northern Arizona,1383.36,286.93
North Carolina Central,1383.36,286.93
Delaware,1383.36,286.93
Austin Peay,1383.36,286.93
Montana,1383.36,286.93
Alabama A&M,1380.32,276.69
UT Martin,1374.71,280.73
UMass,1366.78,143.4
Connecticut,1366.01,149.43
Delaware State,1365.39,273.19
Southern Illinois,1363.28,270.33
Norfolk State,1358.22,269.61
Troy,1345.69,137.14
Wagner,1342.31,275.57
Gardner-Webb,1342.31,275.57
Grambling,1342.31,275.57
Northern Colorado,1342.31,275.57
Missouri State,1342.31,275.57
Richmond,1342.31,275.57
Florida A&M,1342.31,275.57
South Carolina State,1342.31,275.57
Alcorn State,1342.31,275.57
Towson,1342.31,275.57
Stony Brook,1342.31,275.57
Campbell,1342.31,275.57
Presbyterian College,1336.67,256.44
Eastern Michigan,1335.85,139.27
UNLV,1332.42,136.29
Howard,1330.87,257.99
Murray State,1323.67,246.57
Southeastern Louisiana,1316.08,272.41
Chattanooga,1312.37,244.22
Tulsa,1312.35,142.92
Eastern Illinois,1310.62,245.03
UC Davis,1303.93,245.19
New Mexico State,1302.73,136.89
Charleston Southern,1288.53,264.98
Idaho State,1286.77,243.38
Savannah State,1286.77,243.38
Miami (OH),1286.6,146.24
Portland State,1270.85,239.38
Northern Iowa,1270.85,239.38
VMI,1270.66,234.8
Southern Utah,1260.3,237.49
Western Illinois,1244.34,233.55
Georgia State,1228.06,136.36
Nicholls,1227.65,216
Idaho,1207.85,146.38
Kent State,1185.84,152.14
SMU,1112.27,167
